---
Bogennummer: '03636'
Ort: Nauen
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Brandenburgisch
Transliterent: Lars Vorberger
Anmerkungen: ''
...
WS01	Im Winter fliejen die trocknen Blätter durch die Luft rum.
WS02	Et hört gleich uf zu schneen, dann wird det Wetter beßer.
WS03	Thu Kohlen in’n Ofen, det die Milch bald an zu kochen fangt.
WS04	Der jute alte Mann is mit det Pferd durcht Eis jebrochen und in det kalte Wasser jefallen.
WS05	Er is vor vier oder sechs Wochen jestorben.
WS06	Det Feuer war zu heeß, die Kuuchen sind ja unten janz schwarz jebrennt.
WS07	Er eßt die Eier immer ohne Salz und Pfeffer.
WS08	Die Füße duhn mir sehr weh, ik globe, ik hab sie durchjeloofen.
WS09	Ik bin bei die Frau jewesen und hab et ihr jesagt un sie sagte, sie wollte et och ihrer Dochter sagen.
WS10	Ik will et och nich mehr wieder duhn.
WS11	Ich schlage die jleich mit dem Kochlöffel um de Ohren, du Affe!
WS12	Wo jest du hin, sollen wi mit di jehn.
WS13	Et sin schlechte Zeiten.
WS14	Mein liebet Kind, bleib hier unten stehn, die bösen Jänse beißen die dodt.
WS15	Du hast heut am meisten jelernt und bist artig jewesen, du darfst früher nach Hause jehn, als de Andern.
WS16	Du bist noch nich jroß genuch, um ene Flasche Wein auszutrinken. Du mußt erst noch en Ende wachsen und jrößer werden.
WS17	Jeh, sei so jut und sage deiner Schwester, sie soll die Kleder für eure Mutter fertig nähen un mit de Bürste rene machen.
WS18	Hätt’st du ihn je gekennt! dann wäre es anders jekommen un et dähte besser um ihn stehn.
WS19	Wer hat mi meinen Korb mit Flesch jestohlen?
WS20	Er daht so, als hätten se ihn zu’t Dreschen bestellt, sie haben’t aber selber gedahn.
WS21	Wem hat er die neue Geschichte erzählt?
WS22	Man muß laut schreien, sonst versteht er uns nich.
WS23	Wir sin müde und haben Durscht.
WS24	Als wi jestern Abend zurückkamen, da lagen die Andern all zu Bett un waren fest an’t  Schlafen.
WS25	Der Schnee ist diese Nach bei uns liejen geblieben, aber heute Morjen is er jeschmolzen. 
WS26	Hinter unsern Hause stehn 3 schöne Äppelbemchen mit rothen Äppelchen.
WS27	Könnt ihr nich noch en Ogenblick uf uns warten, denn jehn wi mit euch.
WS28	Ihr dürft nicht solche Kindereien treiben.
WS29	Unse Berje sind nicht sehr hoch, die euren sind ville höher.
WS30	Wie vil Pfund Wurscht und wie vil Brot wollt ihr haben.
WS31	Ik verstehe euch nicht, ihr müßt en bischen lauter sprechen.
WS32	Habt ihr ken Stückchen Seefe für mi uf meinem Tisch jefunden?
WS33	Sein Bruder will sich zwe scheene Heiser in euern Jarten baun.
WS34	Det Wort kam ihm von Herzen.
WS35	Dat war recht von ihn.
WS36	Wat sitzen da für Vögeljen oben uf den Mäuerjen.
WS37	Die Bauern hatten finf Oksen un neuen Kühe und zwelf Schefjen vor det Dorf jebracht, die wollten sie verkofen.
WS38	Die Leute sind heite alle draußen uf’t Feld un mähen.
WS39	Jeh nur, der braune Hund duht di nischt.
WS40	Ik bin mit die Leute da hinten über der Wiese in’t Korn jefahren.
