---
Bogennummer: '04330'
Ort: Friedenau
Sprache: Deutsch
Bogentyp: NMD_1880
Erhebung: ''
Transliterationsprojekt: Brandenburgisch
Transliterent: Lars Vorberger
Anmerkungen: ''
...
WS01	Im Winter fliejen die drocknen Blätter durch die Luft herum.
WS02	Et hört jleich uf zu schneen, dann wird det Wetter widder besser.
WS03	Du Kohlen in den Ofen, det de Milch bald en to kochen fangt.
WS04	Der jute alte Mann ist mit det Pferd durchs Eis jebrochen un in dat kalte Wasser jefallen.
WS05	Er is vor vier oder sechs Wochen jestorben.
WS06	Det Feier war so heß, die Kuchen sind ja unten janz schwarz jebrannt.
WS07	Er eßt die Eier immer ohne Salz un Pfeffer.
WS08	Die Füße dun mir sehr weh, ik jlobe, ik habe sie mir durch jelofen.
WS09	Ik bin bei die Frau und habe es ihr jesagt, un sie sagte, sie wollde et och ihre Dochter sagen.
WS10	Ik will et och nicht mehr wieder dun. 
WS11	Ik schlage dir jleich mit dem Kochlöffel om die Ohren, du Affe.
WS12	Wo jehst du hin, sollen wir dir jehn?
WS13	Et sin schlechte Zeiten.
WS14	Mein liebes Kind bleib hier unten stohn, die bösen Jänse beißen dir dod.
WS15	Du haß heite am Meisten gelernt un biß artig jewesen, du darfst früher nach Hause jehn als die Andern.
WS16	Du biß noch nich jroß jenug um eine Flasche Wein austodrinken, du mußt erst noch ein Ende wachsen un jrößer werden.
WS17	Jeh, sei so jut un sage deine Schwester, sie soll die Kleeder für die Mutter nähen un mit de Bürschte reene machen.
WS18	Häddest du ihn jekannt, dann ware et andersch jekommen, un et däde besser um ihn stehn.
WS19	Wer hat mir meinen Korb mit Fleesch gestohlen?
WS20	Er dahd so, als hädden sie ihn zum dreschen bestellt; sie haben et aber selber jedahn.
WS21	Wem hat er die neie Jeschichte erzählt!
WS22	Man muß laut schreien, sonst versteht er uns nicht.
WS23	Wir sin müde un haben Durscht.
WS24	Als wir jistern Abend zurück kamen, da lagen die Andern schon zu Bett un schliefen fest.
WS25	Der Schnee iß diese Nacht bei uns liegen jeblieben aber heite Nacht is er jeschmolzn.
WS26	Hinter unser Hause stehn en paar scheene Appelbäume mit rodn Äppelchens.
WS27	Kennt ihr nich noch en Ogenblick uf uns warten, denn jehn wir mit eich.
WS28	Ihr derft nicht sone Kindereien dreeben.
WS29	Unsere Berge sin nicht sehr hoch, eire sin viel höher.
WS30	Wie ville ℔  Wurscht und wie völle Brod wollt ihr haben?
WS31	Ik verstehe eich nicht, ihr müßt en Bisken lauter reden.
WS32	Habt ihr keen Stückchen weiße Seefe uf mein Dösch jefunden?
WS33	Sein Bruder will sich zwee schene Heiser in eiern Jarten bauen.
WS34	Det Wort kam ihm vom Herzen.
WS35	Det war recht von Ihnen.
WS36	Wat sitzen da vor Vögelken oben uf det Mauerken.
WS37	Die Bauern hadden fünf Ochsen un nein Kühe un zwölf Schäfkens vor det Dorf jebrocht, die wollten sie verkoofen.
WS38	Die Leite sin heite alle uft Feld un mähen.
WS39	Jeh man, der braune Hund dut dir nischt.
WS40	Ik bin mit de Leite da hinten über die Wiese int Korn jefahren. 
