---
Bogennummer: '06213'
Ort: Sondershausen
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Philipp Spang
Anmerkungen: ''
...
WS01	In Winner flilegen dĕ trocknen Bl[é]tter därch dĕ Luft rĭmm.
WS02	's hīet glīch uff zĕ schnä͡ĭen, nāchten wä̆rd’s hell a Watter wä̆dder bĕsser.
WS03	Thŭk Kulln in͡de Ūben, daß dĕ Mälch bōlĕ zĕ kochen ānfängt.
WS04	Dr kute ōhle Maaonn ä̆s mä̆tt de hell a Fähre därch’s Īhs j gebrochen unn ins kōhle Wasser jefalln.
WS05	Ä̆̆ ä̆s fäer vier oddr sax hell a Wochen j gestorbn.
WS06	[O]s͡Fīhr waaor sĕ heis, dĕ Kūchen sinn ungen gaa͡onz schwaa͡orz jgebrannt.
WS07	Ä̆ ißt dĕ Eier immer ohne Sōlz unn Pfähell affer.
WS08	Dĕ Füße thun¯  mich sihre wih, ich glaube, ich haaoh sĕ därch jgelaufen.
WS09	Ich bä̆nn bĭ dr Frau hell a gewast unn haaoh’s éhr jgesāht, unn sĕ sāhte, sĕ wullt’s ou éhrer Tochtr sāh.
WS10	Ich wäll’s au nich mīh wädder thu!
WS11	Ich schlōh dich klīch mä̆t͡t de Kochlöffl  ĭm dĕ Ūhren, du Affe!
WS12	Wū gĭst͡ dĕ hä̆nn, sŭnn͡ mĕ mä̆tt dich gīh?
WS13	‘s͡ sinn helles a schlajte Zītn!
WS14	Mĭnn liebes Kind, blĭpp hier ungen stīh, dĕ bīsen Géuse bīßen dich tūdt.
WS15	Du hä̆st hīte am méhrschtn jelarnt unn du bist ārtg hell a gewast; du dérfst īhr heim gih wie dĕ Annern.
WS16	Du bĭst năch nĭch grūß jenungk, änne Flasche Wīhn ūszutrinken, du mußt é̆rscht năch än Ènge wackse unn grisser helles a ware.
WS17	Gīh, sĭnk su gūt unn sack dinner  hell a Schwaster, sĕ sillte dĕ Kleider fä̆rr éhre Muttr fä̆rtg nīh unn mä̆tt dr Börschte reine mache.
WS18	Héttst dĕ éhn jekannt! Do wére’s annerscht jekom¯en unn ä̆s théte bésser ümm éhn stīh.
WS19	hell a War hätt mich mĭnn Korb mä̆tt Fleisch jgestolln?
WS20	Ä̆ that sū, als hétten sé éhn zŭm hell a Draschen bestéllt; sĕ hann͡‘s ăbbr hell a salbr jethŏnn.
WS21	hell a Wahn hätt͡ ĕ dĕ nä͡ie Geschichte erza͡oahlt?
WS22	Mĕ muß lūht kréhle, sünnst verstĭtt hĕ uns nĭch.
WS23	Mĕ sinn müde unn hann Dŏrscht.
WS24	Wie mĕ géster Ābbĕnd zĕrück kaa͡omen, dō lagen dĕ Annern schŭnn zĕ Bétt unn waa͡oren fést binn Schlōfen.
WS25	Dr Schnī ä̆s dĭsse Naaocht bī uns lǟh jgebläbbn, hell a abbr hīte Morjgen ä̆s͡ ĕ jgeschmulzen.
WS26	Hinger unsen Hūse stīnn Appelbeimchen mä̆tt rūthen Éppelchen.
WS27	Kinnt dih nich năch ä̆n Au’nblickchen</Mählchen,Wihlchen,Bischen)> uff uns wōhrte, na͡oachen gīhn m¯i mä̆tt ech.
WS28	Dīe dörft nich sulche Kingerä͡ien trībe!
WS29	Unsere hell a Barje sinn nich sihre hūch, ūre sinn väle hö̆cher.
WS30	Wie väle Fund Wŏrscht unn wie vǟl Brūt wullt dī hell a hāh?
WS31	Ich verstīh ŭch nich, dī müßt ä̆n bischen lūter hell a sprache.
WS32	Hāht dī kein Stückchen wĭsse Seifen färr mich ŭff mĭnn Dĭsche gefungen <(kein= mich ä)>
WS33	Sĭnn Bruder wäll sich zwei schīne nä̆͡iĕ Hisser in ūren Gōrten baue.
WS34	Das Wort kam͡ n <(n=ihm)> von hell a Hărzen!
WS35	Das wa͡oar hell a racht von Sé <(ihnen)>!
WS36	Was sitzen do fä̆rr Végelchen ūbe ŭff de Mǖhrchen?
WS37	Dĕ Būren hotten fünf Ocksen unn nīn Kä̆͡ĭwĕ unn zwelf Schéfchen fä̆rr͡ ‘s <(vor das)> Dorf jgebrōcht, dī wulltn sĕ verkaufe.
WS38	Dĕ Līte sinn hīte a͡oalle drussen ŭff de hell a Falle un schnīten <(mähen.)>
WS39	Gĭck nur, dr brūne Hund dĭtt dich nischt.
WS40	Ich bä̆nn mä̆tt͡ n <(den)> Līten do hingene <(hinten)> ä̆bbr dĕ Wǟsen ins Korn gefa͡oaren.
