---
Bogennummer: 06394
Ort: Halle
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Philipp Spang
Anmerkungen: 'Das å̊ wird im Manuskript mit zwei nebeneinanderstehenden ˚ notiert'
...
WS01	Im Winder fliegn de drockn Bledder dorch de Luft rum. <(rumher)>.
WS02	‘s heert chlaich <[d. Gaumenlaut zwischen ch u. j]> uff zu schnein, denn werd’s Wedder widder besser.
WS03	Duck Kollen in’n Omn, daß de Milich bå̊hle ahn zu kochen fängt.
WS04	Der chutn å̊ln Mann is met’n Färn doch’s Eis chebrochen, un in’s kähln Wasser chefallen.
WS05	E is vorr viere odder sechs Wochen chestorben.
WS06	‘s Feier wå̊r zu heeß, deKuchen sinn ja ungene chans schwarz chebrennt.
WS07	E ißt de Eier immer ohne Sahlz un Fäffer.
WS08	De Beene <(Fieße)> duhn merr sehre weh, ich chlobe, ich habbe se dorchcheloofen.
WS09	Ich bin bei der Frau chewäßt un habbeser chesaat, un se saate, se woll’es oh ihrer Dochter saan.
WS10	Ich will’s oh nich mehr widder duhn.
WS11	Ich schlaa der chlaich mit em Kochleffel an de Ohren, du Affe!
WS12	Wo chehst de hin, soll[n]n mer mit derr chehn?
WS13	‘s sinn schlechte Zeiden!
WS14	Mei liebes Kind, bleib hier ungen schtehn, de beesen Gönse baißen dich dodt!
WS15	Du hast heit am mehrschten chelernt un bißt art’ch chewäßt, de derfst früher heeme <(zuhause)> chehn als de annern.
WS16	De bist noh nich chroß chenung, um enne Bulle <(Flasche)> Wain auszudrinken, du mußt erscht noh enn Enne <(Häppchen)> wachsen und chresser wärn.
WS17	Geck, bis so gut un sack deiner Schwester, se solln de Kleeder var eire Mudder fert’ch nähn un mit dr Berschte reene machn.
WS18	Hett’st/en chekennt, denn wersch andersch chekommen, un es dähte besser um en schtehn.
WS19	Wär hat merr mein Korb mit Fleesch chestohln <(chemaust)>?
WS20	E daht so, als hätten sen zam Dreschen bschtellt, se hamm’s abber selber chethan.
WS21	Wän hå̊terr de nein Geschichte erzeehlt?
WS22	Mer muß laut schrein, sonst verschteeht err uns nich.
WS23	Mer sinn miede un hamm Dorscht.
WS24	Wie mer chestern Abend zericke kamen, då̊ lå̊gen de annern schonn in Bette un wå̊rn feste å̊m schlå̊fen.
WS25	Derr Schnee is heite Nacht bei uns lehn cheblimn, å̊bber heite Morchn ise cheschmolzn.
WS26	Hinger unsen Haus stehn dree scheene Appelbeemchen mit rothen Äppelchen.
WS27	Kennter nich noh a Ogenblickchen uff uns wartn, denn chehn mer mit eich.
WS28	Ihr dart nich solche Kindereien dreiben.
WS29	Unse Bärge sinn nich sehre hog, de eiren sinn viel heeger.
WS30	Wie viel Fund Worscht unn vie viel Brot wollt er’n hann?
WS31	Ich verschteh eich nich, er mißt n bischen lauter sprächn.
WS32	Hå̊ätter’n ken Stückchen weiße Seefe vorr mich uff mein Dische gefungen?
WS33	Sei Bruder will sich zwee scheene neie Heiser in eiern Gå̊rten baun.
WS34	Das Wort kam/m van Härzen.
WS35	Das war recht von’n.
WS36	Was sitzen da vorr Vegelchen omn uff’n Meierchen.
WS37	Die bauern hattn finf Ochsen un nein Kiehe un zwelf Schäfchen vorsch Dorf chebrachtt, de wolltense verkoofen.
WS38	De Leide sinn heite alle draußen uff’n Felde un mähen.
WS39	Geck nur, de braune Hund duhter nischt.
WS40	Ich bin mit den Leiden då̊ hingen übber de Wiese in’s Korn chefahrn.
