---
Bogennummer: 06803
Ort: Blankenburg
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Philipp Spang
Anmerkungen: ''
...
WS01	In Winter fleien de dröen Bläder dorch de Luft rum.
WS02	Et hört glieks ob tau schnien, denn wart dat Weder wedder besser.
WS03	Dau Kollen in den Owen dat de Melk bale an tau koken fängt.
WS04	Der gude, ole Mann is met’n Pere dorch’t Is ebroken un in’t koln Water follen.
WS05	Hei is vor ver oder ses Wochen eschtorben.
WS06	Dat Fier war tau heit, de Kauken sind ja unne [g]anz schwart ebrennt.
WS07	Hei it de Eier immer ohne Solt un Pepper.
WS08	De Fäute daun meck hellisch wei, eck glebe, eck hebbe se dorchelopen.
WS09	Eck bin bi der Fru ewest un hebbe et ehr eseggt, un se säe se wolle et ok ehrer Dochter seen.
WS10	Eck will et ok nich mehr wedder daun.
WS11	Eck schlae deck glieks met’n Kokelöppel umde Ohren, du Affe.
WS12	Wu geihst du hen, sollen wei met deck gahn?
WS13	Et sind schlechte Tieten!
WS14	Min leiwes Kind, bliw hier unne schtahn, de bösen Gänse bieten deck dot.
WS15	Du hest hiete am mehrschten elehrt un bist artig west, du darfst freuer nah Huse gahn, als de Andern.
WS16	Du bist noch nich grot enauch, ne Flasche <(Pulle)> Wien uttaudrinken, du most erscht noch en Enne wassen un grötter weren.
WS17	Gach, sin sau gut un seg diner Schwester se solle de Kleder ver ju Mutter fertig naien un met der Borschte reine maken.
WS18	H[e]rrest du ehne kennt! Den werret anderscht ekommen un et däde besser um ne stahn.
WS19	Wer hat meck mienen Korf met Fleisch eschtohlen?
WS20	Gei dat sau, als harren se ehne taun dreschen beschtellt; sei hebben et aber silbest edan.
WS21	Wem het hei de nie Geschichte vertellt?
WS22	Man mot lut schrien, sist versteiht hei uns nich.
WS23	Wei sind meue un hebben Dorscht.
WS24	Als wei gistern Abend turiekamen da laen de Andern all‘ tau Bedde un waren fest am schlapen.
WS25	De Schnei is disse Nacht bei uns lien eblebben, aben von Morgen is hei schmulten.
WS26	Hinder unserm Huse staen drei schene Appelbömkens met roen Äppelkens.
WS27	Können jü nich noch en Ogenblickelken ob uns waren, denn gahe wei met jüch.
WS28	Jü derben nich saune Kinderien drieben.
WS29	Unse Barge sind nich sehr hoch, jue sind vel högger.
WS30	Wuvel Pund Worscht un wuvel Brod wollen jü hebben?
WS31	Eck verstahe jüch nich, jü metten en betchen luter schpreken.
WS32	Hebben jü kein Stückelken witte Sepe vor meck ob mienen Disch efunnen?
WS33	Sin Brauder will seck zwei schene nie Hieser in jü Garen buen.
WS34	Dat Wort kam ne von Harzen.
WS35	Dat war recht von sei!
WS36	Wat sitten da vor Vöggelkens oben ob dar lütjen Muer?
WS37	De Buern harren fünf Ossen un neun Käue un zwölf Schäpkens vor’t Dorp ebrocht, dei wollten se verkepen.
WS38	De Liede sind hiute butten ob’n Felle un maien.
WS39	Gach man, der brune Hund deiht deck nischt.
WS40	Eck bin met den Lieden dahinne öbber de Wisch in’t Koren efahren.
