---
Bogennummer: 10096
Ort: Völkenroth
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Im Winter fahre die truckene Blierer durig die Luft erimm.
WS02	Et hert gläich uff Schnee se genn, dann werd det Wärer wiere besser.
WS03	Du Kuhle in de Ue, datt die Milich bal an se koche fängt.
WS04	De gure alte Mann is mir em Gaul durch et Äis gebroch un in datt kalte Wasser gefall.
WS05	Er is vor vier ore sechs Wuche gestoreb.
WS06	Datt Fouer war zu häß, die Kuche sin jo une ganz schwarz gebrannt.
WS07	Er ißt die Eier immer ohne Salz un Peffer.
WS08	Die Füß du mer arig weh, aich gläb, äich hon se durich gelaaf.
WS09	Äich sin bäi de Fra gewes un hon et ehr gesat, un sie sat, sie wull et ag ehrer Dogder san.
WS10	Äich will et ag nit meh wierer dun.
WS11	Äich schlan däich gläich mirr em Kochlöffel im die Ohre, dou Aff!
WS12	Wo gehst Dou hin, sille mer mit der gehn?
WS13	Et sin schlegte Zäire!
WS14	Mäi liewes Kind, bläib hie une stehn, die böse Gäns bäiße däich dodt.
WS15	Dou host hout am mägte gelehrt un biest ordelich gewest, dou därfst früher häm gehn wie die Anere.
WS16	Dou bist noch nit groß genug, for in Flasch Wäin aussetrinke, dou mußt erscht noch in Stück waase un größer wäre.
WS17	Geh, säi so gut un sa däiner Schwester, se sull die Klärer for auer Mutter fehrdig nähe un mit dr Bürscht sauer mache.
WS18	Häst Dou en kannt! dann wärsch anerscht kumm, un et dhät besser im in stehn.
WS19	Wer hot mer mäine Koreb mit Fleisch gestuhl?
WS20	Er hot so gedon, as härre se ihn zum dresche bestallt, se honn et awer selwert gedon.
WS21	Wem horr er die nou Geschiegt verzahlt?
WS22	Mr muß hart schreie, sust veresteher us nit.
WS23	Mer sin müd un hon Dorscht.
WS24	Wie mr gester Owed zrück sin kumm, do hon die Anere schun im Bett geläh un ware fest ingeschlof.
WS25	De Schnee is die Naagt bäi us läie blieb, awer hout Morge is er geschmolz.
WS26	Hinner usem Hous stehn dräi Äppelbämcher mit rore Äppelcher.
WS27	Kinnt der nit noch in Aueblickche uff us waarte, dann gehn mer mit ouch
WS28	Der türeft nit so Kineräie träiwe.
WS29	Us Berig sin nit arig hoch, ouere sin viel höcher.
WS30	Wieviel Punn Wurscht un wieviel Brod willt dr hon?
WS31	Äich verstehn ouch nit, der miest e bische härter schwätze.
WS32	Hot dr kä Stückelche wäiß Säf for mäich uff mäinem Disch funn?
WS33	Säi Brurer will sich zwei schöne neue Häiser in ourem Garte boue.
WS34	Datt Word is ihm vun Herze kumm.
WS35	Datt war Regd vun ouch!
WS36	Watt sitze do for Välcher ue uff dem Mäierche?
WS37	Die Bouere harre fünf Ochse un näin Küh un zwilef Schäfcher vor dett Doref bragd, die wullte se verkäfe.
WS38	Die Läit sin hout all drauß uff dm Fell un mähe.
WS39	Geh nur, de broune Hund dhut dr neist.
WS40	Äich sin mit de Läit do hine üwer die Wiese in’t Kor gefahr.
