---
Bogennummer: 14988
Ort: Wickenrodt
Sprache: Deutsch
Bogentyp: NMD_1880
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Em Wender fahre die trockne Blieerer durch die Loft erem.
WS02	Et hört glei off se schnee(e), dann werd’t Werer nommel besser.
WS03	Dhu Kuhle en de Uwe, es die Millich ball anfängt se koche.
WS04	Der gut’ alt’ Mann es met’em Perd dörchs Eis gebroch un en d’kalt Wasser g’fall.
WS05	Er es vor vier orer sechs Woche gestorw.
WS06	’t Fouer wat se häß, die Kuche sen jo unne ganz schwarz verbrannt.
WS07	Er eßt die Aier emmer ohne Salz un Peffer.
WS08	Die Füß’ dhun mer arig weh, eich gläw, eich honnse dorch gelaf.
WS09	Eich sen bei der Fra gewes un hon er ’t g’sat, un sie sat, wollt’t ach ihrem Märe san.
WS10	Eich well’t ach net me wierer dhun.
WS11	Eich schlan dich glei(ch) me’m Kochläffel em die Ohre, du Aff!
WS12	Wo gehst de hie, solle mer met’er gehn?
WS13	’t sen schlächte Zeire.
WS14	Mei lieb Kind, bleiw lo junne stehn, die wüschte Gäns beiße dich do6.
WS15	Dau host haut am meste gelert un best brav <(ardig)> gewest, dau darfscht ehr hem gehn wie die annere.
WS16	Dau best noch net groß genug for e Flasch Wein aussetrenke, dau mußt trerscht noch en Enn wachse un größer were.
WS17	Geh, sei so gut un sa deiner Schwester, se soll die Klärer for auer Modder fierdig nähe un met ’er Birscht sauwer <(rän)> mache.
WS18	Häst dau en kannt! denn wär’t anners komm, un et dhät besser um en stehn.
WS19	Wer hot mer mei Korb met Fleisch gestuhl?
WS20	E’ horr e so gedhon, wie wenn se’n zum Dresche bestalt gehat härre, s’honn et awer selbscht gedhon.
WS21	Wem hor er die nau Geschicht verziehlt?
WS22	Me muß hart kreische sost verschterer us net.
WS23	Mer sen mihd un honn durscht.
WS24	Wie mer gist’r Obend hem <(z’reck)> komm sen, do honn die annere schon em Bätt gelä un ware fest em Schlofe.
WS25	D’Schnee es hint bei us leie bliew, awer de Morje erer vergang.
WS26	Henner us em Haus stehn drei schöne Abbelbämcher met rore Abbelcher.
WS27	Kennt er net no en Aueblick <(Weilchen)> of us warde, dann gehe mer merr auch.
WS28	D’r derft net so’n Kennereie dreiwe <(d’r derft kä Kennereie so dreiwe)>
WS29	Us Berg’ sen nere so arig hoch, aure sen viel höcher.
WS30	Wievel Ponn Wurscht un wievel brod wollt er honn?
WS31	Eich verstehn auch net, d’r müßt e wenig härter schwätze.
WS32	Hot er kä Steckelche weiß Säf for meich of mei’m Desch fonn?
WS33	Sei Brurer well sich zwei schöne naue Heiser en aure Gaarde baue.
WS34	Dat Wort kam’ em von Herze.
WS35	Dat war reecht vonn’ en.
WS36	Wat setze ä lo for Völcher uwe om Meierche.
WS37	Die Baure horre fennf Ochse un nein Kih un zwölf Schäfcher vor’t Dorf [broocht],die wollen se verkäfe.
WS38	Die Leit sen haut all drauß im Feld un mähe.
WS39	Geh nur <(nommel)>, de braune Hond dhut ’er neist.
WS40	Eich sen met de Leit lo henne ewer die Wies en d’Kore gefahr.
