---
Bogennummer: 15042
Ort: Neu-Bamberg
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Winder flieje die drockene Blerrer dorch die Luft.
WS02	Es häärt gleich uff se schneee, dann wärrd s Wärrer wirrer besser.
WS03	Thu Kohle in de Owe, daß die Millich ball on se koche fängt.
WS04	Der gude alte Mann is met dem Gaul dorchs Eis gebroch un is ins kalt Wasser gefall.
WS05	Er is vohr vier orrer sechs Woche gestorb.
WS06	Daß Feier war zu haaß, die Kuche sein jo une ganz schwarz gebrennt.
WS07	Er ist die Ajer immer ohne Salz un Peffer.
WS08	Die Füß thun mer so weh, ich glab ich humersche dorchgelaaf.
WS09	Ich bin bei der Fraa gewescht, un huns er gesaht un sie saht sie wollt’s ehrer Dochter san.
WS10	Ich will’s ach netmeh wirrer thu.
WS11	Ich schlah dich gleich metem Kachlöffel um die Ohre, du Affe.
WS12	Wo gehst de hehn solle mer met der gehn.
WS13	Es sein schlechte Zeite.
WS14	Mein lieb Kind, bleib hier une stehn, die böse Gens beiße dich dot.
WS15	Du hoscht heit ammerschste gelärnt un bischt artig gewescht, du derfscht früher noh Haus gehn als die Annere.
WS16	Du bischt noch nett groß genuk um e Flasch Wein aussetrinke, du muscht noch e En wachse un größer werre.
WS17	Geh sei so gut un saah deiner Schweschster sie soll die Klaher for euer Motter fertig nehe un met de Berschst sauwer mache. 
WS18	Heschsten gekennt dann wärs annerscht kumm un es thet besser umen stehn. 
WS19	Wär hot mer de Korb met Flaasch gestohl?
WS20	Er that als heresen se Dresche bestellt, sie hun’s awer selbst gethon.
WS21	Wem horer die nei Geschicht vezehlt.
WS22	Mer muß laut schreie sunschst vestehrersch nett.
WS23	Mer sein müd un hun Dorschst.
WS24	Als merr Geschtrowend serück kumm sein do hun die Annere schund in Bett geläh un ware fest am schlaf.
WS25	De Schnee is die Naacht bei uns leie blepp, awer heit morge is er geschmolz.
WS26	Hinner unserm Haus schtehn drei schenn Eppelbaam met rohre Eppelcher.
WS27	Könnener nett e Aablick uff uns waarte dann gehn merr met auch. 
WS28	Er derfe nett so Kinnereie treiwe.
WS29	Unser Bäärig sein nett so hoock auere sein vehl heher.
WS30	Wievehl Pund Worscht un wievehl Brod wollener hun?
WS31	Ich veschtehn auch nett, er müsse e bissi harter plaure.
WS32	Hun er nett e Schtück weis Saaf vor mich uff mein Disch fun?
WS33	Sein Brurer will sich zwaa schene neie Heiser in auer Gaarte baue?
WS34	Das Wort kam ihm vum Härz.
WS35	Das war recht vun ihn.
WS36	Was sitze do vor Vöhlercher uff dem Meierche? 
WS37	Die Bauerre harre fünef Ochse un nein Küh un zwölf Schefcher vor des Ort broocht, die wollte se vekaafe.
WS38	Die Leid sein heit all draus uffem Feld un mehe.
WS39	Geh nohre der braun Hund thuter nicks.
WS40	Ich sein met den Leid do hinne üwer die Wiß ins Korn gefahr.
