---
Bogennummer: 15351
Ort: Daxweiler
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Im Winter fliege die trockne Blärrer durch die Luft herum.
WS02	Es hert gleich uff zu schnee, dann wird das Werrer wirre besser.
WS03	Duh Kuhle in de Uwe, daß die Milich bald anfängt zu koche.
WS04	Der gure alte Mann ist mit dem Gaul durch’s Eis gebroch un̅ in das kalt Wasser gefall.
WS05	Er is’ vor vier ore sechs Woche gestorb.
WS06	Das Feier war zu häß, die Kuche sind jo unne ganz schwarz gebren̅t.
WS07	Er ischt die Aier immer ohne Salz und Peffer.
WS08	Die Fies duhn mer sehr weh, ich glaab ich hann se durchgelaaf.
WS09	Ich sein bei der Fraa gewescht un han̅s ihr gesaht, unn sie saht, sie wollt es aag ehrer Tochter sahn.
WS10	Ich wills aag nit mehr wirrer duhn.
WS11	Ich schlahn dehr gleich mirem Kochleffel hinner die Ohre, du Affe.
WS12	Wo gehst Du hin, solle mer met der gehen?
WS13	Es sein schlechte Zeire.
WS14	Mei liewes Kind, bleib do unne stehn, schun beiße dich die bese Gäns’ dodt.
WS15	Du hoscht heit am merschte gelernt und bischt artig und fleißig gewescht, du derfscht früher hem gehen als die annere.
WS16	Du bischt noch nit groß genug um e Flasch Wein auszudrinke, du muscht noch e Enn wachse unn greßer werre.
WS17	Geh, sei so gut unn sag deiner Schwester, sie soll die Klerer vor eier Motter fertig nehe unn met der Berscht sauwer mache.
WS18	Hescht du’n gekennt[!] Dann wersch annerscht komm, unn es deht besser um ihn stehen.
WS19	Wer hott mer mei Korb met Flesch gestohl.?
WS20	Er hott so gedohn, als heresen zum dresche bestellt; sie hanns aber selbscht gedohn.
WS21	Wem hott er die nei Geschicht verziehlt?
WS22	Man muß hart schraie, sunscht versteht er uns nit.
WS23	Mer sein mied unnhonn Dorscht.
WS24	Als mer geschter  Owend zurück kame, do hann die Annere schunn im Bett geleh un warn am schloofe.
WS25	Der Schnee ist heint Nacht bei uns leie blieb,  aber heit Mor[g]e is’r geschmolz.
WS26	Hinner unserm Haus stehn drei schene Eppelbemcher mit rothe Eppelcher.
WS27	Kennt’r nit noch e Aheblick uf uns warte, dann gehen mer met eich.
WS28	[D]ehr derft nit so Kinnerei treiwe.
WS29	Bei uns [sein]  die Berge nit so hoch wie bei eich; bei eich (sind) seinse viel heher.
WS30	Wieviel pund Worscht un wieviel Brod wollt’r honn.
WS31	Ich verstehn eich nit, (ihr) [d]er mißt’n bischen härter plaurere.
WS32	Hott der ke Stickelche weiß Sef vor mich uff meim Disch gefunn.
WS33	Sei Bruer will sich zwe schene neie Haiser in eirem Garte baue.
WS34	Das Wort is’m vum Herze kom̅.
WS35	Das war recht vunn eich.
WS36	Was sitze do vor Vehlcher uwe uffdem Meierche.
WS37	Die Baure harre finnef Ochse unn nein Kieh unn zwelef Schefcher vors Dorf bracht, die wollte sie verkaafe.
WS38	Die Leit sein heit alle drauße uff dem Feld unn mähe.
WS39	Geh nur, der braun Hund duht dehr nichts.
WS40	Ich bin mit de Leit do hinne iwer die Wies ins Korn gefahr.
