---
Bogennummer: 17139
Ort: Schönbrunn
Sprache: Deutsch
Bogentyp: CZ
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: Sabine Krause
Anmerkungen: ''
...
WS01	Im Winta flöign die truckna Blala in dea Luft herum.
WS02	Es hört gleich af zu schneia dann wiad das Weta wieda bessa.
WS03	Täu Kuahln in dean Uafan, daß die Milch boald oan zan kochn fängt.
WS04	Der gouta alta Moa is mit dem Pfa durchs Eis brochn u in des kalte Wossas gfalln.
WS05	Er is voa veia oda sechs Wochn gstorbn.
WS06	Des Feia woa zu stark, die Kouchn san ja untn ganz schwoarz brennt.
WS07	Er ist deia Oia imma ohne Soalz u Pfeffa.
WS08	Die Fäüß taun mia weih, ich glaube, ich hos durchgloffen.
WS09	I bin bei der Frau gwest u hos iha gsogt u sie haut gsogt, sie wills a ihra Tochta sogn.
WS10	I will es a nimma wieda täu.
WS11	I schlochte glei mit n' Kuallöffl um die Ouan, du Aff!
WS12	Wau geist dann hin, soll ma mit dir geihn?
WS13	Es san schlecht Zeitn.
WS14	Ma läis Kind, blei hia untn stäih, die bösn Gäns baißn di täut.
WS15	Du hänst heint am meistn glarnt u bist arte gwesn, du deafst eia hoamgeihn als die anarn.
WS16	Du bist nu niat gräuß gnouch um a Floschn Wein auszutrinken, du maußt eirasht nu wos wochsn u gräßa wean.
WS17	Gäih sa sua gäut u soch deina Schwesta, sie soll die Kleida für eure Mauta firte nahn u mit der Burstn rain mochn.
WS18	Häist du ihn kennt! Dann war es onarascht kumma u es tat bessa um ihn stäihn.
WS19	Wer häut mia mein Korb mit n Fleisch gstuahln?
WS20	Er taut sua, als häin sie ihn zan Dreschn bestellt, se hobn es oba selbst täu.
WS21	Wem haut er die naie Gschicht daziahlt?
WS22	Man mau laut schreia, sunst vastäih er us niat.
WS23	Mia san meid und hobn Duarscht.
WS24	Als mia gestern Abend zrück kumma san, dau lagn die onan scho zu Bett u woarn fest am schlafn.
WS25	Dea Schnei ist diese Noaht bei uns lign bliebn, aba heite Margn is er gschmolzn.
WS26	Hinta unan Haus stenga drei schöi Epflbäuma mit raun Epfalan.
WS27	Kännt iha niat nu an Augenblick auf uns wartn, dann genge mia mit eng.
WS28	Iha därft niat sett Kindereien treibn.
WS29	Unsa Barch san niat sehr hoch, däi enken san viel höicha.
WS30	Weiviel Pfund Wuarscht u weiviel Bräut wollt iha hobn.
WS31	I vasteih enk niat, iha mäißt ein bissal lauta sprechn.
WS32	Hänts iha koa Stäckl weißa Soufn für mi af mein Tisch gfuna?
WS33	Sa Bräuda will se zwoa schöina neua Haisa in inkam Gartn baua.
WS34	Des Wort kumt ihm vom Harzn.
WS35	Des woar reat von ihn.
WS36	Wos sitzn dän für Veichala uabn af dean Mauala?
WS37	Dei Bauan hatn fünf Ochsn u nai Käih u zwölf Schaufala vor des Duarf broat, dei wolln sie vakafn.
WS38	Die Lait san heut all draßn af'n Feld u mahn.
WS39	Geih nua, dea brauna Hund täut dia nichts.
WS40	I bin mit dean Laitn dau über die Wiesn ins Korn gfahrn.
