---
Bogennummer: 24915
Ort: Külte
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: Stephanie Leser
Anmerkungen: ''
...
WS01	Im Winter fleget de drügen Blädere in der Luft härumme.
WS02	Et hört zunt ugge te schniggen, dann währt dat Wiädder widder biätter.
WS03	Doh Kuollen in den Aowwen, dat deh Milk balle an toh koukken fänget.
WS04	De gudde alle Mann iß mit diäm Goule dührt Jhs bruocken un in dat kalle Water fallen.
WS05	Heh iß fur vehr oder säß Wiackken stuorben.
WS06	Dat Fuer iß toh het wiäst, deh Kouken siht ungen ganz schwarte brannt.
WS07	Heh ätt deh Äggern jümmer ohne Salt un Pipper.
WS08	Daih Frute doht mi sehr weh, ick gleibe, ick hawwe sai dührr laugen.
WS09	Ick sei bei der Grugge wiäß un hawwet iarre siagt und seh siägte, sehr wöllt euk iärrer dochter sägen.
WS10	Ick willt auk nie mei dohn!
WS11	Ick schloh dihck glihk mit diam Kuockeleippel an deh Auhren, douh Ape!
WS12	Boh gaihst du hienne, soww wie miht die gohn?
WS13	Et sinht schlächte Teehden.
WS14	Mihn lewe Kind, blihf hih ungem stohn, dei beisen Gaiße bihtet dek daut.
WS15	Duh hiäst denn dahg am meisten gelährt un bist ortig ewäst, du derrwest fränner nah Häime gohn, asse de andren.
WS16	Duh bist nou nie graut genog, um ehne Flaske Wien autte dincken, du moßt nau ehe Enge wassen en gritter währen.
WS17	Goh, sieh sou gutt un sag diener Schwäster, sai söll dai Klaider führ jugge Motter veide näggen un mit där Büste raide maken.
WS18	Hiäst du iehn kannt, dann währ iet anderst kummen un iet diedde bietter ümme iehn stohn.
WS19	Weh hett me meene Kuorf mit Fläisk stuollen.
WS20	He diht so, ore hädde seh immen tom dirsken bestallt; seh hatt int ebba selber dohe.
WS21	Wiem hint hei dei nigge Geschichte vertallt?
WS22	Meh mott harte schwatzen <(schriggen)>, sust versteiht hei us nie.
WS23	Wie sieht meude un hat doust.
WS24	Arr wie gisten Abend terugge kamen, da lagen deh andern reide im bädde un wien faste am schlapen.
WS25	Deh Schnei ihst denn Macht bih us liggene blihft, äwwer denn Muorgen isse schmellten.
WS26	Hinger ussem Huse stoht drei wacken Appelbeime mit rouden Äppelkens.
WS27	Kunn jij nieh nou einen Augenbliek up mik warten, dann goh ick mit juch.
WS28	Gih drowwet nie sulke Kingeriggen drieben.
WS29	Usse Berge sint nie souh hau, deh juggen sieht vill högger.
WS30	Bouh vill Pund Wust in bouh vill Brand wih ji hawwen.
WS31	Ick verstoh juch niem jih moddet ait bitzken haiter schwatzen.
WS32	Hag gi kein Stickeken witte Seipe für mik upp miene Tiske fungen?
WS33	Sinhe Brouder will sink tne nigge wacken Huser in juggen Guot buggen.
WS34	Dat Wuat kamm iemme wu Hierten.
WS35	Dat wohr rächt von iemme!
WS36	Watt sittet da feir Vüggelken up dem Mürcken?
WS37	Deh Buren hadden finf Ossen un niggen Kögge un twelf Schäpekens für dat Duorp brachtht, deh wollen seh verkeipen.
WS38	Dei Lüde sieht hüte olle terbuten up dem Felde un mägget.
WS39	Goh nu, deh broune Hund deut die nicks.
WS40	Ick bieh mit den Lüden dahingen uäwwer deh Wiesse ins Kuhrn fort.
