---
Bogennummer: 25268
Ort: Oedelsheim
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	In Winter fleiget die trüigen Bläre dor dei Luft rüm.
WS02	Et heiert gläig ob de snäien, denn werd dat Wer wier better.
WS03	Dau Kuhlen in den Uwen, dat dei Melk bale ann de kuken fänget.
WS04	Dei gaue ale Mann is mit den Pere dohrt dat Ejs gebroken un in dat kale Wouter gefallen.
WS05	Hei is vor vier ore ses Wiken storm.
WS06	Dat Fuier waß tau heit, dei Kauken sind ja ungene ganz swart de brennt.
WS07	Hei et dei Eier ümmer ohne Sajlt un Bebper.
WS08	Dei Feute taut meck sehr wei, eck glaiwe, eck hewwe sei dore laben.
WS09	Eck seÿ beÿ der Fraou weßt und hawwe ühr säggt, un sei siehe, sei woll et auk ihre Dochter seien.
WS10	Eck willt auk nich wier daun.
WS11	Eck schlo deck gleÿt met den Kukelebbel ümme dei Ahren, dau Ahbe!
WS12	Bou geihst dau hön, sühl weÿ met deck goun.
WS13	Et sind schlechte Deÿe.
WS14	Meÿe leiwe Kind, bleÿw heÿr ungene staohn, dei baÿsne Gaÿse beÿdet deck taudt.
WS15	Dau heßt heuyte amd maÿsten lehrt un bist artig weßt, dau drafst freuher noh Hous gohn ols dei Andern.
WS16	Dau bist noch nich graut genauk, ümme enne Flasche Weÿn out dau trinken, dau maust ehrst noch ein Enge wassen un gröter wern.
WS17	Gaoh, seÿ sau gaut un sech dejner Swester, seÿ soll dei Kleire vor jeue Mutter reie nejen un mie der Böste reine moken.
WS18	Härrst daune kennt! denn würet anderst komen, un et stünne better ümmer ühne.
WS19	Wei hät meck mejnen Korf met Fleisch stuhlen?
WS20	Hei dihe sau, als häre sei ühne daun datschene bestellt; sei hawwedet aower sülmt daon.
WS21	Wehne hät heÿ dei neÿe Geschichte verdelt?
WS22	Man mot leuhe kreischen, süßt versteit hei össeck nich.
WS23	Weÿ sejt meuÿe un hewwet Dost.
WS24	Als weÿ gistern Aowend düruÿe kennen, dao leijen dei Andern oll in Bedde un wührn faste ünn schlopen.
WS25	Dei Snei is düsse Nacht beÿ ossek legen bliewe, ower heuÿte Morgen is hei schmolden.
WS26	Hinger eusen Heuse stoht drei hübsche Äbbelbeime.
WS27	Köhn jeÿ nich noch ne Ajenblick ub össecl täuwen denn gaoh weÿ met jäk.
WS28	Jeÿ drüwet sau keine Kingerwark treÿwen.
WS29	Aose Barje sejt nich sau hach, jeuje sejt vele höcher.
WS30	Wo viele Bunt Woßt un wo viele Brad weje hewwen?
WS31	Ek vertaoh jäk nich, jeÿ mühtet betten leuer swatzen.
WS32	Hewweje nich betchen Stück witte Saÿbe vor meck ob mejnen Dische füngen.
WS33	Seÿn Brauer will seck twei scheine Heuyser bouen.
WS34	Dat Wohrt kam ühne von Harden.
WS35	Wat sit dar vorr Vöjgele owen ob der Meuyere.
WS36	Dat waß recht von ühne.
WS37	Dei Bauer harren fäjf Ossen un neÿen Keuhe un twölf Schaobe vor dat Dörbe brocht, dei wollen sei verkauÿben.
WS38	Dei Leuÿe sind heujte aoll bauden ob den Felle un maÿet.
WS39	Gaoh mant, deÿ breuÿne Hund daot deck nix.
WS40	Eck seÿ met den Leuÿen dr hängene aower dei Wiese in Kuhrn führt.
