---
Bogennummer: 25670
Ort: Halle
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: Miriam Schlicht
Anmerkungen: ''
...
WS01	In Winter fleiget die dräugen Bläer dör die Luft herümmer.
WS02	Et hört gleik up theu ſnein, denne wird dat Wer wir better.
WS03	Döo Käöle in dein Ööm dat die Melk antöo koöken fänget.
WS04	Die geuö änle Mann is mit dein Pere dort Eieſe bröoken un in dat käile Woter fallen.
WS05	Hei is vorr väer oder ſes Wicken ſtorm.
WS06	Dat Faäner was theu heit die Köoken ſind uhn  gans ſwarte brennt.
WS07	Hei et die Äre öone Solt un Pepper.
WS08	Die Feute deut mek ſöo weih ek gläbe eck hewe ſe dorre läupen.
WS09	Ek ſin beÿ deir Freüun weſt un hewe et ühr ſegt un ſei ſehe äick ſei wolle et ühre Dochter ſeggen.
WS10	Eck will et öick nich wir deoön.
WS11	Ek ſlo dek gleik mit dein Köokeleppel ümme die Ähren, dÿu Ope.
WS12	Wu gaſt dÿu hen ſühl wie mit dek gon.
WS13	Et ſind ſchlechte Täin.
WS14	Meiÿn leibes Kind bleif heier uhn ſtohn die bäſen Gäve beitet deck <daik>
WS15	Dÿu heſt häute an maiſten lert un biſt artige weſt dÿu drafſt freuer noh Heuß gohn as die andern.
WS16	Dÿu biſt noch nich greät genöog um eine Flaſche Weein üuttoedrinken. Dÿu moſſt äſt noch grötter werden.
WS17	Goh ſeÿi ſöo goit un ſeg deiÿne Sweſter ſei ſolle die Kläer vor ühre Mutter fertig nah nun mit die Böſten rane moken.
WS18	Härſt dÿu ühne kennt, denne würet anderste kuhmen, un et häre better um ühne ſtohn.
WS19	Wer hett mek dein Korf mit Fleiſch ſtoihlen?
WS20	Hei diehe ſöo, äs hären ſei ühne thöon Daſchen beſtellt ſei hewet et ober ſülmste dohn.
WS21	Wehne hett hei die neie Geſchichte vertellt?
WS22	Man mot lüut ſchrein ſüßß verſtaht hei et nich.
WS23	Weiÿ ſind möähe un hewet Doſt.
WS24	Aſſ wie giſtern Abend trügge keimen däi leigen die Andern all in Bedde un würen feſte an ſlopen.
WS25	Die Snei iſs düſſe Nacht beiÿ öſch ligenne blieben ober haute Morgen iſſe hei ſmolten.
WS26	Hinder üuſen Hüuſe ſtoht drei hübſche Appelbäme mit räohen Appeln.
WS27	Kühnt jei nich noch en Äugenblick lüoren denne goh weih mieh mit jök.
WS28	Jei drüwet nich ſöoo Kinderreien dreiben.
WS29	Eüuſe Barge ſind nich ſöo häoch jeu ſind viel hähter.
WS30	Ek verſtoh jök nich, jei mühtet en bieten lüuter ſpreken.
WS31	Wuh viel Pund Woſt un wuh viel Bräad will jei hemmen.
WS32	Hewet jei kein Stücke witte Säpen vorr mek up meiÿn Diſche funnen.
WS33	Seiyn Bröor will ſeck twei hüpſche neiÿe Häüſer in jüum Goren büu[???].
WS34	Dat Wurt kamm ühne von Herzen.
WS35	Dat waſs recht von ühne.
WS36	Wat ſitet doh vorr Vügel upp die Mäuer?
WS37	Die Büarn hewet veif Oſſen un nigen Kahe un twölf Sch?pe vor dat Derpe brocht die wollen ſei verkkäpen.
WS38	Die Leue ſind haeute alle büudten upp dein Felle un maht.
WS39	Goh nüne, die brüune Tiewe dat det niks.
WS40	Ek ſin mit dein Leuen do hinen öober die Wiſch int Käarn föhrt.
