---
Bogennummer: 25847
Ort: Montabaur
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Philipp Spang
Anmerkungen: ''
...
WS01	Em Wentr fleje d treue Bläder durch d Louft rem.
WS02	Et hirt gleich off z schneie, da werd dot Wedr besser.
WS03	Do Kohle en dä Owe, datt de Melch bahl on z koche fängt.
WS04	Dä gode ahle Mah eß med de Pärd durch et Eis gbroche un enn dot kahl Wasser gfalle.
WS05	Ä eß vor vier odder sechs Woche gstorwe.
WS06	Dot Feir wor zo has, dä Koche sein ja unne ganz schwarz gbrennt.
WS07	Ä ißt dä Eir emmer ohne Salz on Päfer.
WS08	De Fees don mir sehr wieh, eich glawe, ich honn se durch glafe.
WS09	Eich sein bei der Fraa gwese on honn et ihr gsot, on se hot gesot, se wollet och ihrer Dochder son.
WS10	Eich well et och net [m]e widder don.
WS11	Eich schliee deich gleich met dm Kochlöffel em die [U]hre, dau Aff.
WS12	Wu giehst dau hinn, solle mrr met dir giehe.
WS13	Et sein [schlegte] Zeite!
WS14	Mei lef Kend, bleif hai unne stiehn, die biese Gäns beiße deich dut.
WS15	Dau hoß hait am maste geliert on beß artig gwese, dau darfs freher no haus giehn, als die anner[e].
WS16	Dau beß noch ned gruß genoch, om en Flasch Wein ausztrenke, dau muß erscht noch besje wachse on grieser wiere.
WS17	Gieh, sei so god on soo deiner Schwestr, se soll die Klader für eier Moder fertig nähe on met der Bürscht rein mache.
WS18	Häß dau en gekennt! da wäret annerscht komme, on et däht besser emm enn stiehn.
WS19	Wer hot mir meine Korf met Flaasch gestohle?
WS20	Ä daht su, als hätten senn zom dresche bestellt; se honn et awer selwer gedon.
WS21	Wemm hot ä die nei Geschicht verzehlt?
WS22	Mah muß laut [schresn], sonst verstieht ä uns net.
WS23	Mir sein med on honn Durscht.
WS24	Als mr gestern Owend zorück kame, do lage die Annere schons em Bett un ware fest om schlofe.
WS25	Dä Schnie es die Nagd bei uns leje gbliwe, aber heit Morre isse gschmolze.
WS26	Henner unserm Haus stiehn 3 schöne Äppelbamcher mett ruhte Äppelcher.
WS27	Konntr nett noch en Auebleik off us warde, da giehe mr met eich.
WS28	Ihr dürft net suh Kennereie treiwe.
WS29	Us Berje sein net su huh wie eire, eire sein viel [hieher].  
WS30	Wie viel Pont Wurscht on wie viel Brud wollt ihr honn?
WS31	Ich verstiehn eich net, ihr mußt e besche laute spreche.
WS32	Hoddr ka Stekche weiße Saaf für meig off meinem Desch gfunne?
WS33	Sei Broder well sich zwa schene, neie Haiser enn eire Gade baue.
WS34	Dot Wurd kam emm von Herze.
WS35	Dot war recht von ihne.
WS36	Wod seze lo fir [V]ielcher owe off dem Meierche?
WS37	Die Bauern honn fenef Ose on neie Keh on zwölef Schäf fir dot Doref gbrogt, die wollen se verkofe.
WS38	Die Leit sein heit all drause em Feld on mähe.
WS39	Gieh nur[?]s  de braune Hond dot dr nicks.
WS40	Eich sein mit dene Leit lo henne iwer die Wiß enn dot Korn gfohre.
