---
Bogennummer: 27074
Ort: Schameder
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: 'SyHD '
Transliterent: ''
Anmerkungen: ''
...
WS01	Em Wenter flieh’n de trocke Blärrer e der Luft rem.
WS02	Es härt glech we’rrer uf ze schnegge, da wärd des Werrer werrer bässer.
WS03	Dück Kuhle e de Owe, doß de Melche bale o ze koche fengt.
WS04	Derr gurre ale Mann es met dem Paard derchs Eise gebroche un e des kale Wasser gefalle.
WS05	Hä es ver vier errer sächs Wuche gestorwe.
WS06	Des Fier es ze heeß, de Kuche sei jo unne ganz schworz gebrahnt.
WS07	Hä eßt de Eier immer uhne Saalz un Päffer.
WS08	De Fisse dün mer färchterlich wih, ech gläwe, ėch ho se derch geläfe.
WS09	Ech sei bei derr Fra gewäßt un ho’s ehr gesat, un sie sat, se wäll’s äch ehrem Madche sa.
WS10	Ech wälls äch net mi werrer dhu.
WS11	Ech schlo dich glech met dem Kocheleffel em de Ohr’n, du Affe.
WS12	Wu geste hen, sem’ mer met Der geh?
WS13	Es sei schlaagte Zeire.
WS14	Mei liewes Kend, bleib hie unne steh, de berse Gänse beïße dech dut.
WS15	Dü host haure om mehrschte geluhrt un bäst artig gewäße, Dü därfst frieher nu Häme geh wie die annere.
WS16	Dü bäst noch net gruß genüng, em e Fläsche Wei auszetränke, Dü müßt noch e Enge wosse un gresser wär’n.
WS17	Geh, seck su güt, un saag deiner Schwäster, se sill de Klärer fer öge Mutter färtig neh un met derr Bärschte re mache.
WS18	Häst Dü enn gekant! da wersch annerscht gekumme, un es däre bässer em en steh. 
WS19	Wer hot mer mein Korb met Fläsch gestuhle?
WS20	Hä dhot su, als härren se enn züm Dräsche bestahlt, se ho’s awer selwer gedoh.
WS21	Wemm hott’e de nöwe Geschichte erzahlt?
WS22	Ma müß horte kreïsche, sust verstett hä ins net.
WS23	Mer sei miere un ho Dorscht.
WS24	Als mer gester Owed zerecke kome, do loge de Anner scho em Bätte un woren fäst om schlufe.
WS25	Derr Schnie es derre Nocht bei ins leggn geblerwe, awer haure Morge erre geschmulze.
WS26	Henner insem Haus stenn drei schene Eppelbämcher mit rure Eppelcher.
WS27	Kinnt ehr net noch e Ägebläckche uf in’s worte, da geh mer met uch. 
WS28	Ehr derft net sulche Kennereie treiwe.
WS29	Inse Berge sei net färchterlich hug, öge sei veerl heger.
WS30	Wievel Pund Worscht un Brud witt ehr ho?
WS31	Ech versteh uch net, ehr müßt e bische laurer (horter) schwätze.
WS32	Hot ehr ke Steckche weïße Säfe fer mech uf meim Deïsch gefunne?
WS33	Sei Brurer well sech zwe schene nöge Heiser e ögen Gorte böge.
WS34	Dos Wort kam em vom Härze.
WS35	Dos wor raacht vo enn.
WS36	Wos setze do fer Vegelcher owe uf dem Mögerche.
WS37	De Bögern harre fünf Osse un nei Kih un zwelf Schofcher fers Dorf gebroocht, die wulle se verkäfe.
WS38	De Leire sei haure all döiße uf dem Feld un meh.
WS39	Geh nür, dä braune Hund dit d’r nix.
WS40	Ech sei met dä Leire do hänne ewer de Wesse et’s Karn gefohr’n.
