---
Bogennummer: 27083
Ort: Hochheim
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: Sabine Krause
Anmerkungen: ''
...
WS01	Im Winter fliehe die trockne Blätter dorch d’ Luft rim.
WS02	’s hört gleich uff z’schneie, dann werd d’s Were werre besser.
WS03	Du Kohln in de Owe, daß d’ Mlch baal a z’koche fängt.
WS04	Dar gouwe aale Mann is’ met d’m Gaul dorchs Eis gebroche un ins kaale Wasser gefalle.
WS05	Ahr is’ verr veier odder sechs Woche gestorbe.
WS06	D’s Feier wor z’haaß, d’ Kuche sein jo unne ganz schorz gebrennt.
WS07	Ahr ißt d’ Aier immer uhne Salz unn Peffer.
WS08	D’ Füß dun mir sehr weih, ich glawe, ich hunn se dorchgeloffe.
WS09	Ich sei bei der Frau gewest un hunn ’s ’r gesaht, unn sie saht, se wolls aach ehre Tochter sa.
WS10	Ich wills aach nit mie werre dou.
WS11	Ich hae dich gleich met ’m Kochlöffel un die Ohrn, dou Aff.
WS12	Wu giehst d’ hie, solle merr met d’r gieh?
WS13	’s sei schleechte Zeite.
WS14	Mei lieb Kind, bleib do unne stieh, die bieße Gäns beiße dich doht.
WS15	Dou host heit am mehrschte gelarnt unn bist artig gewest, dou därfst eheter hahm hieh wie die Annera.
WS16	Dou bist nit gruß genunk ver a Flasch Wei aussatrinke, dou mußt erscht noch a ’Ene wochse un graßer warrn.
WS17	Gieh, sei se gut un sa deiner Schwester, s’ soll d’ Klahre ferr eier Motter fertig nähe un met d’r Berst sauwer mache.
WS18	Häst ’n gekennt, dann wärsch annerscht kumme, un ’s däth besser um ’n stieh.
WS19	War hott mir mein Korb mit Flaasch getroffe?
WS20	Ahr hott geduh, als härresen zum dresche bestellt, se huns awer selbst geduh.
WS21	Wem horre die neu Geschicht verziehlt?
WS22	Ma muß laut greische, sunst verstieht ahr uns nit.
WS23	Mer sein müd un hun dorscht.
WS24	Wie m’r gestert Owend sarück kumme sei, d’ laga d’ Annern schunt im Bett un ware fest am schlofe.
WS25	D’ Schnei iß die Naacht bei uns leihe bliewe, awer heit Morgent iß er geschmelze.
WS26	Hinner unserm Haus stiehn drei schiene Appelbämercher met ruhre Äppelcher.
WS27	Könnt ’r nitt noch a Aageblikche uff uns waarte, dann giehn w’r met aich.
WS28	Ehr derft su ka Kinnerreie treiw.
WS29	Unser Berge seie nitt arg huch, die euer sein vill hücher.
WS30	Wie vill Pund Worscht un wie vill Brud woll ’r huh?
WS31	Ich werstiehe aich nitt, ehr müßt a bissi lauter schwätze.
WS32	Hott ’r ka Stückelche weiß Saaf ferr mich uff meim Disch gefunne?
WS33	Sei Brouara will sich zwa schiene neie Heißer in euerm Gaartn baue.
WS34	Daß Wort kam ihm vom Herze.
WS35	Deß waar reecht von ihne.
WS36	Waß sitze doh fer Völercher owe uf ’m Mäuerche?
WS37	D’ Bauern harre fünf Ochse un neu’ Kuh un zwölf Schäfercher fersch Dorf gebroocht, d’ wollte se verkafe.
WS38	D’ Leit sein heit all drauß uff ’m Feld un mahe.
WS39	Gieh nor, dar brau’ Hund duht d’r nix.
WS40	Ich sein met d’ Leit do hinne üwer d’ Wiß ins Korn gefahre.
