---
Bogennummer: 27847
Ort: Butzbach
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	I(ĕ)m Wi(ĕ)nter fläie di trockene Blerrĕr dorch di Loft ĕrüm.
WS02	Es hört gleich off ze ſchnaie, dann wirds wirrĕr gout.
WS03	Dou Ko(i)n in de Ōwe, daſſ di Melch bāld añfängt ze koche.
WS04	De gout ālt Mann i(ĕ)s mittem Gaul dorchs Eis gebråche enn i(ĕ)ns kalt Waſſer gefann.
WS05	He is vor väiĕr odar ſechs Woche geſtårwe.
WS06	Dĕs Feuer wår ze hāß, di Kuche ſaiñ jo ónne ganz ſchwåtz verbrennt.
WS07	He iſſt die Āier immer one Sālz en Päffer.
WS08	Di Fäuß doun mr wieh, aich glāwe, aich hūmmerſche dorchgelāfe.
WS09	Aich ſaiñ bei der Frā gewä(r)ſt enn huñſer geſät enn ſie ſāt, ſei wöllts irer Dochder ſañ.
WS10	Aich wills āch nied mi wirrĕr douñ.
WS11	Aich ſchmaiß dr gleich de Kåchleffel um di Ō(r)n, dou Aff!
WS12	Wu giſte hiñ, ſonnmr metdr giñ?
WS13	Es ſaiñ ſchlächde Zei(r)ĕ.
WS14	Maiñ läib Kend, bleib hir onne ſchdiñ, di biſe Geiñs beiße deich dud.
WS15	Dou hoſt haut am māſte gelä(r)nt en beſt brof gewä(r)ſt, de dorfſt fräuer hāmgiñ als di anne(r)n.
WS16	Dou beſt noch nēt grūß genueg, üm e Flaſch Weiñ auszetrinke, dou muſt noch e wink wāſe en grüßer wä(r)n.
WS17	Gih, ſai ſo gout en ſā deiner Schweſter, ſie ſoll di Klāder für auer Motter fi(r)tig nä-e en mitdr Burſchd ſauwer mache.
WS18	Heſt dou en gekennt! Dann wērſch anne(r)ſcht komme en es dēd beſſer merrem ſchdiñ.
WS19	Wer hot mr mein Kō(r)b met Fläſch geſto(i)ñ.
WS20	He ded eſo, als härreſen zom dreſche beſchdellt; ſei hūns awwer ſelbſt gedoñ.
WS21	Wem hotter di nau Geſchicht verzält?
WS22	Mĕr muſſ laut kreiſche, ſonſt verſchdid ĕr ām nēd.
WS23	Mĕr ſaiñ mäud en hun Do(r)ſchd.
WS24	Wäi mr gäſte(r)n hām kåme, läe di anne(r)n all ſchon em Bett en wåre faſt am ſchlåfe.
WS25	Der Schnie is heind Nāchd bei ūs leie bliwe, awwer haut mo(r)jen is er geſchmolze.
WS26	Hinner uñſe(r)m Haus ſchdiñ drei ſchine Eppelbēmercher mit rute Eppelcher.
WS27	Kennder nēd noch en Ā(g)eblick uff uñs vā(r)te, dann giñ mr mérruch.
WS28	Ir derft ſo kañ Kennereie dreiwe.
WS29	Ās Berje ſaiñ ned ſo hūch, auer ſaiñ vill hiher.
WS30	Wäivill Pond Wo(r)ſchd en wäivill Brūd wollder huñ?
WS31	Aich verſchdiñ auch nād, ir miſſt e biſſi lauder ſchwätzn.
WS32	Hotter kaiñ Sticketche weiß Sēf för maich uff meim Deſch gefonne?
WS33	Saiñ Brouder will ſich zwā ſchine naue Häuſer in auern Gå(r)de baue.
WS34	Dås Wo(r)t kåm em vom Herze.
WS35	Dås wår rächd von denn.
WS36	Wås ſitze da för Viegelcher ōwe uff dem Mäuerche?
WS37	Däi Bauern harre fief Ope en neuñ Käuh en zwelf Schēfercher vörs Dorf gebråcht, däi wollde ſe verkāfe.
WS38	Däi Leut ſaiñ haut all uff dem Feld en mē-ĕ.
WS39	Gih nōr, dĕr brauñ Hond doud dr naut.
WS40	Aich ſaiñ met de Leut do hiene üwwer di Wiſſ ins Korn gefå(r)n.
