---
Bogennummer: 28272
Ort: Lohra
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Em Wenter flägge de troakkene Blärrer en der Loft herim
WS02	Es hirt glech of zu schneie dahwerd doas Werrer werer besser
WS03	Thoau Koon en Owe deß de Melch bal oze koache fenigt
WS04	Der goaure ale Mann es met dem Gaul durchs Eis gebroache und ens kale Wasser g’fann
WS05	Er eß vir väer oawer sechs Woche g’storwe
WS06	Doas Feuer woar zeu häß die Küche seig zo onne ganz schwoarz gebroant
WS07	Er eßt die Aiger immer uhne Sahlz en Pfeffer
WS08	Die Foiß duh mehr weih eh gläwe aig huh mer seih durch g’loafe
WS09	Aich sai bei der Fra g’west enn huhs ihr g’sät enn s?i säht se wills erer Tochter sähe 
WS10	Aich wills oach net mieh wirrer douh
WS11	Aich schloh daich gleig met dem Koochlöffel hinner die Ohrn du Affe
WS12	Bu gist du hihe selln mir met dir gih
WS13	Es sai schlaichte Zeire
WS14	Mai laibes Kend blei hie enne stieh die biese Gais beise dich tudt
WS15	Du hoast haure om meste g’ lernt en best oartig giewiest, du dorfst früher noch hehm gieh aals die Anner
WS16	Du best noch net gruß g’nug imme Flasch Wei aus ze’ trenke du mußt erst  noch e en woase en größer wärn
WS17	Gih sei so goaut en säih deier Schwester sie soll die Klärer für aue Meurer fertig mich en mit der Bürst väh mache
WS18	Hätst du ihn g’kahnt dann wärs anners g’komme en es that besser em ihn stieh
WS19	Wer  hot mer mein Korb mit Fläsch g’stärn
WS20	Er thät als häre se ihn zum Dreesche bestahlt, sih huhs oaber selber g’ stoh
WS21	Wemm horre deä naue Geschichte erzohlt?
WS22	Mer muß laut gresche sost verstitt erous nitt
WS23	Mir sei Meu ön huh Döscht
WS24	Als wer gester Owend zereck kome loage dai annern em Bett en woarn fest om Schlof
WS25	Der Schnaiu? Eß desse Nocht bai ais leige geblewe ower desse Morgent isse g’ schmolze
WS26	Hinner unsem Haus stieh drei Appelbeme met rure Äbbel
WS27	Kinnt ihr nit noach enn Oageblick off uns woarte dah gih mir met  ach
WS28	Ihr düft nit so Kennerei treiwe
WS29	Eus Berg sai nitt sehr huuk au sei viel hieger
WS30	Weä viel Pont Woscht enn wea viel Brud willt ihr huh
WS31	Aich verstih ach nit ihr mußt eh beßge laurer schwetze
WS32	Horr ihr n Steckche waiße Säff für mech of meim Tesch gefonne
WS33	Sai Braourer will sich zwä schiene naue Häuser en aue Gate baue
WS34	Doas Woart kum ihm vo Herze
WS35	Doas wor recht vo ihm
WS36	Was setze  do für Vügel owe of dem Meuerchen 
WS37	Die Leu harre fünf Össe neuh Küü zwelf Schof virs Dorf gebrocht en wollte se verkefe
WS38	Die Leu sei all daeße of dem Feld en Mehe
WS39	Gih nu der braune Hond thoaut dir nauht
WS40	Aich saih met de Leu dohenne ewer de Wieß en des Korn gefoahre
