---
Bogennummer: 28617
Ort: Raboldshausen
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Em Wengder fliggen die troiken Blärrer en der Loft rem.
WS02	Es hert glich of zu schein, dann werd öch des Wetter werre besser.
WS03	Lek Holz en Own; daß de Melch bale onfengt t’ze kochen.
WS04	Der gurre ale Mann es met dem Gül derchs Is gebrochen on ins kale Wasser gefalle
WS05	He es vär vier odder sechs Woche gestorbe
WS06	Dos Für wor zu heß, die Kuche engen ganz schwarz gebrant
WS07	He eßt die Eier immer ohne Salz on Peffer
WS08	Di Fiß tun mä sehr wie, ech glöb ech hon sä derchgelöfe.
WS09	Ech benn bei der Frö gewest on honns er geset, on se set se will es öch ihrer Tochter sen
WS10	Ech wells öch net ni werre dünn
WS11	Ech schleg dech glich mett dem Kochleffel em die Ohre Du Aff.
WS12	Bu gest du henn, sunn mä met dä genn
WS13	Es sinn schlechte Ziere
WS14	 Ming liebes Kängd, blieb hie öngen stenn, die beesen Gänse bissen dech dot
WS15	Du host heit om mensten gelernt on west ortig gewest, du därfst frieher heim gen als die annern
WS16	Du bäst noch net groß genung, em eine Flasch Wing üszetränke, du mußt erst noch en beschen wassen en gress wern
WS17	Ge, sik so gu on sä dinner Schwester, sä sill die Kleerr füor ugre Motter ferteg nehe on mett die Berscht rein mache
WS18	Häst du änn gekahnt. Dann wärsch angert gekommen un es sting besser um änn.
WS19	Bär hott ming Korb met Flesch gestohln –
WS20	Er dod so, als harre sä en zum dresche bestalt; sä honns awwer sälwer geton
WS21	Bem horre die neue Geschichte verzahlt.
WS22	Mä muß lüt goiken sost verstett he ens nett
WS23	 Mä sinn mied on honn Dorst
WS24	Als me gestern Abend heim kemen, do lagen die annern schen on schliffen
WS25	Der Schnee es derre’ Nocht bei ins leigen gebläwwen, aber derren Morgen en wedder fort. 
WS26	 Henger ensem Häs stenn drei schenne Appelbemmerchen met rohr Äppelerche.
WS27	Kund dä net noch ei Ögebläckche off ens warte, dann genn mä met uch
WS28	Dä därft nett solche Kändereinn trieben.
WS29	Euge Bärge sing nett sähl hoch, üche sinn väl hecher.
WS30	Bie väle Pönd Worst onn Brod wutt dä honn.
WS31	 Ech versteh üch nett, dä mußt än beschen lüder sprechen.
WS32	Hott dä ke Steikche wiß Seef vär mech off minnem Tesch geföngen
WS33	Sinn Brurrer wäll zwä scheene neue Hisser än eurem Gorte bäuwe.
WS34	Dos Wort kom em vom Herze
WS35	Dos wor recht von ämme
WS36	Bos setze do fär Velerche, obe off dem Miererche
WS37	Die Büre harre fönf Osse, on nien Kie, on zwälf Schäferche vär’s Dorf gebrocht, on wulle sä verköfe.
WS38	Die Liet sinn herr all drusse off dem Fell on mehn
WS39	Geh doch nur, der brunne Höngd ditt dä nischt.
WS40	Ech benn mett den Liern do henge ewwer die Wess ens Korn gefahrn.
