---
Bogennummer: 30077
Ort: Trakseden
Sprache: Litauisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Ziemoje lek ſauſegje Lápai per Ora
WS02	Weikei palaujá ſnigti, tada bus wel geresnas Ors
WS03	
WS04	Geraſis, ſenaſis Wirs ÿra ſu Arkliû per Ledá lûźes ir i ſzaltaji Wandeni i půles
WS05	Jisai ira pirm 4 arba 6 Nedeliu mires
WS06	Ugnis buwo per karſzta, Pÿragai ira apaczojé jůdai ſudege.
WS07	Jisai walgo Kiauſzus wis be Druſkos ir be Pipiru
WS08	Kojes man labai ſkaust, aſz wieriju, aſz esſu jes prasſibeges
WS09	Aſz buwau pas ta Motera ir jei tai ſakiau, ir ji ſake, norinti tai ir ſawo Dukterei ſakiti
WS10	Aſz taijau ir daugiaus tap taip ne darÿſu.
WS11	Aſz tawe tůjaus muſzu ſu Samcziu apie Auſis, tu Besdzenka.
WS12	Kur tu eini, ar mes ſu tawimi drauge eiſim
WS13	Ira pawogingos Gadÿnes
WS14	Mano mielimaſis Kudik, paſilik ſziczon apaczoj ſtoweti, nelaboſes Źaſis kand tawe Smertnei.
WS15	Tu esſi ſzendien daugauſei iſz mokines ir esſi patogus buwes, ta gali ankſczcaus namon eiti kaip Kiti
WS16	Tu ne esſi dar gana didelis, Wÿino Pleczka iſzgerti; tu turi gala augti ir didesnes paſtoti.
WS17	Eik, buk taip gers ir ſakik tawo Seſerei, je paſutu juſu Motinai Drebuſzus ir ſu Berſztu nuwalÿtu
WS18	Kad tu ji butai pazines tai butu kitaip ege, ir ſu jůmi geraus butù
WS19	Kas mano Kaſzele ſu Mēsa pawoge?
WS20	Jis dare taip, kaip kad jie ji butu kulti wadine, jie alle tai patis atliko.
WS21	Kam jis ta naujaji Nuſidawima papāſakojo
WS22	Turim aiſzkei ſzaukti, ſzeip jie mus ne permano
WS23	Mes esme pailſe ir iſz troſzke
WS24	Kaip mes waker Wakare ſu grÿſome. tai jau kiti Lowojē gulejo, ir buwo drutam Miege
WS25	Sniegas ſzenakt pas mus paſiliko guleti, ale ſzierit ſutirpo.
WS26	Uz muſu Buto ſtow tris grazes Obelikes ſu raudonais Obůlaiczeis.
WS27	Ar jus ne galetumbit Akies mirkſnuka ant muſu laukti tada mes eiſim ſu jumis
WS28	Jus ne priwalot tokius Raſpustus wariti.
WS29	Muſu Kalnai ne ira labai aukſzti, juſeje ÿra daug aukſztesni.
WS30	Kiek Swaru Deſzros ir kiek Důnos jus norit.
WS31	Aſz jus ne permanau jus turit maźuma aiſzkiaus kalbeti.
WS32	Ar jus ne radot ant mano Stalo ſtukeli baltoji Muilo.
WS33	Jo Brolis nor juſu Darźe dwi grazes, naujès Trobas paſibudawoti.
WS34	Tas Zodis iſzejo jam iſz Szirdies
WS35	Tai buwo Taiſei nu juſu.
WS36	Kas tup cze per Paukſztÿczei wirſzui ant Muroko.
WS37	Burai buwo penkis Jauczus ir dewines Karwes ir dwÿlika Awikiu iſz Kiemo iſzgabene, tus jie norejo pardůti.
WS38	Zmones ira ſzendien wisſi lauke ant Lauko ir pjauja.
WS39	Tikt eik, rudaſis Szů taw nieko ne daro.
WS40	Aſz waſewau ten uſzpakalij ſu Zmonemis per Piewa i Rugius
