---
Bogennummer: 30084
Ort: Nidden
Sprache: Lettisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Siäma läts ßaußas lapas is gaisa apkarti.
WS02	Wel jau pradda snikti, tad busu gaißas wel laps.
WS03	Liäts Uoglis isch kraßnis, kad tas piäns graiti saswirti turr.
WS04	Tas labaisch wetzaisch wiers ir ar sirgu is leddus iäkritis ir ista auksta udingi krittis.
WS05	Wintsch ir priäksch tschetturri arba schiëscho niedelio miërres.
WS06	Ta ugni bi par karsta, tiä ko[?]ki ir apakscha gauz melli sadaguschi.
WS07	Wintsch iäd tos kiauschis wis praddim bi ßales ir bi pipparu.
WS08	Tas kajas man pardaug ßap, es doamajo es eßu par daug parsiskrejis.
WS09	Es eßu pi tas sewos bijis und es wingu satsegu und winga satsega, winga gribbeja sawo maita satseta.
WS10	Es gribb[u] ne magg to daretta.
WS11	Es sischa tewe tujau ar to werdamo=leppili gar außim, tu bedschan.
WS12	Kur tu [iëtti], wa meß ar tewi eßam?
WS13	Nu ir slekti laiki.
WS14	Mana miälaisch waikili, paläd schischi samui stawed, tas piktas soasis koasch tewi pi [smerritshen].
WS15	Tu eßi [schoadiu] wißu daugummu mazigis und eßi pakagings bijis, tu warri jo āgirri pits maju iät kad tä ziti.
WS16	Tu dar ne eßi par [didzu] gana wiäno būddelki wina isdserti, tu turri dar bischki aukti ir jodisch but.
WS17	Ei und stawe tads laps und saki tawa maßai, wingai turr tas dranas par sawa mati gatawas schuti und ar
WS18	Kad tu winga but [pasinnis] buti zitadi nazis und but stawejis ar winga labai.
WS19	Kas turr mane kiozi ar galliu paßadsis?
WS20	Wintsch darië ta kad wingi b[u]tu dräschali pastellajusch, winga ale paschi darrië.
WS21	Kam wintsch tas jaunas paßakes paßaziga.
WS22	Ehs turru dikti saukti scha wintsch numis neparmanne.
WS23	[Meß] eßam pawargusch und turram slapumu.
WS24	Kad mäß wacker wacker pargajem, ta gullejo ta zitti jau gulta und bija fasti iämegusch.
WS25	Tas sniäks ir scho nakti pi mußu pulätzis ale scho rit ir wintsch satirpis.
WS26	As mußu namma staw tris puiki abole koaki ar sarkanis abolennis.
WS27	Wa jus newaret wieno bischki ufmumis gaidetti tad miäs [iäßum] ar jums.
WS28	Ius ne turret taddus [niäkes] ziti.
WS29	Mußu kalni nau taddi dizi tiä jußu [daug] jo dizi.
WS30	Ziäk schwarru wurschzu ir kadauds maifes jus gribat.
WS31	Es neparmanu jummies jus turrat wienu bischki dikti satziti.
WS32	Wa jus neturrat newiena stukkila baltu Zepu par manni us manna galdu raduschi.
WS33	Winga bralis gribb dui puikus jaunus nammus is mußu darza budawati
WS34	Tas warts nazi wingam nußirdis?
WS35	Tas biji labi no winga.
WS36	Kas ßiäż ti par pudnenni aukschum us to murenno.
WS37	Tä buri tur piätzus wirzchus und dewinges goawes und dewilika awennu priäksch ta dziäma adwäduschu tos wingi gribbeja parduati.
WS38	Tä laużi ir schoadinni wißu lauku uß to lauku pliauti.
WS39	Ei nu tas brunaisch suns tewi niëka nedarres.
WS40	Es eßu ar tes lauzis tiä pakallia par pliawam iß graudu iäjajiß.
