---
Bogennummer: 30275
Ort: Deutsch Oth
Sprache: Französisch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: Marc Duval, Sorbonne Paris
Transliterent: Marc Duval
Anmerkungen: ''
...
WS01	Pendant l’uvér les feuilles dessechi volant en l’air.
WS02	Il vā quittai de négî, épu lo temps rêvèrré bé.
WS03	Mette dé la houille dans l’fourné, po qué l’lăssé boilleusse ben vite.
WS04	Lé bon vieu houmme é păssaye au travére dé la glace aveu s’cha--u et il è tombaye dans l’au freude.
WS05	Il è mōo detpus quatre ou sin seménes.
WS06	Lé fü ateu trop fōr, lé toré atint tortau brülaye desou.
WS07	Y minge toujou ses yeus sans saye ni poive.
WS08	Les pieds me fayont tout mō, je creu qu’j’ā trop marchi.
WS09	J’a étu su la famme, es/t jé l’y ā dit, et elle é dit qu’elle lé d’reu à sa gauche étou.
WS10	J’né l’féra pu non pu.
WS11	J’té foutra la kii à pot su les orèyes, singe.
WS12	Ous qué t’va ? est-ce qué j’ devons n’allaye aveu té.
WS13	C’est des mauvais temps.
WS14	Me chér ăfant demōr toucé, embache, les movaises ōyes té mingerint.
WS15	C’est té qué lé mieux apprin ănū, et té ătu gentit, té pourré t’en nollaye avant les autes.
WS16	Té n’ème co assaye grand pou boire enne bouteille dé vin, il faut qué t’krescheusse co in po es qué t’fū pu grand.
WS17	Va der a ta sœur qu’elle acheveusse les betins de not mér es qu’elle les nettieusse aveu eune brou<(/au)>che.
WS18	Si t’vlèveu connchu, ç’areu atu autrement, et il areu mieux prosperaye.
WS19	Qui est-ce qui mé prin mé păni de chā ?
WS20	Y feyeu mention d’avoir atu commandaye dé băte, mā i l’ont fā zaou mém’.
WS21	A qui est-ce qu’il é raconté la nouvelle histoire ?
WS22	Y faut [bayi] fō, ou ben inn’ compenreum’.
WS23	Jé son hodaye et j’on seuye.
WS24	Quand j’on r’veni hier a la nu, les aut’ atins déja couchi et dormint come dé [tŏ].
WS25	La nè[ĕ]ge é d’moraye toute la nuti, mè anu o matin elle é fandu.
WS26	Dri chenou n’y é treu bé ptit pemi aveu dé rouges pommes.
WS27	Est-ce qu’é vé n’ pourrīnmes n’attende co in moument ? alors jé vron aveu vou.
WS28	Vé n’deveumes far dé porreyes enfantillages.
WS29	Nos cōtes né sont oua haūtes, les votes sont bēn pu hautes.
WS30	Combien de lives dé saucisses et combien d’pé v’leuve avoir ?
WS31	Jé n’ veu comprenme, i faut cousaye in pau pu haūt.
WS32	Est-ce que v’naveūmes trouvaye in petit lopin d’savon blanc por mé su ma taūye.
WS33	Sé frère veu bātir daou belles nieuves majons dans vot jardin.
WS34	Lo mot li v’neu don cœur.
WS35	C’ateut bin de lō part.
WS36	Qu’est-ce qué c’est qué ces petits jŏnes qui sont su la p’tite meuraye ?
WS37	Lé rabouraou avint amoénaye neuf bieux et neuf vaches et douze aniés d’vant le village, i v’lin les vende.
WS38	Tout le monde é aux champs anu et i fauchont.
WS39	Va t’en toujou, lé chin brun né t’féré rin.
WS40	Ma voiture mè moénaye dans lé blayes aveu cé gens-la, au travers des prayes.
