---
Bogennummer: 32050
Ort: Mehlingen
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Im Winter flieh’n die druckne Blärre in der Luft h’rumm.
WS02	Es hört gleich uff s’schnee, dann werds Werre beser.
WS03	Dun Kohle in dr Owe, daß die Milich a̰ fangt se͡ koche.
WS04	Dr guure alte Mann iss mirm Gaul ins Eis gebroch unn ins kalte Wasser gefall.
WS05	Er isch vorr vier orre sechs Woche gestorb.
WS06	s’ Faier war se’ stark, die Kuche sinn jo all unne ganz schwarz vebrennt.
WS07	Er ess’t die Aier immer uh̰ne Salz un̰n Peffer.
WS08	Die Füß du’hmer weh, ich glab ich hann se dorch geloffe.
WS09	Ich bin bei dr Fraa gewest unn hann’sr gesah’t unn sie sah’t sie wollt’s ah erer Tochter sah.
WS10	Ich will’s ah net wirre dṵn.
WS11	Ich schlah de͡r gleich mirm K̰ochlöffel an die Ohre, du Aff.
WS12	W̰o gescht de h̰ie, soll ich mit der geh.
WS13	s’binn schlechte Zeite.
WS14	Mei lieb Kind, bleib do̰ hunne steh, die böse Gäns beißen dich dot.
WS15	Du hoscht heit am menschte gelernt, unn bischt ordlich gewest, du derfscht eder hem as wie die annere.
WS16	Du bischt net groß genunk um e Flasch Weḭ aus se drünke, du muscht erscht noch ebes wachse unn größer werre.
WS17	Geh, sei so gut unn sah’s deine Schweschter, sie soll die Klè(K)re for eiere Mo̰tter fertig nähe unn mit de Berscht sauber mache.
WS18	Häschte ne gekennt? do wers annerscht worr, unn s’ dät besser mirm steh.
WS19	Wer hot mer mei Korb mit Flesch gestohl.
WS20	Er dut so, as herrn se ihn zum dresche beschtellt; sie hann’s aw̰er selbert gedu.
WS21	Wemm horre die nei Geschicht verzählt.
WS22	Mr muß hart kreische sunscht verstehre uns nett.
WS23	Mer sinn müd unn henn Dorscht.
WS24	Als mer gestern Nobend se rück gekumm waren, do̰ henn die Annere schun im Bett geleh unn waren fescht am schlo̰fe.
WS25	Dr Schnee iss denne Nacht leihe bleb, awer heut Morje isch’r geschmo̰lz.
WS26	Hinner unsrm Haus stehn drei schenne Apebämcher mit ro̰re Äpelcher.
WS27	Könn ner nett noch e Ablick uff us warte not geh’ mer mirr euch.
WS28	Er derfen nett so Kinnerei treibe.
WS29	Unsere Berje sinn nett so ho̰k, die eiere sinn viel höher
WS30	Wievel Pund Worscht unn wievel Bro̰d woll ner hann?
WS31	Ich versteh euch nett, è͡r müssen e bische härter plauere.
WS32	Henner ke Stückelche weißi Sef for mich uff mein Disch funn.
WS33	Seḭ Brure will sich zwee schenne naie Haiser in eirem Gaarde baue.
WS34	Das Wort issm vo̰m Herze kumm.
WS35	Das war recht vunene.
WS36	Wa͡s sitze do̰ for Vöögelcher owe uff dem Mäuerche.
WS37	Die Baure henn fünf O̰chse unn na̰i Küh unn zwelf Schäfcher vorr’s Dorf brung, die wollten se verkafe.
WS38	Die Leut sinn heut all draus uff’m Feld unn mähen.
WS39	Geh norre dè͡r braune Hund dut dè͡r nichts.
WS40	Ich bin mit de Leut do̰ hinne iwer die Wisse ins Korn gefahre.
