---
Bogennummer: 32067
Ort: Erpolzheim
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Winter flijen die truckene Blerer in de Luft erum.
WS02	s heert glei uff se schneige, not werd’s Werrer wirrer besser.
WS03	Duh Kohle in de Owe, daß die Milich bal’ a se koche fangt.
WS04	Der gure alte Mann is mirem Gaul dorch’s Eis gebroche un̄ ins kalt’ Wasser g’falle.
WS05	Er is vorr vier orrer sechs Woche gschtorwe.
WS06	s’ Feier war so stark, die Kuche sinn jo unne ganz schwarz gebrannt.
WS07	Er ißt die Aijer immer uhne Salz un Peffer.
WS08	die Fiß dhunmer weh, ich glaab ich habse dorch geloffe.
WS09	Ich bin bei de Fraa geweßt un habbser gsaad, un sie hott gsaad, sie wollts a ehrer Dochder sae.
WS10	Ich wills a nimmi wirrer dha̰.
WS11	Ich schlak dich glei mimm Kochlöffel um die Ohre, du Aff!
WS12	Wu gescht’n hie, sollemerr mit der gäh?
WS13	s’ sinn schlechte Zeire!
WS14	Mei liewes Kind, bleib do unne stäh, die böse Gäns beißen dich dot.
WS15	Du hoscht heit am mänschte gelernt unn bischt ardig gweßt, Du derfscht friher heem geh aß wie die Anere.
WS16	Du bischt noch nett groß gnunk, um e Flasch Wei aussetrinke, du muscht serscht noch ebbes wachse un̄ größer were.
WS17	Geh, sei so gut unn sak deiner Schweschter, sie soll die Klährer forr eier Mutter fertig nehe unn mit de Berscht sauwer mache.
WS18	Hescht’n gekennt! do wer’s anerscht kumme, unn s det besser um’n stäh. 
WS19	Wer hot mer mei Korb mit Fläsch gschtohle?
WS20	Er dhut so, als heren se ihn zum Dresche bschtellt; sie henns awer selwer gedha.
WS21	Wemm horrer die neu Gschicht vezehlt?
WS22	Mrr muß laut kreische, schunscht versteht er uns nett.
WS23	Mer sinn mid unn henn Dorscht.
WS24	Als mer geschter Owend serück kumme sinn, do henn die Anere schunn im Bett geläje unn waren fescht am Schlo̠fe.
WS25	De Schnee iß heint Nacht bei uns leije bliewe, aber heut Morje is er gschmolze.
WS26	Hinner unserm Haus stehn drei schöne Eppelbämcher mit rore Eppelcher. 
WS27	Könne ner nit noch e Ageblickche uff uns wa̠rde, not geh mer mirr euch. 
WS28	Ehr derfen net so Kinnerreie treiwe.
WS29	Unsere Berje sinn net so hoch, eire sinn viel höcher.
WS30	Wiefehl Pund Worscht unn wiefehl Brod wenner dann hawe?
WS31	Ich versteh euch net, ehr müssen e bissel lauter plaurere.
WS32	Henner ke Stück’l weiße Se̱f forr mich uff meim Disch gfunne?
WS33	Sei Brurer will sich zwee schene neie Heiser in eierm Gaarde baue.
WS34	Das Wort kam ihm vun̄ Herze!
WS35	Daß war recht vunn ihne!
WS36	Was sitzen do forr Vöglcher owe uff dem Mäuerche.
WS37	Die Bauere henn fünf Ochse unn nei Kih unn zwölf Schäfelcher forr das Dorf gebrocht, die wollt’n se verkaafe.
WS38	Die Leit sinn heit all drauß uff’m Feld unn mehen.
WS39	Geh nore, der braune Hund dhut dehr nix.
WS40	Ich bin mit de Leit do hinne üwer die Wiß ins Korn gfahre.
