---
Bogennummer: 33244
Ort: Albersweiler
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Im Winder fliegen die trugene Blerrer in de’ Luft rum.
WS02	’s hört gleich uff sé schneige, nocht werd’st Werrer wirrer besser.
WS03	Dhu Ka̰ule in deA̰uwe, daß die Millich ball’ anfangt sé koche.
WS04	De gure alde Mann esch mirem Gaul dorchs Eis gebroche unn in’s kalt’ Wasser g’fallé.
WS05	Er esch verr vier orrer sechs Woche gschtorwe.
WS06	S’ Feier war sa̰=u schtark, d’ Kuuche sinn jo unné ganz schwarz verbrennt.
WS07	Er eßt die Eieer immer uhné Salz und Peffer.
WS08	Die Füß’ dhun merr weh, ich gläb, ich häbb sé dorchgeloffe.
WS09	Ich benn bei de’ Frä geweßt unn häbb er’s g’sagt, unn sie sagt, sie will’s ach ehrer Dochder sage.
WS10	Ich will’s ach nimmi wirrer dhu!
WS11	Ich schlach der gleich mirrem Kochlöffel uff die Ohre, du Aff!
WS12	Wu gehscht anne, selle mer mit der gä̰hḭ?
WS13	’sinn schlechde Zeide!
WS14	Mei’ lieb’ Kind, bleib do unne schtä̰hḭ, die bä̰=isé Gäns beißen dich da̰ut.
WS15	Du hoscht heit am menschde gelernt unn bescht ardig geweßt, du därfscht früher hemgä̰hḭ’ aß die Annere
WS16	Du bescht nan nit gra̰=uß genunk, um e’ Flasch Wei’ aussetrinke, du muscht erscht noch ebbes wachse un grä̰=ißer werre.
WS17	Geh, sei sa̰=u gut unn sag’ deine Schweschter, sie soll die Klärer fer Eier Mudder fertig mache unn mit de’ Berscht sa̰=u-wer mache.
WS18	Hetscht’n gekinnt, so wärs annerscht kumme unn ’s dhet besser um’n schtä̰hḭ.
WS19	Wer hott mein’ Korb mit Fleesch g’schtohle?
WS20	Er dhut sa̰-u, aß herren s’n fers Dresche bschtellt; sie häns awer selberscht g’dhu.
WS21	Wem horrerr die nei’ G’schicht verzä̰hilt.
WS22	Merr muß laut kreische, schunscht verschteht err uns nitt.
WS23	Meer sinn mid unn henn Dorscht.
WS24	Als merr geschtere Owend serück kumme sinn, waren die Annere schunn em Bett geleche , unn waren fescht eḭgschlofe.
WS25	De’ Schnee esch in de’ Nacht bei uns ligge geblewe, awer heit Morgen esch er g’schmolze.
WS26	Hinner unserm Haus stä̰h=in drei schä̰=ine Elbelbämlich mit ra̰=ure Ebbelcher.
WS27	Kinn er nitt noch e’ Ägeblickche uff uns warde, nocht gä̰hḭ merr mirrich.
WS28	Er derft sa̰=u ke’ Kinnereie dreiwe.
WS29	Unser Berg sinn nitt sa̰-u ha̰=uch, eier sinn veel hä̰=i-cher.
WS30	Wieveel Pund Worscht unn wieveel Bra̰=ud wenn err hann?
WS31	Ich verschteh Eich nitt, err müssen e’ bissel laurer plaurere.
WS32	Henn’ err ke Stick’l weiße Säf fer mich uff meim Disch g’funne?
WS33	Seḭ Brurer will sich zwä schä̰=ine neie Heiser in Eierm Garde baue.
WS34	Das Wort esch’m vunn Herze kumme.
WS35	Das esch recht vunen geweßt.
WS36	Was sitzen do fer Vegelcher owe uff’m Meierle?
WS37	Die Bauere henn fünf Ochse unn neḭ’ Küh, unn zwelf Schöfelcher vor’s Dorf gebroocht, die hennsé wellé verkäfe.
WS38	Die Leut’ sinn heit all’ drauß’ uff’m Feld unn meeh=en.
WS39	Geh’ nerre, der braṵ Hund machdeer nix.
WS40	Ich benn mit de’ Leut’ do hinne iwer die Wiß in’s Korn g’fahre.
