---
Bogennummer: 42661
Ort: Frauenkirchen
Sprache: Deutsch
Bogentyp: A_II
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	In Winta fliagn die truckana Blal in da Luft umana’nda.
WS02	Glei wiads anfhean van schneim nocha wiad das We’ida wiede be’ssa.
WS03	Le’ch Kujn in Oufa, daß die Müch bojt zum koucha a’ufa’ngt.
WS04	Der guiti ojdi Mou is’ mit die Rouß duachs Eis broucha und ins kojdi Wossa g’fojn.
WS05	Ha is’ voa via oda se’chs Woucha g’stoam.
WS06	Das Feia woa z’stoak, die Beigln san jo untn gounz vabre’nnt.
WS07	Ea ißt die Oa oü[w]ü ouhni Sojz und Pfe’ffa
WS08	Die Fiaß tama sou weh, i glauw i hobs durch lafa.
WS09	I bin bei da Frau gwe’sn und how ias g’sogt und sie hot g’sogt, sie hots ihra Tochta a sogn wou’n.
WS10	I wüjs a nimma mea toa!
WS11	I schloch die glei mit de’n Kui’le’ffü um die Oawaschl du Off!
WS12	Wou gehstn hi’ sujma mit dia ge’in?
WS13	Schlechti Zeitn san!
WS14	Mei liabs Kind bleiw do untn ste’hn, die schlechtn Ga’ins beißn di z’tot.
WS15	Du host heit am mehrigstn gleant und bist brav gwe’sn du däafst friacha hoam ge’hn ojs die oundan.
WS16	Du bist nou nit groß gmui um a Floschn Wei’ ausz’trinka du muißt eascht nou wos wochsn u. gre’ssa wean.
WS17	Geh sei sou guit und soch deina Schwe’sta, sie suj die Kloada fia e’nga Mutta fiali nah’ und mit da Biaschtn sauwa mocha.
WS18	Wonnst’n du ke’nnt h[a]st wa’s aundascht ke’mma und tat be’ssa um iam ste’hn.
WS19	Wea hotn mein Koaw mitn Fleisch gstujn?
WS20	A sou hatas gmocht ojs wouns’n hät’n zum dre’schn b’stöjt; sie houms owa söwa tou!
WS21	We’n hotatn die neichi G’schicht dazöüt?
WS22	Do muiß ma laut schrei’ sunst vasteht’r’ uns nit.
WS23	Mia san miad und houm Duascht.
WS24	Wia ma ge’stan af’d Nocht z’ruck ke’mma san, hans schan olli in be’stn Schlof g’le’gn.
WS25	Da Schne is’ de’ Nocht bei uns lieg’n bliem owa heit inda Fria is’a z’gounga
WS26	Hinta unsan Haus ste’nga drei sche’ni Äpfübama mit roti kloani Ä’pfü.
WS27	Kennt’ns nit an kloan Augnblick woatn af uns, doun geh’ma mit e’ng.
WS28	Ees deafts nit söüchi Kinarein treim.
WS29	I vasteh’ iahna nit se’i mia’ss’n a bissal lauta re’dn.
WS30	Wiavü Pfund Wuascht u. wiavü Brot wöüzn hom?
WS31	Unsri Beagn san nit recht hoch e’ngri san vü hecha.
WS32	Hobts e’s koa Stickl weißi Soaf fia mi af mein Tisch g’fundn?
WS33	Se’i Bouida wü sie zwoa sche’ini neichi Heisa in e’ngan Goatn bau’. -
WS34	Das Woat is’ iahm van Heazn ke’ma!
WS35	De’is is’ recht gwe’ist van iahna!
WS36	Wos sitztn do fia Va’ichaln oum af deoa kloan Maua?
WS37	Die Bauan houm finf Ochsn und nei’ Kiah und zwöüf Schof voa das Doaf brocht sie houms wöün vakafa.
WS38	Die Leit san heit olli daußtn am Föd und tan mäh’.
WS39	Geh nia, da brauni Hund tuit da nix.
WS40	I bin mit de’ Leit do hint’n iwa die Wiesn ins Troad g’foan.
