---
Bogennummer: 42737
Ort: Oberpullendorf
Sprache: Ungarisch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: Kathrin Wollenschläger
Anmerkungen: ''
...
WS01	Télen a száraz levelek a levegöben röp ködnek.
WS02	A havazás mindjárt eláll esaz idöjárás jobb lesz.
WS03	Rakj szenet a kályhába, hogy a tej mindjárt forrjon.
WS04	A jég a jó öreg ember és a ló alatt beszakadt és mind a ketten a hideg vizbe estek.
WS05	Ö négy vagy hat héttel ezelött meghabt.
WS06	A tüz igen erösvolt és a kalács alul egészen megégett.
WS07	Ö a tojásokat mindig só és bors nélkül eszi.
WS08	Lábaim fájnak, azt hiszem felvannak törre.
WS09	Én az asszonynál voltam és megmondtam neki, ö azt mondta, hogy ö majd a lányának is megfogja mondani.
WS10	Többe nem fogom tenni.
WS11	Azonnal fejbe verlek a fözökanállal, te majom.
WS12	Hová mész, veled menyünk?
WS13	Rossz idök vannak.
WS14	Kedves gyermek maradj itt állva, a haragos libák megharapnak.
WS15	Ha te tanultál legtöbbet, legilledelmesebb voltál, azért elöbb mehetsz haza mint a többiek.
WS16	Meg nem vagy elég nagy hogy egy üveg bort igyál, arra meg rá ersz.
WS17	Monddmeg testvéretnek, hogy anyátok ruháját varrja meg és a kefélje ki.
WS18	Ismerded volna öt, akkor máskepen eselekedtil volna, és neki job sora volna.
WS19	Ki lopta el a kosaramat a hússat?
WS20	Ö úgy tett, mintha öh fogadták volna fel a csépeleshez, pedig ök maguk végezték.
WS21	Kinek mondta el az új mesét?
WS22	Haabálva kell beszélnünk különben nem ért meg bennünket.
WS23	Fáradtak és szomjasak vagyunk.
WS24	Mikor tegnap vissza jöttünk, a többiek már ágy ban feküdtek és mélyen aludtak.
WS25	A hó nālnuk éjjel megmaradt, de reggelre elolvadott.
WS26	Háznuk mögött három szép almafa all, piros almákkal.
WS27	Nem várhatnátok egy pillanatnyit, akkor veletek megyünk.
WS28	Hy gyerekességeket nem seabad lennetek..
WS29	Hegyeink nem igen magasatz, a tieitok solzkal magasabbak.
WS30	Hány font kolbászt és kenyeret akartok?
WS31	Nem értelek benneteket, beszéljetek hangosabban.
WS32	Nem találtatok egy darab szappant részemre, az asztalomon?
WS33	A batyája két szép há zat akar kertetekben épiteni.
WS34	Szivéböl beszélt.
WS35	Az jó volt tölük.
WS36	Milyen madárkák ülnek ott a falon?
WS37	A garalák 5 öt ökröt, kilenc tehenet és tizenkét birkát hoztak a faluba, melyeket elakartak adni.
WS38	Az emberek ma mind kint vannak a mesön és kaszálnak.
WS39	Menjesak, a barna kutya nem bánt.
WS40	Én itt hátul az emberekkel a réten át a szántóra mentem.
