---
Bogennummer: 44773
Ort: La Chaux d'Abel
Sprache: Deutsch
Bogentyp: CH
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: Miriam Schlicht
Anmerkungen: '{Nicht in Kurrentschrift verfasst.}'
...
WS01	Im Winter flüge die trockene Bletter i dr Luft ume.
WS02	Es hört gly uf schneie, de wird de ds Wätter wieder besser.
WS03	Tue Chole i Ofe, das d‘ Miuch bau afaht choche.
WS04	Dä guet aut Ma isch mit em Ross dür ds Isch broche un i ds chaute Wasser gfaue.
WS05	Är isch vor vier oder sächs Wuche gschtorbe.
WS06	Ds Für isch as schtarch gsy, d Chueche sy ja ungenache ganz schwarz worde.
WS07	Är ihst d’Eier gäng ohni Sauz un Pfäffer.
WS08	D’Füehs tüe mer fescht weh, i gloube, i heig se düregloffe.
WS09	I bi bi dr Frou gsy un ha-r-es gseit, un si het gseit, si wöus ihrem Meitli o säge.
WS10	I wotts o nümme meh mache!
WS11	I houe di mit em Chochlöffu um d’Ohre, du Aff!
WS12	Wo geisch hi, son e mer mit dr gah?
WS13	Es sy schlächti Zyte!
WS14	Mis liebe Ching, blyb danide stah, di böre Gäns tüe di z’tod bysse.
WS15	Du hesch hüt am meischte glehrt u bisch ardlig gsy, du darfsch früecher hei gah as di angere.
WS16	Du bisch no nit grohs gnue für ne Fläsche Wy usztrinke, du muesch zerscht no chly wachse u gröser wärde.
WS17	Gang, bis so guet un säg dir Schweschter, si sött d’Chleider für eui Muetter fertig näije u mit dr Bürschte putze.
WS18	Hättisch du ne kennt! de wärs angers cho, un es tät besser um ihn stah.
WS19	Wär het mer mi Chorb mit Fleisch gschtole?
WS20	Ü het drglyche ta, wi we si ne zum Trösche bschteut hätte; aber si heis säuber gmacht.
WS21	Wam het er die neui Gschicht vrzeut?
WS22	Mi muehs lut brüele, süsch vrschteit er is nid.
WS23	Ma si müed u hei Durscht.
WS24	Wo mer geschter z’Abe zrugg cho sy, sy di angere scho im Bett gläge u sy fescht am Schlafe gsy.
WS25	Dr Schnee isch letschti Nacht bei üs bleibe lige, aber dä Morge isch er vergange.
WS26	Hinger üsem Huus schtöh drü schöni Öpfuböimli mit rote - n -  Öpfeli.
WS27	Cheut er nit no ne Ungeblickli uf is warte, de göh mer de mit nech.
WS28	Da dörfet nit söttigi Chindereie trybe.
WS29	Üsi Bärge sy nit sövu höch, eui sy vieu höcher.
WS30	Wie mängs Pfung Wurscht u wievieu Brot weit er?
WS31	I verstah nech nid, dir müehst chly lüter rede.
WS32	Heit er kes Schtückli wyssi Seife für my uf mym Tisch gfunge.
WS33	Sy Brueder wott für ihn zwöi schöni, nöji Hüser i euem Garte boue.
WS34	Das Wort isch ihm vo Härze cho.
WS35	Daisch rächt gsy von-ne.
WS36	Was hocke da für Vögeli uf em Mürli obe?
WS37	Di Buure hei föif Stiere u nün Chüe u zwöuf Schäfli vor ds Dorf bracht gha, die hei  sy wöue verchoufe.
WS38	D’Lüt sy hüt aui uf em Fäud uss u mäije.
WS39	Gang nume, dr bruun Hung macht dr nüt.
WS40	I bi mit dene Lüt dahinger uber d Matte i ds Chorn gfahre.
