---
Bogennummer: 46573
Ort: Langeness
Sprache: Nordfriesisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: <Ein Circumflex zeigt die Dehnung u eine Verdoppelung der Mitlaute die
  Schärfung der Selbstlaute an. d. Ueberſ.>
...
WS01	Sommerdais{Über dem auslautenden s ist ein kleiner Strich.} flîne de drügge Blæe dör di Loght ambai.
WS02	Dat hiart glik ap tå snaien, så wart dat Wêr wi bêr
WS03	Dün Stianköl ön di Kaghelöven, dat de Molke bâle begane tå kogen.
WS04	Di göe uale Mon is med di Hingste dör-t Iss brægen end ön dat köl Wår fêlen.
WS05	Hi is fer fjauer af segs Wigge stürven.
WS06	Dat Ial waus tå hiat, de Kâge sen ja unner alhial sürt bornt.
WS07	Hi êt de Auje jümmer sonner Sault end Pevver.
WS08	De Föte dün mi så siar, ik liav, ik hævs{Auch hier ist über dem s ein Zeichen.} dörlöppen.
WS09	Ik ben bai jü Wüf wesen, end hæv dat her sait, end jü sæ, jü wêl dat ok her Doghter sêde.
WS10	Ik wal dat ok ê wi dün.
WS11	Ik sluane di glik med di Kö̂glets am de Uare, Dü Ave!
WS12	Wirr gongst Dü hanne, skin wi med Di gonge?
WS13	Dat sæn sjoghte Tidde.
WS14	Min lîv Bêrn, blivv hirr unner stönen, de maule Göse bitte Di duad.
WS15	Dü hæst dælling most liart end best arntlik wæsen, Dü maist iar tå Hüs gonge as de Öre.
WS16	Dü best nogh ê grotte nôgh, am en Bottel Win üt tå drinken, Dü möst nogh en Iane wakse end grotter warde.
WS17	Gong, wês så göd, end sêde Din Soster, jü sköl de Klue fer jaren Mem klar mage saie end med di Bêrsel rian mage.
WS18	Hêst Dü ham kaunt, så waus dat örs kümmen, end dat stü bêr am ham
WS19	Hok hêt mi man Körv med Flausk stêlen?
WS20	Hi dê så, as hêen jü ham tå têrsken bestællt, man jü hæv dat sellev dên.
WS21	Hok hêt hi jü nai Fertælling fertællt?
WS22	Dirr möt-m hard tite, örs ferstont hi üs ê.
WS23	Wi sen traut end hæv Torst.
WS24	As wi jåster Ên tåbæg kümmen læen de Öre al ön-t Bêd end wæren fast inslêpen.
WS25	Di Snîe is naghling bai üs laien blævven, man is morling smolten
WS26	Aghter üs Hüs stöne trai litje Apelbume med litje ruade Aple.
WS27	Kön jam ê en Ugenblak êfter üs têve, så gonge wi med jam
WS28	Jam möne ê sok Bernerai drivve
WS29	Üs Bêrige sen ê så hugh, jaren sen folle hugher
WS30	Hü folle Pün Issterbian end hü folle Bruad win jam hêve?
WS31	Ik ferstöne jam ê, jam mön en bitje harder snake.
WS32	Hæv jam nian Stokk witt Siap fer mi üv man Tafel fünnen?
WS33	San Brör wal ham taue smokke Hüsinge ön jaren Tün bægge.
WS34	Dat Ürd küm ham fon Herten
WS35	Dat waus roght fon jam.
WS36	Wat satte dirr fer litje Fügle üv jü litj Mür?
WS37	De Bürre hêen fiv Ôkse end njüggen Ki end twelv litje Skêpe fer dat Torp brôght, jü wêlen jam ferkûpe
WS38	Dat Fö̂lk is dælling bütte üv dat Fêl end haue
WS39	Gong man, di brünne Hün dêt Di niks {Hier ist ebenfalls ein Zeichen über dem auslautenden s zu sehen.}
WS40	Ik ben med dat Fö̂lk dirr aghter auer dat Mêdlön gîngen önt Körn kêrt.
