---
Bogennummer: 46576
Ort: Büttjebüll
Sprache: Nordfriesisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: <sh = sch, gh = ch> {Nachträglich eingefügte Notiz in anderer Handschrift.}
...
WS01	Oun de Wunter fline de drögge Blêe oun de Luft heram.
WS02	Dat Snen halt glik ap, denn ward dat Weer wi ber.
WS03	Lei wat Köl oun de Kagelowen, dat de Molke bald kogit.
WS04	De goe ule Mon es met de Hengst dörgh dat Iss bregen en oun dat kole Warr felen.
WS05	Hi es for fjauer oder siks Wege störwen.
WS06	Dat il was to doll, de Kâge sen unner gans surt barnet.
WS07	Hi et de Aie jümmer ane Salt en Pewer.
WS08	De Fete dun me lumsh sir, ik liw, ik hew’s dörlupen.
WS09	Ik ben bei de Wüff wesen en hewet her seit, en jüs se, jü wel et ok her Dogder seje.
WS10	Ik wall et ok eg mor wi dun.
WS11	Ik slun de glik met de Shiss am de Ure, dü Awe!
WS12	Wer gungst dü hen, shen wi met de gunge.
WS13	Dat send ringe Tidde!
WS14	Min liw Biarn, bliwwe her dele stounen, de dolle Gese bidde de dud.
WS15	Dü hest delling am marsten liret en best ordig wen, dü kost ir to Hüss gunge, es de Oer.
WS16	Dü best no ä grotte nog, am en Boddel Win üttodrenken, dü moust erst nog en Ine warkse en grötter warde.
WS17	Gung, wes so goud en se din Söster, jü shoul de Klethe for jernge Memm gangs seie en met de Bersel rin mage.
WS18	Hest dü ham kânet! denn wars et ôars kimen en et det ber am ham stinen.
WS19	Hum het me man Karw met Flâsh stelen?
WS20	Hi stallet ham sü, as wenn je ham to Tirshen bestallt hen, jü hewe dat awer süllew den.
WS21	Hum het hi dat neie Stukk fertelet?
WS22	Hum mout döghdi prâle, ôars ferstount hi üs ä.
WS23	Wi send trart en hewe Torst.
WS24	As wi jörsen Ene to beg koumen, der leien de Oer al to Bede en were fast oun slep.
WS25	De Sne es auer Nagd bei üs leien blewwen, awer Marling es er aptoiet.
WS26	Eder üs Hüss stoune tre nette Apelbume met rugge Apel.
WS27	Kane jem ä nog en Ugenblakk ewter üs tewe, so gunge wi met jem.
WS28	Iem moune ä sokke Biarnespall driwwe.
WS29	Üs Berge sen ä bestig hug, jernge send fole huger.
WS30	Hü fole Pünn Esterbin en hü fole Brud wenn jem hewe?
WS31	Ik ferstoun jem ä, jem moune wat huger snake.
WS32	Hewe jem ä en Stokk widd Sip for me ar min Shew fünn?
WS33	San Broer wall ham tu smokke neie Hüssinge oun jernge Tünn begge.
WS34	Dat Wurd koum ham fon Herten!
WS35	Dat was roght fon de!
WS36	Wat satte der for Föggle der ar de Mörr?
WS37	De Börre hen fiw Eksen en njügen Ke en twölliw Shep hen for dat Torp broght, de wen je ferkupe.
WS38	De Mensken send delling all büdde ar dat Fel en haue.
WS39	Gung dü man, di brünne Hünn det de niks.
WS40	Ik ben met de Mensken der eder auer de Wisk oun dat Koarn keret.
