---
Bogennummer: 46591
Ort: Norstedt
Sprache: Nordfriesisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	J Winter fluh’die tur Blad i Luft umwe.
WS02	De holler baljd op me ſchnien, da wer a Weer bäer igjhen <(auen)>.
WS03	Faa Koll i Kachelaau der er Mjilk baljd wer i kagen.
WS04	Den guur gammel Man’d bröt mer Oeg gjimmel Jis a her fullen i de kolt Wand.
WS05	Han er döer vor veer aller ſeis Ucher.
WS06	A Jil war atta warm, die Kage er worden ünner heelt ſolt bräänt.
WS07	Han er dr ä Eeg altiens uten Solt a Pibber.
WS08	A Fötter die gjör mer graut weh, er tror, er hor em igjimmel loppen.
WS09	Er her wet we e Koon a hor ſauen hinet, a hun ſau, hun vila ſeet hin Datter ighjen.
WS10	Er vil a nit gjöret bet.
WS11	Er ſchläe dä glik me er Matſcheer um er Öhrner, dit Ap.   
WS12	Wo geher du hen, ſche’ wie ga me de.
WS13	De er nu me ring Tie.
WS14	Min guer Barn, blu’ här ünne ſtahn, die gal Gjies bit’ dä äef’ ighjel.
WS15	Du her idau leert am meeſt a harr wat goor, du kat gaa för er di anjer hjiem.
WS16	Du eſt ä non ik ſtoor nok, a drikke en Buddel Wiin uer, du ſkal ä non gro en Äen, but the du werſt ſtörrer.
WS17	Gaar, a vor ſo guur a ſeier din Söſter, hun ſkal ſöi ä Kläer for hin Mem klar, a flei em reen me en Büſt. 
WS18	Har du kjennt ham! Da har er kommen eiers, da har ä ſtanjen bäer um han.
WS19	Wem her ſchull’n min Korre mer Mar.
WS20	Han gjört ſom wenn die har beſtjellt ham tee teerſchen; am di har ſchil er gjör er.
WS21	Wem har han vertolte den neu Geſchichte?
WS22	An ſkal prahl höit, ääß verſtähe han us ik.
WS23	Wi er träät a har Türſt.
WS24	Som wi giaer J’auts kom hjim, da looer di Anjer aat a Seng a ſauer faſt.
WS25	Ä Schnieer den her i Nat bleven liggen, am um Morner ſaa war en abthöiet.
WS26	J barg vort Huus ſtah’e trier daal Jäapbelboom, me röh Jäapbel.
WS27	Kun irm nun ik thöe et Aeblik, ſo gaa wi me jhirm.
WS28	Jrm maa ik druet ſom ä Björnkram.
WS29	Wor Bjerrer er ik müer höet, am jhirms die er müül höier.
WS30	Wo mange Puund Jſterbajen a wo müür Brüer will irm har.
WS31	Er vorſtahe irm ik i mü er ſchnak wa’ d höier.
WS32	Har irm ik hett en Stück wiit Sieb a mit Boer liggen?
WS33	Sin Broer wil büg ſick too nü Huus i irm Gaar.
WS34	De Oa kam ham fra Hjart.
WS35	De war rett au han.
WS36	Wa ſitter der for Faul u nen a er Muur.
WS37	Ä Bünjer har 5 Stut a 9 Küe a 12 Faaer föört uten for a Böi, dem will di zähl.
WS38	A Völk ere i dau oll ut tat Mark a hōch.
WS39	Gah du kunn, den bruun Huun’d gjör der int.
WS40	Er har aarg me mit Volk um baag’r Eeng hem i Koorn <(Kuurn)>. 
