---
Bogennummer: 46638
Ort: Altendeich
Sprache: Nordfriesisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: ''
...
WS01	Öne Wonter flint dö drüge Blere dör dö Lagt ambei.
WS02	Dat halt glick ab tö ſchneien, denn ward dat Weer we beer.
WS03	Dü Köhl öhn dö Kaflöhm, dat dö Molke bald öhn tö kogin fanget.
WS04	Die göde uhle Monn is me dö Hingſte dört Jss bregen un öhn dat köhl Waer feelen.
WS05	Hie is vuhr vjauwer errer ſeecks Wegge ſtörwen.
WS06	Dat Ihl wer tö hiert, dö Kaage ſen ja unner ganz ſührt barnet.
WS07	Hie eet dö Aje immer ohne Saalt und Pebber.
WS08	Dö Feet düht mi ſa wier, ick lierw, ick he ſe döörleepen.
WS09	Jck ben be jö Wöff weſen un hee dat her ſeät, un jö ſäe {Es ist nicht genau erkennbar, ob der letzte Buchstabe ausgestrichen wurde oder nur korrigiert.}, jö weel dat ock herr Dogter ſäe.
WS10	Jck wall dat ock ae mor werer dühn!
WS11	Jck ſchluhr di glick me de Kogleetz am dö Uhre, dü Ap!
WS12	Wehr gongſt dü hen, ſchen wie me die gonge?
WS13	Dat ſen ringe Tidde!
WS14	Min liew Biern, bliew hier deele ſtöhn, dö dale Gees biddet die duhrt.
WS15	Dü heeſt delling am maſten liehrt, un beeſt ori weſen, dü dürſt iehr tö Hüs gonge as dö Ödre.
WS16	Dü beſt nag ae grate no, am en Boddel Win öttodrinken, dü möſt ierſt nag en Jnde wagkſi un grater warre.
WS17	Gong, wes ſö gödt un ſäe din Söster, jö ſchöl dö Kluhre fur jenge Memm gangs ſäeje un me die Beerſel rien mage.
WS18	Heeſt dü ham kand! Denn weer dat öhrs kiermen, un dat de beer am ham ſtöhn.
WS19	Hüüm heet mie marn Körf me Flaſch ſteehlen?
WS20	Hie de ſö, as hehn jö ham tö terſchen beſtellt; jö het dat awer ſillm dehn!
WS21	Hüüm het hi jö naei Geſchichte verthelt?
WS22	Man mos lud ſchraei, sondſt verſtohnt hie ös ae.
WS23	Wie ſen trart un heeve Taſt.
WS24	As wie en jesſen Agen töbaeg kömen, dö laeen dö Ödre al at Beet un wehren faſt öhnt ſchleepen.
WS25	Dö Schnieer es dehs Nagt baej ös laejen blewin, awer dehſen Miern is er ſchmolten.
WS26	Eter ühs Hüs ſtöhnet tri nette Appelbume me ruhrde Appels.
WS27	Ken jem ae nag en Ugenbl[a]ck aw üs tewi, denn gonget wie me jem.
WS28	Jem dürret ae sak Biernschhaeit driewe.
WS29	Ühs Beerge ſen aej ſa huch, dö jäenge ſen vale huher.
WS30	Ha valle Pün Mettwurſt un ha valle Brud wenn jem hee.
WS31	Jck verſtöhn jem aej, jem möhn en betje heller ſchnaki.
WS32	He jem nien Stäck wit Sieb tö mi aw min Taafel fönn.
WS33	San Bröer wall ham taue naeje {Dieses wirkt, als sei es in einer anderen Handschrift geschrieben.} Hüſinge öhn jenge Tönn bögge.
WS34	Dat Word köhm ham von Harten
WS35	Dat wehr raacht von hammen!
WS36	Wat ſeddet dehr fuhr Vöggels babbe aw de Müür?
WS37	De Bühre het fief Echſen un nühgen Kiej un twellf Scheep fuhr dat Terp brogt, do wenn jö verkubi.
WS38	Dö Lörre ſen delling al bötte aw dat Feel un hauet.
WS39	Gong man, de brünne Hünn deht die nicks.
WS40	Jck benn me dö Lörre dirr eter auer dat Meedlöhn öhnt Köhrn kehrt.
