---
Bogennummer: 46707
Ort: Risum
Sprache: Nordfriesisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: '{Buchstaben, die in der Transliteration als hochgestellt erscheinen,
  stehen im Original eigentlich über dem vorherigen Zeichen} <Anmerkung: Die Lautzeichen:
  ǎ, å und oa sind gleichlautend, gleich dem Vokal im plattdeutschen „holz“. aͤu ist
  ein Laut zwischen „eu“ und aŭ. „ou“ klingt wenig dunkler als das deutsche „au“

  ˘ bezeichnet die Kürze, - die Länge.>'
...
WS01	Ö̆nj n’ wunter fliee dă dröge bleese ö nj n’ lŭft ămbei.
WS02	Et hǎlt glĭk ăp mă schneien, dăn wǎrd et wäder wĭder bäder.
WS03	Fu kōle ö nj n‘ kǎflaͤun, dat et mŭlke ball an tŭ kogen fǎngt.
WS04	Di gaͤeue üle mŭn as ma de hănjst dör’t ĭs brägen en ö nj dat kaͤul wader félen.
WS05	Hi as vor fjaͤur oder seks wă̄ge stö rwen.
WS06	Et īlj wǎs ălte hījt, dă kage săn unner swă̄sen.
WS07	Hi et dă aje altens one sǎlt en pă̄wer.
WS08	Dă fētj due mĕ sǔ sīr, ĭk līw ĭk häv’s ră läm.
WS09	Ĭk băn bei jü wü f wän, ik häw’t hă seijt, jü sä, jü wĕljt ŏk tŭ ha dogder sēde.
WS10	Ĭk wăl’t ŏk ēy widder dön.
WS11	Dü fǟst glĭk ān bei d’uhre ma de koogschīs, dü āwe!
WS12	Wēr gungst hānne, schăn wĕ mă de gunge?
WS13	Dăt săn hijn tĭde!
WS14	Mĭn līw bjărn blĭv hēr dele stö nje, dă fȫle gēis bĭde de düd.
WS15	Dü häst dēling am māsten liert en bast fråm wän, dü mäst nog ier tŭ hü s lupe as dă aǔdere.
WS16	Dü băst nŏch ăy grŏde nog en buddel wĭn aͤuftodränken, du schät jarst en ienje wåchse en grŏter wårde.
WS17	Gung, wēs so geujt {Nicht klar zu lesen.} en sēt tŭ dĭn sö ster, jü schö il dă kleide tŭ jă măm kloar māge, en ok aͤufbjă̄rste.
WS18	Hĕ̄jst dü hăm koant! dann wåst aͤurs kimen, en dăn stö’t bäder ăm hăm.
WS19	Hŭm het me măn kaͤurv mă flāsch fonstēln?
WS20	Hie dēj sü , as wăn jü {Eventuell aus ja korrigiert.} hăm bestălt hĕn tŏ tjarschen; jü hĕn aurs sēlĕv dējn.
WS21	Hum hēt dĭ dat năy stŭk vertēlt?
WS22	Hŭm mö jt brāsche, aurs verstoand hie ü s ă̄y.
WS23	We săn trat en häwe tōrst.
WS24	As we en tene tobäg kö mmen, dăn lejen da audere ål tŭ beet en wjărn fāst [e]nschläpen {Wegen Beschädigung des Bogens ist der erste Buchstabe nicht genau zu erkennen.}.
WS25	Ĕ schni as jü her noacht bei ü s lăden blă̄wen, awer māling as hi smŭlten.
WS26	Äderne üs hü s stö nje tră schöne lătje ābelbume ma latje rütje ābel.
WS27	Kāne jăm ej en lătjen ugenblăk ăw ŭs tewe, dann gunge we ma jăm.
WS28	Iăm mö jn eij sŏk jungenstoäge drĭwe.
WS29	Üs berge săn ej sŏ grui hugch, da jă̄inge săn fåle huger.
WS30	Hü manning pü n äderbīnje en hü manning brüdj wăn jăm hewe.
WS31	Ick verstö nj jam eij, jam mö nje en lait grŏt mö r snāke.
WS32	Häwe jam ej en lătj stuck wĭt sīp for me ăw min scheew fünnen.
WS33	San brouder wall sin {Möglicherweise ist sik gemeint.} tu schöne neie hüssinge ö n jă̄ringe tü n băge.
WS34	Dat urd kămt ham vun’t hă̄rt!
WS35	Dat woas roacht vun jam!
WS36	Wăt satte dēr for latje voägele båwene ă jăinge jă lătj mȫr.
WS37	Dă böäre häwe fīf stīre en njügen kē en twēlwen latje schäp for dat tōrp brōcht, da wĭn jă vakupe.
WS38	Da manschene san dilling oaltomåle ü t ăw’t fĕlj tu en hauwe.
WS39	Gung moan, di brünne hü n di dēt di nĕnt.
WS40	Ick băn mă de Mănschene dēr äderne aͤuwer dăt mejtlaͤun en’t koärn kjă̄rt.
