---
Bogennummer: 46755
Ort: Oevenum (Föhr)
Sprache: Nordfriesisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: <Die unterſtrichenen Sätze ſind frieſiſch, die andren plattdeutſch {Diese
  Anmerkung erscheint in einer anderen Handschrift und - wie die Unterstreichungen
  in den Sätzen - auch in einer anderen Farbe als die Übersetzungen.}>
...
WS01	<Frieſiſch:> Un ah Wonter fläh ah drüg Bläden un ah Locht ambih.
WS02	<Plattdeutſch:> Et hört bald op to ſchnieen, dann wart dat Wedder weller beter.
WS03	Duh Köhlen un ah Onk, dat et Molk ball tu kögin kommt.
WS04	De gode ole Mann is mit dat Pierd dör dat Jis braken un in dat kohle Water follen.
WS05	Hi as för fwahwer og ſechs Wäg stürwen.
WS06	Dat Für wehr to hit, de Koken ſin ja unnen ganz ſchwart brennt.
WS07	Hi ătt ah Ajer allewen ſanner Salt an Pöbber.
WS08	De Föt dohn mi ſehr weh, ik glöw, ik heb’ ſe dörlapen.
WS09	Jk ſann bih jüh Wüff weſen an hāt er ſād, an jüh ſād, jüh wult uk er Dōchter ſāj’.
WS10	Jk willt ok nich mehr wedder dōhn.
WS11	Jk ſchlaw (a wie a in Grab) di glik mäh ah Skās am ah Uhren, düh Aab.
WS12	Wo geiſt du henn, ſkölen wie mit di gahn?
WS13	Hat ſann ſchlacht Tied=en!
WS14	Min lew Kind, bliev hier unnen ſtāhn, deh böſe Göös biten dih dod.
WS15	Düh häeſt daleng am mihſten lierd an beſt arteg weſen, düh meeſt īhr tü ſs gung ü s doh Öhlern. {Die Tinte der Umlautmarkierung ähnelt der der Unterstreichungen. Möglicherweise wurden diese nachträglich eingefügt.}
WS16	Du biſt noch nich grōt genug, um ean Bottel Wiin ut to drinken, du mußt noch ăn End wasſen un grötter warn.
WS17	Gung, wǟs ſah gud an ſaih din Săſter, jüh ſkulj ah Kluler för jammens Mudder klar ſai’, an meh as Basſel rinh mage.
WS18	Hadſt du em kennt! Dann wärt´t anders kamen un et däd beder um em ſtahn.
WS19	Hokker hä mih man Kurrew meh Flǟs ſtählen?
WS20	He deit ſo, als hadden ſe em tot dröſchen beſtellt; ſe hebben et awers ſelbſt dahn.
WS21	Hokker hä hih det Neis vertällt?
WS22	Man ſkal lut ſkrinen, ſonſt verſteiht h[e uns nic]h. {Hier ist das Papier beschädigt und die Transliteration eine Annahme, die zu den wenigen erkennbaren Details passt.}
WS23	Wih ſann trät an ha Taſtj.
WS24	As wi göſtern Abend torüg kämen, da legen de Andern all int Bett un waren int ſlapen.
WS25	Ah Schneh as [disſe] {Der ganze Satz ist wegen Beschädigung beeinträchtigt, aber nur dieses Wort bleibt dabei spekulativ.} Nacht bi üs leihen blewwen, man marleng ſchmolten.
WS26	Achter uns Huus ſtahn dre ſmukke klene Appelbȫm meh rode klene Appeln.
WS27	Kön Jam noch eg an lett Ugenblack ü̅b üs tew, dann gung wi meh jam.
WS28	I ſch ſkölt nich ſo’n Kinderien driewen
WS29	Üs Bergen ſann eg ſīr hūch, jammenſen ſann hūger
WS30	Wo vēl Pund Worſt un wo vēl Brod wullt I hebben?
WS31	Jk verſtun jam eg, jam mutt watt grat’mer ſnakke.
WS32	Hebt’ I kehn klene Stück witte Seep för mi op min Diſch funnen?
WS33	Sann Bruller wal ham taw nei Hüsſeng un jaw Gurd’ bag!
WS34	Dat Wort kähm ehm von Harten.
WS35	Dat wär recht von Ehnen.
WS36	Watt ſatt dir för letj Vögler bopen {Möglicherweise ist bowen gemeint, zu lesen ist jedoch bopen (vielleicht aus bop gebildet).} üb jüh letj Müür!
WS37	De Buren hadden fief Osſen un nägen Köh un twölf klene Schaap vör dat Dörp bröcht, de wullen ſe verkōpen.
WS38	Ah Lidj ſann daleng altomal büttjen üb at Fielj an hāw.
WS39	Gah man, de brune Hund deit dih nix.
WS40	Jk ſann mäh doh Lidj dir bäft awer äh Miäd unt Kurn kerd.
