---
Bogennummer: 46885
Ort: Westerland (Sylt)
Sprache: Nordfriesisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: ''
...
WS01	Ön Wunterem flö di drüg Bleden ön di Logt ombi. 
WS02	Hat halt bald ap tö ſnien, da uud dit Weder weder beter. 
WS03	Dö hok Kölen ön di Kagelaun, dat dit Molk bald bigent tö köken. 
WS04	Di gud ual Man es me ſin Hingſt dörbreken üb Iß en ön dit kuul Weeter fälen. 
WS05	Hi es fuar fjuur of ſogs Weken ſtürwen. 
WS06	Dit Jöl wier olter hit, dit Kuk es ja önner hül ſuurt bronnen. 
WS07	Hi et di Eier langſen ſenner Saalt ön Peeper. 
WS08	Di Fet dö mi fuul ſiir, ik liiw ik haas döörlöppen. 
WS09	Ik ſen bi di Wüf wesſen en haat [h]öör ſeid, en jü ſeid, jü wild dit uk tö höör Faamen ſigge. 
WS10	Ik welt uk ik muar dö! 
WS11	Ik ſla di mejens mäe di Grädſkeid om di Uaren, dü Aap! 
WS12	Hur geiſt dü hen, ſkell wü me dü gung? 
WS13	Hat ſen ſlegt Tidden! <(Tirren)>
WS14	Min lef Jungen, blif jer önner ſtunen, di arig Gös bit di duad. 
WS15	Dü heſt delling miiſt liirt en beſt frei wesſen, dü meiſt jer to Hüs gung üüs di Aeddern. 
WS16	Dü beſt jit ek guert nog, om en Boddel <(Borrel)> Wiin oftödrinken, dö muſt jit jeſt en Jendje wuxe en guerter uud. 
WS17	Gung, en wiis ſa gud en ſigge tö din Seſter, jü ſkuld di Kluader fuar ju Mooter klaar maake en me di Büſtel riin maake. 
WS18	Herſt dü höm küd! da wiärt üdders kjemmen, en h[a]t hed beter om höm ſtönnen. 
WS19	Hokken heed mi min Korrew me Meet ſtälen? 
WS20	Hi död ſa, üs hed ja höm tö Terſken beſtelt; man ja haat ſallew dön. 
WS21	Hokken heed hi di nii Fertelling förtelt? 
WS22	Oem mut gurtem röp, üdders verſtaant hi üs ek. 
WS23	Wü ſen trät ün ha Törſt. 
WS24	Ues wü jüſter Indj töbek kam, da leid di Ueddern al üp Bäd ön wiär faſt önt Sliipen. 
WS25	Dit Snä es aurnagt bi üs lien blewwen, man miärlung eſt ſmelt.
WS26	Agter üs Hüs ſtun tri dejlk litj Apelboomer me litj raud Apler. 
WS27	Keen i ek jit en litj Ogenblek eeder mi teew, da gung wü me ju. 
WS28	I mut ek ſok Jungenſtreken driiw. 
WS29	Ues Bariger ſen ek rogt hog, juun ſen fuul hoger. 
WS30	Hü fuul Pünd Marig en hü fuul Bruad wel i haa? 
WS31	Ik verſtuund ju ek, i mut en bedken guertemer ſnakki. 
WS32	Haa i ek en litj Stek wit Siib för mi üp min Staal fünden. 
WS33	Sin Bröder wel höm tau dejlk nii Hüſing ön juu Guard bäg. 
WS34	Dit Uurd kam höm fan Harten. 
WS35	Dit wiär rogt fan juu. 
WS36	Wat ſet dejr fuar Vägelkin boowen üb di litj Müür? 
WS37	Di Buuren hed fif Auſen en niigen Kinn en twellaf litj Sjip fuart Tärp braagt, danen wil ja forkoope. 
WS38	Di Liden ſen delling altemaal bütten üp Mark en hau. 
WS39	Gung man, di brün Hünd däd di nönt. 
WS40	Ik ſen me di Liden diär agter aur di Inge önt Kurn köört. 
