---
Bogennummer: 47075
Ort: Aller
Sprache: Dänisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Om Winter flývver di tóer Blaaei om i e Luft. 
WS02	De hór ſnaar op mo aa ſnee, ſaa vil e Voer egjen blýv beer.
WS03	Kom Kol i e Kakkelovn, te e Mjelk ſnaar ka begýend aa koog.
WS04	Den goi gammel Mand o floppen egjemmel e Iis mo e Heſt aa faalden i e koeld Vand.
WS05	Han o dó for fiir heller ſeis Uger ſin.
WS06	E Ild va for vorm, e Kagger o jo broend heel ſoert eden unner.
WS07	Han ſpis aaltiend e Æk urren Solt aa Pevver.
WS08	Mi Fórrer gó grov unt, a troer, di o huilóis.
WS09	A haar voen hen ve e Kuen aa haar ſaai et te hind, aa hun ſaai hun vild aasſaa ſei et te hind Dotter.
WS10	A vil heller aaller góer et meer!
WS11	A ſlaaer dei gelik mo e Kogſkee ve e Hoi, do Aafkat!
WS12	Vo gaaer do hen, ſkuld vi it gaa me dei?
WS13	De o ſolle Tier!
WS14	Mint kjoer Baaen, blýv ſtandnen her need, di ſlim Gjes birrer dei ihjel.
WS15	Do haaer loer meſt edav aa von lýe, derfor maa do gaa fór hjem end di anner.
WS16	Do o it ſtor nok te aa drik en heel Flaſk Viin ud, do maa veis et Stýk endno.
WS17	Gaa, voe ſaa goi aa ſei te di Sóſter, hun ſka ſý e Kloer forre te jer Moer aa góer dem reen mo e Borſt.
WS18	Haai do koend ham, ſaa haai et it gavven ſaarren, ſaa haai et gavven ham beer.
WS19	Ven haar ſtaaeld mi Kaarre mo Kjór?
WS20	Han goer, ſom om di haai beſtield ham te aa toeſk; men di goer et ſjel.
WS21	Ven haar han faatoeld den ný Hiſtorre?
WS22	En maa ſkrig hót, eiſen faaſtaaer han vos it.
WS23	Vi o troet aa tóeſte.
WS24	Da vi kam tebaag egaar Aten, da laai di anner aalleree i e Seng, aa ſov godt.
WS25	E Snee o ſiiſt Nat blóvven leiend ve vos, men e Mon va en ſmelt.
WS26	E bag ve vort Huus ſtaaer do 3 kóón Æveldtroer mo roe Ævelder.
WS27	Kund I it vindt et lille Koon otter vos, ſaa gaa vi me jer.
WS28	I maa it drýv aa ſaarren Bónſtreger.
WS29	Vo Bjerre o it mói hoi, jes o mói hóier.
WS30	Hvomanne Pund Póels aa hvomanne Bró vil I ha?
WS31	A faaſtaaer Jer it, I maa ſnak lidt hóier.
WS32	Haar I it funden et lille Stýk hvie Seef aa mint aa mint Bord?
WS33	Hans Broer vil býeg ſei to ný kóón Huus i vo Haev.
WS34	Di Ord kam fraa hans Hjaart.
WS35	De va rigte aa ham!
WS36	Va o de faa ſmaa Fovl deer ſirrer op aa den lille Muer?
WS37	E Býnner haai ſkikket fem Stue aa ni Kóer aa taal Laam te e Bý, dem vild di ſoel.
WS38	E dav o aal e Folk ur aa e Mark aa hóeſt.
WS39	Gaa do kuns, den bruen Hund ſka it góer dei novve.
WS40	A o kóór mo e Folk óvver e Eng ind i e Koon.
