---
Bogennummer: 47217
Ort: Hollenermoor
Sprache: Ostfriesisch
Bogentyp: NMD_1880
Erhebung: ''
Transliterationsprojekt: Dissertation Temmo Bosse
Transliterent: Temmo Bosse
Anmerkungen: Abschrift von Wenkers Hilfskraft Konstantin Nörrenberg im Jahr 1885 in eine Matrizenkopie des Fragebogens von 1880
...
WS01	Bi Winterdäi fljoge d’ drugge Blede truch d’ Lucht heruhmme.
WS02	Et hålt glicks opp to schneien, dann wet det Weder wir beter. <ei hat den Laut wie im plattdeutschen z. B. Bein>
WS03	Dou Kohle inn’ Ougen, det ju Målk bålde ounfanġt to sjoden
WS04	Di goude ohlde Monn is med den Håhnġst truch’t Ies breken un ind kohlde Wåter falen. <Wenn nicht über das a als Bezeichnung ein o steht, so hat des den Laut wie in dem Worte Harke, und mit o bezeichnet, wie das Wort Lonn. Ei wie im plattdeutschen. Wo über das g ein Punkt steht wird es mit einem Nasenton schwach ausgesprochen.>
WS05	Hi is var vjauer off sex Wike sturwen.
WS06	Det Fjur was to heht, do Kouken sunt j’ unen schier swott barnd.
WS07	Hi itt d’ Aire alltied suner Sålt un Piper.
WS08	D’ Feite dwo mi äische <notske, dåne, duftig, hellemäsige> seer, ik lewe, ik habes‘ trugh ronnen.
WS09	Ik benn bi det Wiw wesen un häbet hir to qwden {Auch im Original fehlt offenbar ein Buchstabe, vermutlich ist qweden o. ä. gemeint}, un ju qwad {Undeutlich} ju willt ok hire Dochter to qwede.
WS10	Ik woll’t ok nit mohr wier dwo.
WS11	Ik schlo di gli ks med den Schljow umme Ohre, Du Åpe
WS12	Wir gunġst du wäi, scha wi med di gunġe?
WS13	Et sunt leipe Tiedden.
WS14	Min ljowe Beiden, bliw hier uner stounden, do lellke Geise biette di dod.
WS15	Du hest dälig op mahste lehrd, un best nett wesen, du darst ehr etter Huhs gunġe as do ur.
WS16	Du best nog nit grot noug uhmm’n Potellje Win ut to drinken, Du mast erste nog’n Ende wåhkse un gratter weide.
WS17	Gunġ, wes so gout un qwed to din Suster, ju schull do Klodere får jou Mäme klor seie, un medd’n Bersel schehn måkje.
WS18	Hiest du himm kåhnd, dann wast urs utkemen unt stud beter med himm.
WS19	Well hedd mi minn Kurw med Flask sellen? {Hier ist wohl stellen gemeint}
WS20	Hi tirde sick so, as wann jo himm to tersken bestahld; jo habet dag selwen dein.
WS21	Well hedd hi ju neie Geschichte vertelld?
WS22	M’ mout lud råupe, urs verstahnd’tr us nit.
WS23	Wi sund wuhrg un häbe Tahrst.
WS24	Wi sunt jersne Eiwend toräg kemen, do lieggen d’ur all opp Bäd un wiren fest ant schleipen.
WS25	Di Schnee is Nachgelg bi us lessen bliwen, man Märelg idder schmollten.
WS26	Bäte us Huhs stounde trei flugge Åpelbomken met litje rode Apele.
WS27	Ka ji nit nog’n Ogenblicksken etter us teiwe, dann gunġe wi med jou.
WS28	Ji duren nit sukke Beidnerein driwwe.
WS29	Us Bierge sunt nit dåne hog, do jouwen sunt vull hager.
WS30	Wuff’l Pund Wurst un wuff’l Brod wai ji häbe.
WS31	Ik verstounde jou nit, ji mouten wett ludder bale.
WS32	Häi ji nen Stucksken wiette Sepe får mi opp minn Disk funnen?
WS33	Sinn Brur woll sick two flugge neie Huhsse in jou Tun baue.
WS34	Det Woud kom himm von Harten.
WS35	Det was rjucht von do.
WS36	Wett sitte dēr far littje Vugel buppe opp ju littje Mure.
WS37	Do Buren hiden fiw Oksen un njugen meilke Beiste un twelew littje Scheipe vår det Terp brogt, do wiellen s’ verkopje.
WS38	Do Ljude sunt opp stuns al buhtte in Feild un mjo.
WS39	Gunġ man, die bruhne Huhnd dedd di nix.
WS40	Ik ben medde Ljudde dehr bäte uhr jou Meid int Kouden fihrd.
