---
Bogennummer: 48663
Ort: Segeberg
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Victoria Schaub
Anmerkungen: ''
...
WS01	In’n Winther flejgt dej drögen Blädher dör <(dörch)> dej Luft h’rüm. 
WS02	Dat hollt gliek up von ßnej’n; denn ward dat Wädher weller bäther. 
WS03	Krieg dej Kõel in’n Ab’m, dat dej Melk bald anfangt tou kāk’n. 
WS04	Dej goud ohl Mann is mit dej Pi̯er dör’t Iis brāk’n <(inbrāk’n)> in in’t kohld Wāther foll’n. 
WS05	Hej is vör vejr oller söß Wäk’n dodtbl[e]b’m. 
WS06	Dat Fuer w[e]jr tou hejt, dej Kouk’n sünd jo ünner gans ßwart brennt. 
WS07	Hej itt dej Eier ümmer ahn’n Solt ün Päper.
WS08	Dej Föjt douht mi banni(g) wejh; ick löw’, ick hev ehr dör(ch)loop’m <(dör(ch)gahn)>. 
WS09	Ick bün bi dej Fru west un hev ehr dat seggt, un sej sä, sej wull ehr Dochdher dat uck segg’n. 
WS10	Ick will dat [ü]ck gorni(ch) weller douhn. 
WS11	Ick han di gliek mit’n Szlejf um dej Uohr’n, du Aap! 
WS12	Wonähm geihst du hen? Schullt wi mit di gahn? 
WS13	Dat sünd ßlech Tiid’n.
WS14	Minn Kind, bliew hier ner’n <(nedd’n)> stahn, dej aisch’n Göjs biet du dodt. 
WS15	Du hes hüüt tom meist’n li̯ert un büs önli wes; du dörfs ejdher no Hüüs gahn as dej annern. 
WS16	Du büs noch nich groot nough, ‘n Buddel Wien üttoudrink’n; du muß ejrs noch’n En’n wass’n ün gröther warrn. 
WS17	"Gah, wiß <(oder ""wäs"")> so goud un segg tou dien Szwesther, sej schull dej Kledher för ju Muddher trech neihn un afböß’n <(mit dej Böß)> rein māk’n. "
WS18	Harrs du em <(blot)> kennt! Denn wejr dat anners kom̄’m un dat döjh büther um em stahn <(hej stunn sick bäther)>. 
WS19	Wokejn hett mi mien’n Korf mit Flejsch stahl’n? 
WS20	Hej bi̯er so, as wenn sej em tou’n Dösch’n bestellt harrn; sej harrn dat [õe]wer sülb’m dāhn. 
WS21	Wokejn’n hett hej dej nej <(nie)> Geschich vertellt?
WS22	Ejn mütt hart schrejn’n <(bölk’n)> süß versteiht hej uns nich. 
WS23	Wi sund möj(d) un dösti <(hebbt Döß)>. 
WS24	As wi gistern Ābend trügh köjm’m, dou lejg’n dej Annern all in’n Bett un wejrn fas bit’t ßlāp’m <(in’n)> Szlīep). 
WS25	Dej Sznej is [õe]wer Nach bi uns liggn bläbm, [õe]wer wörmorrn is sei updauht <(ßmölt)>. 
WS26	Achter unß’n Huus staht drej schön lütt Appelböhm mit lütt ro(d) Appeln. 
WS27	Künnt ji nich noch ejn lütt Og’nblick up uns töjb’m, denn gaht wi mit ju. 
WS28	"Ji mütt nich so’n Görnkram drieb’n <(Besser: ""Ji mütt nich so jähnsch wäsen"")>. "
WS29	Uns Berg’n sünd nich sejl hoch; ju <(jug)> sünd väl höger. 
WS30	Woväl Pund Wuß ün woväl Brod wüllt ju hebb’m <(hem̄’m)>.
WS31	Ick verstah ju nich, ji mütt’n bäten hardher spräk’n. 
WS32	Habbt ji nich’n lütt Stück Sejp för mi up mien’n Disch fün̄’n? 
WS33	Sinn Broudher will sick twej schön nej <(nie)> Hüüs in jug’n Gor’n bug’n. 
WS34	Dat Wuort köjm em von’n Hart’n. 
WS35	Dat wejr rech von ehr. 
WS36	Wat sitt dor för lütt Vegele bab’m up dej lütt Muer? 
WS37	Dej Buern harr’n fief Oss’n un näg’n Köjgh un twölf lütt Schāp vör dat Dörp bröch, dej wull’n sej verköp’m.
WS38	Dej Lü(d) sünd vöndāg all but’n up’m Fell’ un meiht. 
WS39	Gah man, dej bruun Hund deiht si nicks. 
WS40	Ick bün mit dej Lü(d) dor achter õewer dej Wisch in’t Kuorn föjrt.
