---
Bogennummer: 55592
Ort: Groß Dammer
Sprache: Polnisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Zima lecą suche liście.
WS02	Przestanie niedługo śnieg padać, to i powietrze lepsze będzie.
WS03	Wrzuc węgli do pieca, aby mleko wnet zaczęło gotowác.
WS04	Ten dobry stary człowiek zerwał się z koniem na lodzie i wpadł w te zimną wodę.
WS05	Umarł przed czterema albo szóściu tygodniami.
WS06	Ogień był za gorący, kołocz jest calkiem na dole spalony.
WS07	Je jaja zawsze bez soli i pieprzu.
WS08	Nogi mnie bardzo bolą, ja myślę, że sobie przetarłem.
WS09	Byłem u pani, i powiedziałem je, a mówiła, że powie córce.
WS10	Ja tego już niechcę wiecéj zrobić!
WS11	Biję cię zaraz z warzewną bez wszy, ty małpo!
WS12	Gdzie ty idziesz, mamy też z tobą iść?
WS13	Są kiepskie czasy!
WS14	Moje dobre dziecko, bądź tu na dole stoić, te złe gęsi cię zagryzą.
WS15	Tyś dzisiaj najwięcéj się nawczył i byłeś posłusznym; ty prędzej pojdziesz do domu, jak ci drudzy.
WS16	Tyś jeszcze niejest dosyć srogi, zėbyś flaszkę wina wypił, ty musisz jeszcze kawałek rość, aż będziesz większym.
WS17	Idź, bądź łaskaw, i powiedz twojej siostrze, że miała tę suknią dla waszéj matki zrobić i szczotką chędożyć.
WS18	Żebyś ty go był znał! to by było inaczéj przyszło i byłoby inaczej o nim stojało.
WS19	Kto mi ukradł mój koszyk z mięsem?
WS20	On tak czynił jakoby był obstałowany do młócenia, a oni tegò nieczynili.
WS21	Komu on tę nową historyję opowiedział?
WS22	Muszą głośno krzyczyć, bo on nas niezrozumie.
WS23	My są trudni nam się chce pić.
WS24	Jak my przyszli wczoraj na wieczór nazad, drudzy już leżeli w łózku i spali mocno.
WS25	Śnieg został dzisiejzzéj nocy u nas leżeć, ale dzisiaj rano ztajał.
WS26	Za naszem domem stoją trzy piękne jabłonka z czerwonemi jabłkami.
WS27	Niemożecie jeszcze chwilkę na nas czekać, to my z wami pójdziemy.
WS28	Nieśmiejcie takiego dziecinnego głuptwa gnać.
WS29	Nasze góry niesą bardzo wysokie, wasze są wiele wyższe.
WS30	Ile funtów kiszki i dosć chleba chcecie mieć?
WS31	Nierozumiem was, musiecie głośniéj mówić.
WS32	Nieznaleśliście kawałku mydła dla mnie na mojem stole?
WS33	Jego brat chce sobie dwa piękne nowe dony w waszem ogrodzie budować.
WS34	To słowo mu przyszło z serca.
WS35	To było dobrze od niego.
WS36	Co tam siedzą za ptaszki na tych murkach?
WS37	Chlopi przyprowadzili pięć wołow i dziewięć krów i dwanaście owieczek przed wsią, których chcieli sprzedać.
WS38	Ludzie są dzisiaj wszyscy na polu i sieką.
WS39	Idź tylko, ten brunatny pies cię nic niezrobi.
WS40	Jechałem z tymi ludźmi w tyle przez łąkę do żyta.
