---
Bogennummer: 55702
Ort: Radomierz
Sprache: Polnisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Zimą latają suche liścia w powietrzu
WS02	Przestaje padać śnieg, pogoda się robi.
WS03	Włóż węgli do pieca, aby się mleko zagotowało.
WS04	Ten dobry staruszek zarwał się z koniem na lodzie i wpadł w zimną wodę.
WS05	On przed czterema, albo szościu tygodniami umarł.
WS06	Ogień był za ostry, placki na spodku się spaliły.
WS07	On je jaja przez <(bez)> soli i pieprzu.
WS08	Nogi mnie bolą, zdaje się, że je zmógłem.
WS09	Ja byłem u téj kobiety i powiedziałem onéj, żeby ona to powiedziała swojéj córce.
WS10	
WS11	Ržnę cię tą warzechą przez łeb ty małpo!
WS12	Gdzie <(dzie)> idziesz, mám iść z tobą
WS13	Są kiepskie czasy.
WS14	Moje kochane dziecko zostań tu <(sa)> przy mnie stać, bo gęsi cię pogryzą.
WS15	Tyś się dziś najwięcéj nauczył, byłeś grzecznym, ty możesz prędziéj iść do domu niż drudzy.
WS16	Tyś jeszcze za mały, abyś mogł wypić flaszkę wina, ty musisz jeszcz urość i być większy.
WS17	Idź, badź tak dobry i powiedz twojéj siostrze że miała suknię dla waszéj matki i wyszczotkować
WS18	Gdybyś go był znał, toby było dla niego lepiéj i stałoby z nim inaczéj.
WS19	Kto ukradł mi koszyk z mięsem?
WS20	Czynił tak, jakby go byli najęli do młócenia; oni sami to zrobili
WS21	Komu opowiadał on tę nową historyą.
WS22	Trzeba krzyczeć <(wrzeszczeć)>, boby nas nie rozumiał.
WS23	My są trudni i chce nam się pić.
WS24	Gdy my wczoraj wieczorem powrocili, leżeli ci drudzy już w łożku i mocno spali.
WS25	Śnieg téj nocy postał leżeć, ale dziś rano to stajał.
WS26	Za naszym domem stoją trzy ładne jabłonki z czerwonemi jabłkami.
WS27	Niemoglibysćie chwileczki na nas zaczekać, tedy pojdziemy z wami.
WS28	Nie macie takiego dzieciństwa robić.
WS29	Nasze góry nie są mocno wysokie, wasze są wiele wyższe.
WS30	Ile funtów kiszki i chleba mieć chcecie?
WS31	Ja was nie rozymię musicie troszeczkę głosniéj mówić.
WS32	Nie znalezliście kawalka białego mydła na moim stoliku?  
WS33	Jego brat chce sobie dwa ładne nowe domy we waszym ogrodzie postawić.
WS34	To słowo pochodzi od serca
WS35	To było dobrze od was.
WS36	Jakie ptaszki siedzą na tym murzu?
WS37	Chłopi przyprowadzili 5 wołów dziewięć krów i dwanaście owiec przed wieś, aby je sprzedać.
WS38	Ludzie są dziś wszyscy na polu i sieką.
WS39	Idź tylko ten brunatny pies nic Ci nie zrobi.
WS40	Z temi ludźmi w tyle pojechałem przez łąkę w żyto.
