---
Bogennummer: 55741
Ort: Brzezie
Sprache: Polnisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Zimą latają suche listki w powietrzu.
WS02	Śnieg przestaje padać, to będzie znów piękne powietrze.
WS03	Przyłóż węgli w piec, aby się mleko zagotowało.
WS04	Ten poczciwy stary człowiek zarwał się z koniem na lodzie i wpadł w zimną wodę.
WS05	On umarł przed czterma czy sześciu tygodniami.
WS06	Ogień był za nagły, i placki dołem całe spalone.
WS07	Je jaja ciągle bez soli i pieprzu.
WS08	Nogi bardzo mnie bolą, myślę żem je sobie odparzył.
WS09	Byłem u kobiety i powiedzialem jéj to, a ona mówiła że to powie swojéj córce.
WS10	Ja już też tego więcéj nie uczynię.
WS11	Jak cię warzechą kropnę między uszy, ty małpo!
WS12	Gdzie ty idziesz, mamy też z tobą iść.
WS13	Liche są czasy.
WS14	Moje kochane dziecię, zostań tu na dole boby cię gęsi zagryzły.
WS15	Nauczyłeś się dzis najwięcéj, a grzecznym byłeś, możesz też zato prędzéj iść do domu.
WS16	Tyś jeszcze za mały do wypicia butelki wina, musisz jeszcze trochę urość.
WS17	Idź, i bądź tak dobry powiedzieć twojéj siostrze, aby uszyła suknię dla waszéj matki i ją szczotką wyczyściła
WS18	Gdybyś go był znał, wtenczas inaczéj by się stało i lepiéjby było z nim.
WS19	Kto mi ukradł mój koszyk z mięsem?
WS20	On tak robił jakbyście go do młócenia najęli, ale oni sami to zrobili.
WS21	Komu on tę nową powiésć opowiedział?
WS22	Trzeba tego krzyczeć, boby nas nie zrozumiał.
WS23	Jesteśmy zmęczeni <(strudzeni)> i mamy pragnienie.
WS24	Gdyśmy wczoraj wieczorem przyśli, to ci drudzy już leżeli w łóżku i mocno spali.
WS25	Śnieg leżał u nas tej nocy, ale dziś rano już stajał.
WS26	Za naszym domem stoją trzy piękne jabłoneczki z czerwonemi jabłuszkami.
WS27	Czybyście nie [mógłi] jeszcze chwileczki zaczekać, to pójdziemy z wami.
WS28	Nie powinniście takich dzieciństw robić.
WS29	Nasze góry nie są tak wysokie, wasze są wiele wyższe.
WS30	Wiele funtów kiełbasy <(kiszki)> i ile chleba chćecie mieć.
WS31	Ja was nie rozumiem, musicie troszkę głośniéj mówić.
WS32	Nie znaleźliście kawałka białego mydła dla mnie na moim stole?  
WS33	Jego brat chce sobie dwa ładne domy w waszym ogrodzie wybudować.
WS34	To słowo wyszło mu z serca.
WS35	To było dobrze od was.
WS36	Co za ptaszki siedzą na tym murku?
WS37	Chłopi przyprowadzili pięć wołów i dziewięc krów i dwanaście owieczek przed wieś, które chcieli sprzedać.
WS38	Ludzie są dziś wszyscy na polu i sieką.
WS39	Idź tylko, brunatny pies nic ci nie zrobi.
WS40	Pojehałem z ludźmi przez łąkę w żyto. <(zboże)>
