---
Bogennummer: 55803
Ort: Kuklinow
Sprache: Polnisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Zimą lata suche liśćia przez powietrze.
WS02	Przestaje zaraz snieg padać zaś jest powietrze lepsze.
WS03	Włóź węgli wpiec aby mleko zaraz zaczęło się gotować.
WS04	Ten dobry stary człowiek załamał się zkoniem i wpadł w zimną wadę.
WS05	Umarł przed czterema albo szescioma tygodniami.
WS06	Ogień był za gorący placki są nadole spalne.
WS07	Je jaja zawsze bez soli i pieprzu.
WS08	Nogi mnie bolą myślę że pościerałem je sobie bieganiem.
WS09	Byłem u kobiety i powiedzia jej a ona powiedziała że powie tez swjej córze.
WS10	Ja już więcy tego czynił nie będę.
WS11	Uderze cię zaraz warzechą po uszach ty małpo.
WS12	Gdzie idz iesz mamy ztobą iść?
WS13	Są złe czasy.
WS14	Uoje kochane dziecko zostań tu nadole złe gęsi zagryzą cię.
WS15	Ty się dzisiaj najwięcej uczyłeś byłeś grzeczny możesz więc prędzéj iść do domu onizeli drudzy.
WS16	Nie jesteś dośyć wielkim aby wypi[c] flaszke wina musisz jeszcze nieco rość.
WS17	Idć bądż tak dobry i powiedz twojéj śióśtrze aby dla waszej matki suknie wykończyłą i wyczysciła szczotką.
WS18	Gdy bys go był znał byłoby się stało inaczej i lepiej byłoby trzymac jego stronę.
WS19	Kto mi porwał mój koszyk z mięsem.
WS20	Czynił tak jakoby go do młocenia zamówiono ale oni to same zrobili.
WS21	Komu on te nową historyą opowiedział.
WS22	Trzeba głośno krzyceć bo nas nie rozumie.
WS23	Jesteśmy zmęczeni i mamy pragnienie.
WS24	Gdyśmy wczoraj na wieczór napowrót przyszli to drudzy juz lezeli włuzkach i mocno spali.
WS25	Snieg téj nocy unas leżał ale dzisiaj rano stajał.
WS26	Za naszym domem stoją trzy piękne jabłonecki z czerwonemi jablużkami.
WS27	Nie możecie jeszcze chwilkę zanami wtecz as pudziemy z wami.
WS28	Nie powinniście się takiemi dziecinstwami bawić.
WS29	Nasze góry nie są tak wysokie wasze są o wiele wyższe.
WS30	Ile funtów kielbasy ile chleba hcecie?
WS31	Nie rozumiem was musicie trohę głosni mówić.
WS32	Nie znalezliście kawałek białego mydła na mojem stole
WS33	Jego brat chce dwa piękne nowe domy pobudowac we waszym ogrodzie.
WS34	Słowo jego pochodzi ze serca.
WS35	To było słusznie od nich.
WS36	Jakie ptaszki siedzą do góry na murku.
WS37	Wieśniacy przyprowadzili 5 wołów 9 krów 12 owieczków przed wieś ktore chcieli sprzedać.
WS38	Wszyscy ludzie są dziśiaj na polu i koszą.
WS39	Idź tytko ten brunatny pies nic ci nie zrobi.
WS40	Ztejmi ludzmi pojechałem przez łąke do zyta.
