---
Bogennummer: 56338
Ort: Siegfriedsdorf
Sprache: Polnisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: Miriam Schlicht
Anmerkungen: ''
...
WS01	W zimie lecą suche listƚei przez powietrze <(oder auch wluteie)>. 
WS02	Snieg dƚug o nie poleei, a potem sie powietrze maprawi.
WS03	Wrzuć wąglo do pieca, zeby chne dziadek się mléko zwraƚo.
WS04	Dobry dziadek się z koniem zarwot na lodzie i wpodƚ do ziuny wody.
WS05	On umart przed śterma abo seśc’ma tydniami.
WS06	Ogièn byƚ za ostry, koƚocz sie na sfcodku caƚy spolcƚ.
WS07	O zawsze jajca  je beź soli i bez korzynio.
WS08	Nogi mie bardzo bolą, zdaje mi się zech se je przemogƚ.
WS09	Jo byƚ u ty baby i jo i to powiedzioƚ, a ona pedziaƚo, ze chce to jej czerze podziec.
WS10	Juz ta tego więcyj nie chca czynic.
WS11	Wypola ci razy warzychą w uszy ƚy maƚpiezo.
WS12	Kąz idziesz, mamy tyz stobą iść?
WS13	To są sƚe czasy.
WS14	Kochane dziecko, być ty na spodku, te zƚe gąsi cie za gryzą.
WS15	Tyś sie dzisiej nojwzięcy nauczyƚ, i dobrze ześ siezachowoƚ, dla tego ncoześ prandzyjisć du dm, jak ci sam. 
WS16	Tys jesce za maƚy, flaska wina wypic musisz jesce kądek urość, cobyś byƚ większy.
WS17	Idź a bądz takdobry a powiedz twoj scóstrze, zeby ƚachy dla waszy matki uszyƚa i je szczotką opuczowaƚa.
WS18	Gdy byś go boƚ znoƚ, to by sie inaczy staƚo i lepi by mu byƚo.
WS19	Toz mi koszyk z mięsym ukrogƚ.
WS20	Tak udawoƚ, choć by byƚ do mƚocki obstalowano; dle oni se to samo zrobili.
WS21	Komuz tą nową kistonejkę opowiadoƚ.
WS22	Muśimy  gƚośno wrzeszczeć, bo by nas nierozu mioƚ.
WS23	My są sƚabi i chce mam sie pic.
WS24	Jak my wcora wieczor naź od przyśli, to ci drudzi juz wƚoźku leźeli i ?oaido spali.
WS25	Sniég ty nocy u nas zostoƚ lezeć, ale dziś rano rostoƚ.
WS26	Za naszą chaƚpą stoią trzy piekne ja bƚoneczki zczerwonemi jakƚeczkami.
WS27	Nie mozecie cluocleczkę na nosz zeckać, a potym pudymy z wami.
WS28	Nie smiejcie tak zbyƚkowac.
WS29	Nasze gory nie są take wyszokie wasze są dƚuzo wysze.
WS30	Niele fontow waszƚu a wiele chleba chcecie?
WS31	Ja wos nie rozumia musicie trocha gƚośni mowis!
WS32	Nie enadliescie kądek bioƚego mydƚa dlo mie na stole.
WS33	Jego brat chce dwie piekne chaƚpy w waszy zogrodzie zbudowac.
WS34	To sƚowo przyszƚo mu z serca. 
WS35	To bóƚo prawie od nich.
WS36	Coźƚo za ptaszynta siedzą taw na murku?
WS37	Gaźdy 5 (pieć) wóƚow, dziewiec krow i dwanascie owiedk przed wieś przywiodli i cheieli je sprzedac!
WS38	Ludzie są dzi iej wszysćiy na polu i sieka.
WS39	Idz ino ryn bronotny pies ci nic nie zrobi.
WS40	Z ludzini po zadku przeź ƚąka do zyƚa wjechoƚeck.
