---
Bogennummer: 56381
Ort: Nieder Schwirklau
Sprache: Polnisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Wzimie lotaią suche liscie wluwcie.
WS02	Przestanie zaraz snieg padać, potém będie pogoda lepsza.
WS03	Przyłoż wągla do pieca, żeby to mlyko prędzey warzyc się poczęło.
WS04	Ten dobry stary chłop zkoniem się przez lód zarwał a do źimney wody wpod.
WS05	On przed styro tydniami umrzół.
WS06	Ogien bół za gorący, kołocze są na spodku całe czorne popolóne.
WS07	On ié waica dycki bez soli i pieprzu.
WS08	Nogi bardzo mię bolą, io wierzę od biegania.
WS09	Joch bół u tey Pani a oney powiedzioł a ona powiadała, ona chce to też iey cerze powiedziedź.
WS10	Jo niechcę to też więcey czynić.
WS11	Ja cię piznę zaroz tą warzechą wuszy, ty małupico.
WS12	Gdzie idziesz, mamy ztobą iść?
WS13	Są złe czasy.
WS14	Moie miłe dziecię, zostoń tu na spodku stoć, te złe gęsi zaszczypią cię.
WS15	Tyś dziś naywięcey się uczół i bołeś grzeczny. Ty możeż przędzy do dóm iść, iak ci drudzy.
WS16	Tyś ieszcze nie dość wielki flaszka wina wypić, ty musisz dopiero <(dziepioro)> większy urość.
WS17	Idź, bądź tak dobry a powiedz twoiey siostrze, ona miała te szaty dlo waszey matki gotów uszyć a kartaczem wysnożyć
WS18	Gdybyś go boł znoł! to by było inakszy przyszło, a stoło by znim lepi.
WS19	Ktoż mi moi kosz zmięsem ukrot.
WS20	On czynioł tak, iak gdyby go do młocynio obstalowali, oni to ale sami uczynili.
WS21	Komu on tę nową geszichta rozprowioł?
WS22	Muśi się głośno krziczeć, bo by on nas nie rozumiał.
WS23	My są słabi <(andli)> a chce się nom pić.
WS24	Jak my wczora wieczor na zod przisli, to leżeli ci drudzy włóżku a spali twardo.
WS25	Sniyg tey nocy unas leżeć został, ale dzisiok rano ztaioł.
WS26	Za naszą Chułupą stoją trzy piykne iabłoni żczyrwionemi iabłkami
WS27	Ni możecie ieszcze iedno okamgnienie na nas czekać, to puydziemy swami.
WS28	Wy nie smiy cie takich dziecinski błóznów czynic.
WS29	Nasze kępy <(góry)> ńie są bardzo wysoki, wasze są wiela wyszsze
WS30	Wiela fontow ielita <(lelita)> i wiela chleba chcecie mieć?
WS31	Jo was nierozumiem, wy musicie troszka głosni mowić.
WS32	Nie znodliscie kąszczek biołego mydła dlo mnie na moim stole?
WS33	Jego brat chce sobie dwa piykne domy w waszey zogrodzie budować.
WS34	To słowo przysło mu od serca.
WS35	To było prawie od nich.
WS36	Co siedzą tu za ptoszki na tym murku.
WS37	Siedlocy przywiodli pięć wołów i dziewięć krów i dwanoscie łowieczek przed wieś, te chcieli przedać.
WS38	Ludzie są dzisiok wszyscy na dworze na polu a sieką.
WS39	Idź ieno, ten bronotny pies nie zrobi ci nic.
WS40	Joch iechoł zludziami po zadku przez łąkę do rży.
