---
Bogennummer: 56458
Ort: Jänschwalde
Sprache: Sorbisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Simmä letaju te suche Lopena Lufsche.
WS02	Wono buźo nett se pschestasch padasch, potom buźo to Wedro sassei lepsche.
WS03	Szin Hugle do Kamen, aź to Mloko skerej se chopio warisch.
WS04	Ten dobri stari Zlowek jo stim Koṅom na Lodże pschelamal a do teje simneje Wodi padnul.
WS05	Won jo psched stirich abo schestschich Tiźen humrel.
WS06	Ten Pjaz bescho zu welgin topjoni, te Tikanze su spalone.
WS07	Won je te jaja pschezej mimo Soli a Päpṙa.
WS08	Te Nogi me bole, ja werim, aż som sebe je pschegnal.
WS09	Ja som pschi tej żenskej bu̇l a som je groṅil, a wona gronascho, aż wona buźo jo jeje Źowze teke gronisch.
WS10	Ja nok jo sasej zinisch.
WS11	Ja schi baschijom steju Schizu sa Huschi, ti Affa <(Nalpa)>.
WS12	Żo pojżosch, deru stobu hisch?
WS13	Wono jo schlecht Zass.
WS14	Mojo lube Golä, wostan how dolojze stojezi, te sle Gussi schi sakussiju.
WS15	Ti si nej lepej huknul a si ordentlich bil, ti moźosch perej domoj hisch ako te druge.
WS16	Ti nejsi histscher weliki dosctsch tu Flaschu Wina hupisch, ti mussisch perej Kuhs pschrosctsch a wetschi hordowasch.
WS17	Żij, buź tak dobri a gron twoje Schotschi, wona dejala tu Koschulu waschej Mutterze fertig huschisch a steju Berstu huzistschisch.
WS18	Gab ti jog snal! potom bi hinazej pschischlo, a wono bi lepej snim stojalo.
WS19	Chto jo me moj Korb stim Messom hukschanul?
WS20	Won tack ziṅascho, heigin ak mi jogo kmloschenu hopstellowali, woni pak su to sami zinili.
WS21	Komo jo to nowe Tschojene hulizowal?
WS22	Mi mussime se lepej dresch, howazej won to nerosmejo.
WS23	Mi smi muzne a lazne.
WS24	Ako mi zora wjazor nasledk pschiźochmi, laźachu te druge juź Postoli a spijachu twarźe.
WS25	Ten Sneg jo we tej Nozi pschi nass lażezi wostal, ale żins żeitscha jo wotejschel.
WS26	Slesi naschog Domi stoje tschi redne Jablukowe Bomi srednimi Jabluschkami.
WS27	Namżoscho histscher jadno hokognusche sa’nami zakasch, potom pojżomi swami.
WS28	Wi nedejscho take źischeze bisch.
WS29	Nasche gohri nejssu tak hussoke, te wasche su husche.
WS30	Wele Punt Jeschnize a wele punt Kleba zoscho wi mesch?
WS31	Ja wam ṅerosmeju, wi mussischo pitschu lepej pojedasch.
WS32	Nejstscho wi żeden kusk Seipu sa mṅo na mojim Bliże namekali?
WS33	Jogo Bratsch zo sebe dwe nowej Wjażi we waschim Gumne natwarisch.
WS34	To slowo pschiżascho jomu wot Hutschobi.
WS35	To bescho pschawe wot was.
WS36	Kake Teschazki tam gorejze na tej Murze sejże?
WS37	Te Buṙa pschiṅasechu pesch Wolow a źewesch Krow a dwanastscho Woizo psched ti Wjass, to kschechu woni pschedawasch.
WS38	Te Luże su żinsa schikne na Poli a ksche setzisch.
WS39	Żij jan, ten bruni Pjass schi niz neziṅi.
WS40	Ja som stimi Lużimi tam slesi psches tu Luku do Żitta jel.
