---
Bogennummer: 56506
Ort: Mühlrose
Sprache: Sorbisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	We symi letaju te ßuche lopenka we lofčżi wokolo.
WS02	Wono ßo nydom sastanje ßnjeh hičż, potom budże to wjedro saßo lepsche.
WS03	Cżin wuhle do kachlow, aż to mloko so ßkoro waričż sapočżne.
WS04	Ton dobry stary muż je se ßwojim konjom ßo psches lod pschelamal a do symneje wody panyl.
WS05	Won je psched schtyrimi aby scheßčżimi nedzelemi wumrel.
WS06	Ton wohen bjesche jara čżoply, te tykanzy ßu ßpody schak zylje čżorne spalene.
WS07	Won jy te jeha pschezo bjes ßelje a poperja.
WS08	Te nohi mi jara bolja, ja werju, so ßym ßebi je pschebejżal.
WS09	Ja ßym pschi tej żoni pobyl a ßym jej prajil, a wona prajesche, wona ze je tejż ßwojej dżowzy prajicž.
WS10	Ja necham tejż jo wjazy saßo čżiničż.
WS11	Ja praßnem tebe hnydom se tej meschawku wokolo tej wuschow, ty naupa.
WS12	Dże dżesch ty, dyrbimy my se tobu hicž.
WS13	Wono ßu hubene čżaßy.
WS14	Moje lube dżečżo, wostan how dolojka stejo, te sle hußy sakußaja tebe.
WS15	Ty ßy dżenßa najwjaze nawuknyl, a ßy pjekny byl, ty mosch perej domoj hičż jako čżi drusy.
WS16	Ty nejßy hischčże wulki doßčż, so by jenu bleschu wina wupil, ty dyrbisch predy kuß dleschi roßčż a wetschi pschibyčż.
WS17	Dżi, bydż tak dobry a praj twojej ßotri, wona dyrbi tu drastu sa twoju mačż hotowu seschičż a se tej byrschtu čżistu čżiničż.
WS18	Hdy by ty jeho snal! tedy by wono hinak pschischlo, a by lepje snim stejalo.
WS19	Schtu je mi moj korb se tym mjaßom wukranyl?
WS20	Won čżinesche tak, hako byschčże jeho na mločżenje skasali; wy pak ßčże je ßami čżinili.
WS21	Komu je won tu nowu historiju wuličżil?
WS22	Ja dyrbu woßtrje wolačż, hewak nerosymisch ty niz.
WS23	My ßmy mučżni, a ßmy lačżni.
WS24	Jako my čżera wečżor saßo pschindżechmy, da leżachu čżi drusy hiżom we lożu a bjechu twerdże wußnyli.
WS25	Ton ßnjeh je tutu noz pola nas lejżo wostal, ale dżenßa rano je won roßtajal.
WS26	Sady nascheho doma steja čżi Jablučżiny se čżerwenymi jablukami.
WS27	Nemočże wy hischčże jedyn wokomyk na nas čżakačż, potom pondżemy my swami.
WS28	Wy nedyrbičże tajke nekmanstwo čżeričż.
WS29	Nasche hory nejßu tak jara woßoke, te wasche ßu welje wetsche.
WS30	Wele puntow kobaßy a kak welje kleba zečże wy mečż.
WS31	Ja wam nerosymju, wy dyrbičże neschto wotrischo powedačż.
WS32	<Nemacze> Nejßčże wy żadyn kußk bjeleho modla sa mnje na waschim blidżi namkali.
WS33	Jeho bratr chze ßebi dwje ranej nowej kejżi we waschej sarodżi natwaričż.
WS34	To ßlowo pschindże jemu wot wutroby.
WS35	To bjesche prawje wot was.
WS36	Schto ßedza tam sa ptačżki horka na waschej murizzy?
WS37	Te burja mejachu pečż wolow a dżewjacz kruwow a dwanačże wowzow psched tej wßu, te zychu woni pschedačż.
WS38	Te ludżo ßu dżenßa schitke wonkach a ßyčżeja.
WS39	Dżi jenoż, ton bruny poß tebi ničżo nečżini.
WS40	Ja ßym stymi ludżimi tam sady psches tu luku po żito jel.
