---
Bogennummer: '56517'
Ort: Klitten
Sprache: Sorbisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	W zymi leća suche łopjena w powětre.
WS02	Hnydom zastanje sněh sypać, potom budźe wedro lěpše.
WS03	Čin wule do Khachlow, zo so mloko započnje warić.
WS04	Stary dobry muš je so sKonjom přez lód přełamał a je do zymneje wody panył.
WS05	Wón je před štyri abo šěsc njedźel zemrěł.
WS06	Wohen běše přećopły, tykancy su drje delka cyle čorne napalene.
WS07	Wón jě jeja přeco bjez sele a popěra.
WS08	Nohi mje jara bola, mi so zda, je sym sebi je přeběšał.
WS09	Ja sym při tej žoni pobył, a sym jej prajił, a wona praješe, zo chce tež swojej dźowczy prajić.
WS10	Ja njecham tež to wjacy činić.
WS11	Ja biju će hnydom z łžicu wokoło wuši, ty wopica.
WS12	Hdźe ty dźeš, dyrbimy z tobu hić?
WS13	Su hubjene časy.
WS14	Moje lube dźěćo, wostań tuhdy delka stejo, złe husy tebe zakusaja.
WS15	Ty sy dźensa najwjacy wuknył a sy posłušny był; ty směš prjedy domoj hić, hač ći druzy.
WS16	Ty hišće njejsy wulki dosć, zo blešu wina wupiješ; ty dyrbiš hišće rosć a wjetši so činić.
WS17	Dźi, budź tak dobry a praj twojej sotři, zo dyrbi drastu za wašu mać hotowu šić a ze šćětku čistu činić.
WS18	Běšeš ty jo znał; dha by hinak přišło, a lěpje by wo nim stało.
WS19	Štó je mi mój korb z mjasom kranył?
WS20	Wón čineše tak, kak bychu jeho k móćenju zkazali; woni su pak to sami činili.
WS21	Komu je nowe powjedančko prajił?
WS22	Dyrbi so wótře wołać, hewak nas njedorozymi.
WS23	Smy sprócni a mamy lačnosć.
WS24	Jako wčera wječor wróćo přińdźechmy, ležachu ći druzy hižom we łožu a spachu twjerdźe.
WS25	Sněh je tutu nóc pola nas ležo wostał, ale dźensa rano je tał.
WS26	Zady našeje khěžy steja tři rjane jabłukowe štomički z čeŕwjenimi jabłukami.
WS27	Njemóžeće hišće wokomiknjenčko na nas čakać, potom dźemy sobu z wami.
WS28	Wy njesměće tajke dźećatstwa ćinić.
WS29	Naše hory njejsu jara wysoke, waše su wyšše.
WS30	Kak wjele puntow kołbasy a kak wjele khlěba chceće měć.
WS31	Ja was njerozymju, dyrbiće kusk wótřišo ryčeć.
WS32	Njejsće kusk běłeho mydła za mnje na mojim blidźe namykali?
WS33	Jeho bratr chce sebi dwě rjanej, nowej khěži w wašej zahrodźi twarić.
WS34	To słowo je jemu z wutroby přišło.
WS35	To běše prawje wot nich.
WS36	Kajcy tam sedźa ptačatka horkach na muri?
WS37	Burja běchu pječ wowow, a dźeweć kruwow a dwanaće wowckow před wjes přinjesli, kotrychš chcychu předać.
WS38	Ludźo su dźensa wšitcy wonkach na poli a žneja.
WS39	Dźi tola, bruny pos tebi ničo nječini.
WS40	Ja sym z tymi ludźimi tam sady přez łuku do rožki jěł.
