---
Bogennummer: 56549
Ort: Gross Borck
Sprache: Polnisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Wzimie latają suche listki przez powietrze.
WS02	Przestaje wnet śnieżyc, potym będzie powietrze zaś lepsze.
WS03	Daj węgle do pieca, żeby mleko wnet wrzeć zaczȩło.
WS04	Ten dobry stary mąž z koniem się przez lód zarwał i wzimną wodę wpad.
WS05	On przed cztery albo sześć tygodniami umarł.
WS06	Ogień był za gorący, kołacze są na spodku wcale czarno spalone.
WS07	On jé jaja zawsze bez soli i pieprzu.
WS08	Nogi mnie bardzo bolą, ja mniemam, żemje przebiegł.
WS09	Ja byłem u tej pani i powiedziałem jej to, a ona rzekła, ona chce to też swej córce powiedzieć.
WS10	Ja też to niechcę znów czynić.
WS11	Ja cię zaraz biję warzechą około uszy, ty małpo.
WS12	Gdzie ty idzież, mamy z tobą iść?
WS13	Są nicpotem czasy.
WS14	Moje kochane dziecko, zostań tu na dole stać, te złe gęsi cię zagryzą.
WS15	Tyś się dzisiaj najwięcéj nauczył i byłeś grzeczny, ty śmież wczaśniej do domu iść niżeli ci drudzy.
WS16	Tyś ieszcze niejest dosyć srogi, ażeby jednę flaszkę wina wypić, ty musisz przód jeszcze koniec urość i większym się stać.
WS17	Idź, bądź tak dobry i powiédz twej siostrze, ona miała szaty dla waszej matki gotowo uszyć i z szczotką czysto zrobić.
WS18	Byłbyś go znał! wtedy byłoby inaczej przyszło, i lepiej by o niego stało.
WS19	Kto mi mój Kosz zmięsem ukradł?
WS20	On tak czynił, jak gdybyście go do młócenia byli obstalowali; oni to ale sami uczynili.
WS21	Komu tę nową nowinę rozprawiał?
WS22	Potrzeba głośno wrzeszczeć, owszem nas nierozumi.
WS23	Myśmy są z trudzeni i mamy pragnienie.
WS24	Gdyśmy wczoraj wieczór nazad prziszli, w tedy ci drudzy już w łożu leżeli i byli w mocnem spaniu.
WS25	Śnieg w tej nocy u nas został leżeć, ale dziś rano ztajał.
WS26	Za naszem domem stoją trzi piękne jabłonki z czerwonemi jabłeczkami.
WS27	Niemożecie jeszcze jedne okamgnienie na nas czekać, potem pujdziemy z wami.
WS28	Wy nieśmiécie takie dziecinstwa prowadzić.
WS29	Nasze góry nie są bardzo wysokie, wasze są wiele wyszsze.
WS30	Wiele funtów kiołbasse i wiele chleba wy chcecie mieć?
WS31	Ja was nie rozumię, wy musicie trochę głośniej mówić.
WS32	Nie znaleźliście wy żadnego kawałka mydła dla mnie na moim stole?
WS33	Jego brat chce sobie dwa piękne nowe domy w waszem ogrodzie budować.
WS34	To słowo prziszło mu z serca!
WS35	To było prawie od nich!
WS36	Co siedzą tam za ptaszki do góry na mureczku?
WS37	Ci gburzi byli pięć wołów i dziewięć krów i dwanaście owieczek przed wieś zaprowadzili, te chcieli sprzedać.
WS38	Ci ludzie są dzisiaj wszyscy na polu i sieką.
WS39	Idź tylko, ten brunatny pies tobie nic nieuczyni.
WS40	Ja z temi ludźmi tam na zadku przez łąkę do żyta jechałem.
