---
Bogennummer: 56777
Ort: Strellin
Sprache: Kaschubisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Wsimie lötajo sechi läste wleffze.
WS02	To prsestone wnät padani snegu te bédze lebsche powjetrse.
WS03	Wloże wpjeʒk wengle abe mleko rechli sa wralo.
WS04	Ten starÿ dobrÿ chlopp jä wlomjoni skonné prses lot i fpadli w zimno woddi.
WS05	Onn je prset stirzema albo schätz nädzelami umarli.
WS06	Ten oggin bel za ʒepli. te Kuche so nadolle tschesto spölonne.
WS07	Onn je jaja wjedno bes solli i bes pjeprse.
WS08	Mje bollo noggi ja meslá ze ja so mom prsebjegóne.
WS09	Jó bel u ti bjaltze a onna rzekla że onna bi to swoje ʒorʒe rzekla.
WS10	Jó to wjitze nesrobjá.
WS11	Jó ce zaras uderzá to korschkwjo wedle uschi ti mȯlpa.
WS12	Dzesch te jidzesch. mome me stobo jisc?
WS13	To so leche tschase.
WS14	Moe kochane dzeʒko ostani tu nadolle bo te sli ganse ʒebje urzo.
WS15	Te jes dzisö so nowjiʒi nauʒil a bil jes grzecʒnÿ te możes rehli jitz dȯdom jak ti insche.
WS16	Te jesch nejest docʒ wjelki co ti bi budlé wjina wipjil ti muschis jis rocʒ co ti bédzech wjekschi.
WS17	Bedze tak dobri bjö a rzåtze swoje sestrsä zä onna ma te ruchna waji matki uschitʒ i schzotko wyschzotkowac.
WS18	Zebi ti go snal te tobi prsislo jenaki te tobi jenaki bilo.
WS19	Ktes mie ukrat moj kosch smjése.
WS20	Onn tak zrobjil jak bi onne mjeli go opstelowani do draschowana, onne to zrobjili sami.
WS21	Komuż on té nowo powjecz powjedzal.
WS22	To muschi glosno wrzeschʒeʒ bo tak on nom nerozmjeje.
WS23	Me jesmi medech i nom so chʒe pjitʒ.
WS24	Jak mi ftʒöro pr[?]esle nasot te läsäle ti inschi ju wloschkach a spale.
WS25	Ten sneg dziseschi noʒe je ostani lezonʒe ale dzisö räno onn smjik.
WS26	Sa naschemi chetʒami stojo trsi pjankni Jablonä s tcʒerwonnemi jabłkami.
WS27	Mozeta wa jedno oko mgnene żdaʒ, te mibi schli swama.
WS28	Wa ne darwȯta takego dzeʒenstwa prowadzeʒ.
WS29	Nasche gore neso tak wjelki waji so wjekse.
WS30	Kulis puntow worste a kulis chleba wa chtʒeta.
WS31	Jö wama nerozmjejé wa musita glosni gadaz.
WS32	Ne nalazla wa tu nezodnego stetʒka bjaligo midla na stolle do mje.
WS33	Jego brat chtze sobje dwoje pjanknich chetze we wajem ogrodze zbudowaz.
WS34	To slowo prseslo mu od serʒa.
WS35	To bilo sprawjedlewje od was.
WS36	Tʒesch tam sedzo sa ptachi na tim murku.
WS37	Ti churze mjeli pjinʒ Ollow dzewjanʒ Krov a dwanasʒe Ovʒi prset fso tich oni chtʒeli prsedatʒ.
WS38	Ti ludze so wschistʒi buten na pollu a seko.
WS39	Bjaj le, ten bruni pjes tobje nitʒ nezrobji.
WS40	Ja jem stimi ludzami tam fslöde prses tá lonká wzbożi vjachani.
