---
Bogennummer: 56791
Ort: Weissfluss
Sprache: Kaschubisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Wzemie lotają sechie leste wpowietrzu.
WS02	To wnet przestonie snieg padac, a te bądze lepsze wiodro.
WS03	Wrzice wąglow w pieck, co to mlekó sę bądze wnet gotowac.
WS04	Ten dobry stóry chłop wpod skonię przes lod w tę zimną wódę.
WS05	On przed sterzema abo szesc niedzelamy umar.
WS06	Ten ogien beł za gorący, te kuchy są nadole czorno opolone.
WS07	On je te jaja wjedno bez sole e <nadpisane i> bez pieprze.
WS08	Noge mie bardzo bolą, jo wierzę, że jo je mom przebiegone.
WS09	Jo beł u te bialky a rzek jė a ona chca to swojy corce rzec.
WS10	Jo tege niechcą wici robic.
WS11	Jo tobie raroz [???]ą [szlefa] dom po uschah, te opie.
WS12	Dzesz te idzesz, mome me stobą idz?
WS13	To są leche czase!
WS14	Moje kochane dziecko ostanie tu na dole stojące, co te zle gęse ce urżą.
WS15	Te sę dzis nowicy uczel a też bél spokojny, te mżeź dzis rechly dodom idz jak ty inny.
WS16	To jeź nie jes wielgi dosc, co be flaszę wina wepiel, te muszysz jeż sztek wiekzy urosc.
WS17	Bje, bedze tak dobry a rzecze swoji sestrze, ona mo te klede do waje memke fadich uszec a je ze szczotką weczeszczec.
WS18	Czebe te go znoł, te tobe inaczy przeszło, to be wiele lepi znim stoja.
WS19	Kteż mie moj kosz z mięse ukrot?
WS20	On tak robił, jak be oni ge do draszowania opsztelowale, ale oni to sęmi zrobile.
WS21	Komusz on tę nową Geszychtę pewiedzoł?
WS22	Głosno muszy w rzeszczec, bo on nom to nie rozmieje.
WS23	Me jesme medech, a nom sę chce pic.
WS24	Jak me wczero wieczor nazod przeszle, te ty iny leżele włożku, a bele mocno usniony.
WS25	Ten snieg łestoł te noce lezące, ale dzis perene on rozmieg.
WS26	Za naszym budinką stoją trze peszne jabłonke z czerwioneme jabkame.
WS27	Nie możeta wa jednę chwilke za nęme żdac, te me pudzeme zwami.
WS28	Wa nie darwota takych dzecnech rzeczy prowadzec.
WS29	Nasze góre nie są tak bardzo wesoke, ta waje są wiele wesze.
WS30	Wieleż putow worschte a wiele brotow wa chceta miec.
WS31	Jo nierozmieję wama, wa muszyta trochę głosnie gadac.
WS32	Nienalazła wa molega szteczka biołego medła na moim stole.
WS33	Jego brat chce sobie dwa peszne [budynke] we wajem ogrodze budowac.
WS34	To slowo mu od serca przeszło.
WS35	To beło prozt od nich.
WS36	Czesz tę sedzą za ptoszki u gore na tym murze.
WS37	Ty gburze miele pinc łełow a dzewinc krow a dwanosce owc przed wies wegnone; onie je chcele przedac.
WS38	Te ledze są dzis wszetce bute na polu a seką.
WS39	Bie le, ten bruny pies tobie nic niezrobi.
WS40	Jo ztemi ledzame te slode przes tę łąkę jachoł wzboże.
