---
Bogennummer: 56975
Ort: 'Mörken '
Sprache: Polnisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	W zimę furaią suche liście bez powietrze.
WS02	Zaraz przestanie śnieg padać a tedy będzie zaś lepsze powietze.
WS03	Wrzuć węgle w piec, żeby się mleko wnet zagotowało.
WS04	Dobry sztary chłop załamał  się z koniem na ledzie i wleciał w zimną wodę.
WS05	On przed śtery albo przed sześc niedziel umarł.
WS06	Ogeń buł za duży, bo się kołacze po podpalały.
WS07	On zawsze je jayka pez pieprzu i bez soli.
WS08	Nogi me bolą, bom je ster.
WS09	Ja buł i tey kobiety i moźułem jey a ona moziła, źe to i swojey corce powie.
WS10	Ja tego teź źęcy nie zrobie.
WS11	Jabym tobie zaraz warzuchsią po łbie dał, ty małpo.
WS12	Gdzie idziesz, mawa my z tobą iść?
WS13	To liche czasy!
WS14	Moie kochane dziecko, zostań tu nisko stojeć, bo cie gesi zazrą.
WS15	Tyś się dzisiay nayzięcy nułuczuł i spokoynyś był a tak moźeś prędzy iść do domu, niź owci.
WS16	Tyś ieszcze za mały, flaśkę zina wypić.
WS17	Bądz taki dobry, idź do twoiy siostry, a mow jey, żeby armatę przed matkę zrobiła i szczotką wyciesała.
WS18	Kiebyś ty go znał, toby to jenaczy było a lepiby mu było
WS19	Kto mie kosz z niesem ukrad?
WS20	On się sztalował, jakby go do draszowania wołali; oni to ale sami zrobili.
WS21	Komu on tą nową istorią poziediwał?
WS22	Trzeba gośno krzyczeć, boby nas nie rozumiał.
WS23	My wszyscy zesłabieli i chce się nam pić.
WS24	Jek my wcoray na wieczor nazad przyśli, to owczi juź w werach lezeli i usypiali
WS25	Ty nocy śnieg u nas lezał, ale reno zginoł.
WS26	Za naszem domem stoią trzy piękne jebłoneczki z czerwonemi jebłuskami.
WS27	Nie możeta wy eszcze śułeczkę na nas czekać, to potem i my pudziem z wamy.
WS28	Wy nie musita takiego głupstwa stroieć.
WS29	Nasze gory nie są takie wysokie, waju są wysze.
WS30	Siła funtow worzty i siła funtow chleba chceta?
WS31	Ja nie rozumieie waju, musita troche gośni gadać.
WS32	Cziśla wy na miem stole kawałka bialego midła nie należli.  
WS33	Jego brat chce sobie w wasem ogrodzie dwa piękne nowe budynki postażec
WS34	To on z całego serca mozuł
WS35	To dobrze zrobili
WS36	Co za ptaszki tam wysoko na murze siedzą?
WS37	Gospodarze wyprowadzili za zies pięc wołow, dziejęc krow i dwanaście ozieckow i chcieli je predać.
WS38	Dzisiay są wszystkie ludzie na polu i sieką.
WS39	Idź eno, ten bronatny pies ci nic nie zrobi.
WS40	Ja z temy ludziamy wtyle bez łąkę wźyto wjechał.
