---
Bogennummer: 57321
Ort: Prawdzisken
Sprache: Polnisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	W zime lataio suche liscie bies pogietrzę.
WS02	Juz przestanie pręntko kurzicz, tedy będzie czas sasz lepzy.
WS03	Włos węglie w piec, czo te mleco prętko się za warzy.
WS04	Ten chob dobri i stari stem koniem w lot sie oberwau i w zimǫ wode w pat.
WS05	Jon są ctiery albo siesc tigodnie umar.
WS06	Ogien buł za gorǫnzi, kuchy iest cale spotpolka czarno spalone.
WS07	On jie te jaika sawsdi bies soli i pieprczu.
WS08	Nogi mie bardzo bolo, ia misle, jie usedem.
WS09	Ja u tey białki buiem i jie to moguł, ona mogia, io ciorky jię będzie mogiec.
WS10	Ja to teraz niechcze ucziniec.
WS11	Ja z łisko tobie dam na uszy, ty małpa.
WS12	Gdzie ty idześ, cie tez z tobo podzym?
WS13	Lichie czazy so!
WS14	Mniełe Dżedzie, ustan nisko tu, bo gęnszy cie zakonzo.
WS15	Ty nagęnczie sie ucuieś dzichay i dobry bieś, mozes i pręnzcy do domu iśc nis te druge.
WS16	Ty iesće neiest wielgg dosc butelke wjina wipic, ti musis iesce cokolwik rośnąc i węzi bic.
WS17	Bo̢ć taki dobri, jic i mow twoi Schostrze aby ugaua odzene przed Matki wasy i scotko cisto robjitc.
WS18	Mokes ty iego snatć tedy bi to przisło ienacey, i mogło lepie o niego stoic.
WS19	Chto mie moj kos smęsem ukrat?
WS20	On srobjuł tak bi iego do młocenia obstalowali, i oni ale to sani srobili.
WS21	Komu on to nowe baike powjadau.
WS22	Mi musem głosno krzicis, bi on nam nic ne rosuneie.
WS23	Mi iest uchodzone i mami pragnǫska.
WS24	Jek mi wcoray Wjecor wsat przislim, to leseli ofte use włosku i bili kola spania.
WS25	Schnek tej noci kolenas sostan, ale dzisai reno on sie rospuscuł.
WS26	Sa nasem domem stoio trzi Jebuski pęnne s zerwonemim jebkoma.
WS27	Nemoseta wi chilke na nas cekac, tedi podzem z wamni.
WS28	Wi nie musita take dzeciencwa cinic.
WS29	Nase gory nieso take wisoke, wase so wisze.
WS30	siła funty kełpasi i siła chleba wi chczeta?
WS31	Nie rosaneie wam, musita cokolwik głosney gadac.
WS32	Nienalista kawałek midwa na mojem stole przedemno?
WS33	Brad jego chce dwa bodinki nowe bienkcze w wasem ogrodze budowac.
WS34	s serca mu przisło te słowa.
WS35	To biło dobrze od nego.
WS36	Co sa ptaski siedzo na tem murku wisoko?
WS37	Gospodarze pienc woułi i ciewęc krowi i dwanascie owgecki przed ty wsi przinesli i przedac to chcieli.
WS38	Ludze so wsisci na polu dzisay i seco.
WS39	Its tlo, ten pies bronatni cie nic uciny.
WS40	Ja <(iestem)> s ludzoma tam w tiłku bes łonki w sito gechałem.
