---
Bogennummer: 03569
Ort: Gross Rodensleben
Gid: 120824
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Tino Plümecke
Erstelldatum: 2026-05-20 07:43:37.251906
Änderungsdatum: 2026-05-21 09:07:53.920257
Satzversion: 1
...
WS1	In'n Winter fleihen de drȫgen Blêder dorch de Luft rumher.
WS2	Ett hört glîks opp te snîen, denn wörd ett Wêder wedder besser.
WS3	Dau Koll'n in'n Ôb'n (sive Ohm'n), datt de Melk balle an te kochen fenget.
WS4	De gue olle Mann is mit det Pährd dorch ett Îs  ͤ broken un in ett kolle Wåter  ͤ fallen
WS5	"Hei is vorr vier ohr sechs Woche  ͤ storben (ohr = oder ist selten, der Niederdeutsche sagt hier ""bet"""
WS6	Datt Führ wår te heit, de Kauken sünd jo un'n ganz swart  ͤ brennt. <ganz ist hochdeutsch, ... wird île gesagt>
WS7	Hei itt de Eir ümmer ohne Solt un Pepper
WS8	De Fäute dauen mik sau weih, ik glöwe, ik hewwe se dorchelopen
WS9	Ik bin bî de Frue west un hewwe et ehr esegt, un se sehe, se wolle et ôk öhre Dochter säin ? besser seggen
WS10	Ick will et ôk nich wedder daun.
WS11	Ik slahe dik glîk mit de Kelle umme Ohren du Affe. (Kocklöffel ist ganz unbekannt)
WS12	Wu geist du henn, soll'n wie mit dik gåhn?
WS13	Ett sünd slechte Titen.
WS14	Mîn leiwe Kind, bliew hier un'n ståhn, de slimm'n (oder ollen) Gäuse bîten dick dôde.
WS15	Du hast hü̂te op'n mêrsten ͤ lehrt un bist årtig ͤ west, du dorrst freuher nah Hûse gaͦhn als? (ass) de andern.
WS16	Du bist noch nich grôte naug, um ne Flasche Wîn uttedrinken, du most erst noch en Enne wassen und grötter wärn. (Awer um und Flasche sagt hier nimand (För ne Bulle Win ... )
WS17	Gåh, sî sau gut und segg tau dine Swester, se solle de Klêder forr öhre Mutter fertig neihn un mit de Böste reine måken
WS18	Harst du em  ͤ kennt, dann worre et anders  ͤ kommen un et stünne besser um ehm. (sive et deue besser um ne ståhn)
WS19	Wer hat mik mînen Korf mit Fleisch  ͤ stohlen?
WS20	Hei dåt sau, als harr'n sei ne tau'n Döschen bestellt, sei hebben et awer sülwest  ͤ dån.
