---
Bogennummer: '03696'
Ort: Kienwerder
Gid: 124209
Transliterent: 
Transliterationsprojekt: Historische Sprache in Brandenburg (Uni Potsdam)
Anmerkungen: 
Original Anmerkungen: 
Erstelldatum: 
Änderungsdatum: 
Satzversion: 1
...
WS1	Im Winter fliehen die dräie Bläder derch die Luft rümmer.
WS2	Ett hört glich up tu schnieen, denn werd dett Wäder wedder besser.
WS3	Mok Kohlen in’n Kachellan, dett die Mälk balle an thue kochen fanget.
WS4	Dä gude olle Mann iß mett dett Perd derchet Is gebraken un int kolle Water gefalln.
WS5	Hä iß ver vier odder sechs Wochen gesturven.
WS6	Dett Feier war tu het, die Kuekens sin ungen̄e ganz schwart gebrent.
WS7	Hä itt die Eier immer ahne Sollt un Päper.
WS8	Die Füße duhn mi wei, ick glove, ick häbbe si derchgelopen.
WS9	Ick bin bi di Frue gewest un häbbet er gesäht, un sie säde, sie wärtet ock ehre Dochter seien.
WS10	Ick will ett ock nich meh wedder duhn!
WS11	Ick schlae die gliech mett dän Kochläper imme di Ohrn, du Ape!
WS12	Wo läpst’n henn, selln wie mett kam?
WS13	Ett sin schlächte Tit’n!
WS14	Mien liewet Kind, bliev hie ungenne stehn, die bösen Jänse biet’n die dodt.
WS15	Du häst hiete am mehsten gelehrt un bis artig gewest, du ehre na hus gehn as die Andern.
WS16	Du bis nan ni grot genunk, um ene Flasche Win uttutrinken, du muß irsch na in’n Enge wassen un gretter wern.
WS17	Jeh, sei so guet un seich diene Schwäster, sie sall die Kleder ver jue Muttern fertg näh’n un mett die Börste rene maken.
WS18	Hädest du am gekennt! denn wäre ett andersch gekam’n, un ett däde besser imme am stehn.
WS19	Wä hett mi minen Korv mett Flesch gestahlen?
WS20	Hä dat so as häd’n sie am tum dreschen bestellt; sie häbb’n ett aber all lehne gedahn.
WS21	Wäm hett hä die niee Jeschichte vertällt?
WS22	Man mutt lude schrieen, sonst versteht hä uns nich.
WS23	Wie sin müede un häbb’n Dorst.
WS24	As wie gistern Abnd turicke kamen, da lahn die Andern all tu Bett un waren fest am schlapen.
WS25	Der Schnei iß diese Nacht bi uns lien geblehn, aber hiete Morgen iß hä geschmulten.
WS26	Hinger unserm Huse steh’n drie schöne Äpelbömken mett rod’n Äpelkens.
WS27	Ken’n ji nich na en Ogenblickchen up uns warn, denn gehn wi mett ju.
WS28	Ji dern ni sone Kindereien triewen.
WS29	Unse Berge sin nich sehre hoch, ju’e sin vill höher.
WS30	Wuvill Pund Worst un wuvill Brot welln ji häbb’n?
WS31	Ick verstehe ju nich, ji miet’n en bißken luder spräken.
WS32	Häbb‘n ji keen Stücksken witte Seepe fer mi upp min Disch gefungen?
WS33	Sien Bruder will sich twee schöne niee Hieser in juen Jarte buen.
WS34	Dett Wort kam ahm vam Herzen!
WS35	Dett war recht van ihnen!
WS36	Watt sitt’n dae fer  Välekens bahne upp dett Mureken?
WS37	Di Bure hadd’n funf Ossen un nein Kühe un twölf Schäpkens ver dett Derp gebracht, die woll’n si verkep’n.
WS38	Di Liede sin hiete alle druten upp dett Feld un mähen.
WS39	Jeh man, dä brune Hund duht di nischt.
WS40	Ick bin mett die Liede da hingen ähr die Wäse int Korn gefahren.
