---
Bogennummer: '03934'
Ort: Neurüdnitz
Gid: 123445
Transliterent: 
Transliterationsprojekt: Historische Sprache in Brandenburg (Uni Potsdam)
Anmerkungen: 
Original Anmerkungen: 
Erstelldatum: 
Änderungsdatum: 
Satzversion: 1
...
WS1	Im Winter flegen die drehen Bläder durch die Luft rumher.
WS2	Et hürt glich ob to schneen, denn werd det Weder weder besser.
WS3	Duch Kohlen in den Kachellaben, det die Melk balle an tu kochen fangt.
WS4	Der jude olle Mann is met det Perd dörcht Is gebroaken un in det kolle Woater gefall‘n.
WS5	Aer is ver 4 oader sechs Wochen gestorwen.
WS6	Det Füer woar tu het, die Kucken sind joa ungen ganz schwart gebrennt.
WS7	Aer itt die Eier immar ahne Solt und Päper.
WS8	Die Bene dan miar siere weih, ik glowe ik hebbe sie mi dörchgelopen.
WS9	Ick bin bi d[a] Frue gewest un hebbe et ehr geseggt, un sie seggte, sie wulde et och [o]re dochter seggen..
WS10	Ik will et och nich mir wedder duhn
WS11	Ick schlon die glich mit den Kochleper um die Uhren, Du Oppe.
WS12	Wu gehst du hann, s[o]llen wie met die gohn.
WS13	Et sind schlechte Tiden.
WS14	Min liwet Kind, bliew hier unden stoͣhn, die bösen Gänse bieten die dot.
WS15	Du häst hite am miersten geliert un bist artig gewest, du darfst iher na House gohn as die Andern.
WS16	Du bist no nich grot gnug um eine Flasche Wein uttudrinken du mußt irst noch en Enge wassen un gröster wern.
WS17	Lop, sei so jut un segge dine Schwestar, sie sall die Kleder fer jue Muttar ferdig nähen un met die Berschte rene maaken.
WS18	Hiddest du em gekennt! Denn wire et anders gekoamen, un dete besser um em stoahn.
WS19	Wä hät mi minen Korv mit Flesch gestoahlen?
WS20	Er doat so, as hädden sie em tum Dreschen bestellt; sie hebben et aber allene gedoahn.
WS21	Wem hät er die neie Geschihte vertelt?
WS22	Man mut lut schrien, sons versteht er uns nich.
WS23	Wie sind mede un hebben dorst.
WS24	As wie gistern Abend turüge koamen, dän legen die Andern schon tu Bedde un woaren fest am schloawn.
WS25	Der Schnee is dise Nacht bi uns lieen gebleven, aber hite Morgen is er geschmulten.
WS26	Hinger unset Hus stoahn drei schene Äpelbemken met roden Äpelkes.
WS27	Könen ji nich noch enen Ogenblick ub uns woaren, denn goahn wie met ju.
WS28	Ji derwen nich sone Kingereien driewen!
WS29	Unse Barge sind nich siere hoch, jue sind ville höjer.
WS30	Wieville Pund Worst un wieville Brod willn ji hebben?
WS31	Ik verstoͤhe ju nicht ji mieten ein bitz luder räden.
WS32	Hebbe ji ver mi ken Stückken witte Sepe ver mi up minen Disch gefungen?
WS33	Sin Bruader will sich zwe schene nüe Hüser in juen Joarten buen.
WS34	Det Wurt kam em von Harzen.
WS35	Det woar recht von em!
WS36	Wat sitte doa ver Vägelken bane ub dat Müerken?
WS37	Die Büre hadden fünf Ossen un 9 Köhe un zwölf Schäpken ver det Dörp gebracht, die woullten sie verkepen.
WS38	Di Lüde sind alle hüte büten ub dat Feld un mäen.
WS39	Lop man, der brune Hund det di nischt.
WS40	Ik bin met di Lüde doa hingen ewer die Wäse int Koarn gefoahrn.
