---
Bogennummer: '04206'
Ort: Charlottenburg
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Brandenburgisch
Transliterent: Lars Vorberger
Anmerkungen: ''
...
WS01	In den Winder fligen die drockne Blädder durch die Luft rum.
WS02	Et hert uff zu schneen, denn wird dett Wedder widder besser.
WS03	Duh Gohlen in den Owen, datt die Millich bald an ßu gochen fangt.
WS04	Der jute olle Mann is mit datt Ferd durcht Eis jebrochen, un in datt kalle Wasser jefallen.
WS05	Er ß vor vier oder sechs Wochen jestorben.
WS06	Dat Feier wa ßu hees, die Kuchens sinn ja unden janz schwarz jebrannt
WS07	Er eßt die Eier immer ohne Sals un Feffer.
WS08	Die Beene duhn mich sehr weh, ick jlobe, ick hab se durchjeloofen.
WS09	Ick bin bei die Frau jewest un hab et sie jesacht, un se sacht, se will et ihre Dochta sajen.
WS10	Ick will et ooch nich mehr widder duhn.
WS11	Ick schlaje dir jlei mit'n Kochleffel um die Ohren du Affe.
WS12	Wo jehst du hin, solln wa mit dich jehn?
WS13	Et sin schlechte Szeiten.
WS14	Men liebet Kind bleib hier unden stehn, die besen Gense beißen dir doht.
WS15	Du heßt heite am meisten jelernt un bist artig jewesen, du derfst früher nach Hause jehn als de Andern.
WS16	Du bis no nich jroß jenug, um eene Pulle Wein ausßudrinken, du muß ers no een Endken waksen, un jreßer w.
WS17	Jeh, sei so jut un sach deine Schwestern, se soll die Kleder for eire Muddern fattich nehn un mitt die Buschte reen machen.
WS18	Häßt de ihn jekennt! dann weret andas jekomm, un et dähte besser um ihn stehn.
WS19	Wer hat mich mein Korb mit Fleesch jestohln.
WS20	Er daht so als hädden se ihn zut dreschen bestellt, se haben et aber selber jedahn.
WS21	Wen hat er die neie Jeschichdn verzehlt?
WS22	Man muß laut schreien sons vasteht er uns nich.
WS23	Wir sinn miede un habn Duscht.
WS24	Als wa jestern Abens ßurick kamen, da lajen die Andern schont ßu Bette un warn feste antschloofen.
WS25	Der Schnee iß diese Nacht bei uns ligen jebliebn, aber heute Morjen iß er jeschmolßen.
WS26	Hinter unsert Haus stehn drei scheene Äpelbemkens, mit rothen Äpelkens.
WS27	Kennt ihr nich noch een Ojenblilcksken uff uns watten, denn jehn wa mit eich.
WS28	Ihr derft nich sonne Kinderreien dreiben.
WS29	Unse Berge sinn nich sehr hoch, die eire sinn ville hecher.
WS30	Wieville Fund Wuscht un wieville Brot wollt ihr haben?
WS31	Ick vasteh eich nich, ihr mißt een Bisken lauter sprechen.
WS32	Habt ihr keen Sticksken Sefe vo mir uff mein Disch jefunden?
WS33	Sein Bruder will sich zwe scheene neie Heiser in eire Jarten baun.
WS34	Det Wort kam ihn vont Herz.
WS35	Det wa recht von Sie.
WS36	Wat sitzen da für Vegelkens oben uff dat Meierken.
WS37	Die Bauern haben finf Oksen un nein Kühe un ßwelf Schefkens for dat Dorf jebracht, die wolltn se verkoofen.
WS38	Die Leite sinn alle ufft Feld un mehn.
WS39	Jeh man, der brune Hund duht de nichs.
WS40	Ich bin mit die Leute da hinden iber de Wiese int Korn jefahrn.
