---
Bogennummer: '04556'
Ort: Dahlewitz
Gid: 124161
Transliterent: 
Transliterationsprojekt: Historische Sprache in Brandenburg (Uni Potsdam)
Anmerkungen: 
Original Anmerkungen: 
Erstelldatum: 
Änderungsdatum: 
Satzversion: 1
...
WS1	Im Winter flehn dieh dreue Bläder in dieh Luft rum.
WS2	Et hört gleich up tu schneien, dänn wärt dät Wäeder wedder besser
WS3	Dieh Koalen in dän Ka[t]heln, dät die Melk balle tu kochen fangt.
WS4	Der gude olle Mann ist met dat Pärd dörch dät Is gebroaken un in dät kolle Woater gefallen.
WS5	Hä iß ver vier oder seks Wochen gestorwen.
WS6	Dät Führ woar tuh heet, dieh Kuhken sind go üngene ganz schwart gebräe[g]t
WS7	Hä ett diee Eier ümmer oahne Solt un Peäper.
WS8	Die Bene duhn mei sehre wei, ik glowe, ik hebbe se dörch gelopen.
WS9	Ik bin bei dieh Fraue gewest un hebbe et öhr gesäet, se wollde et ok öhre Dochter seihen.
WS10	Ik will et ok nicht wedder duhn.
WS11	Ik schloa dei gleich met dän Kochläepel um dieh Ohren, du Oappe.
WS12	Wuh gehst du henn, salln wie met dei gehn.
WS13	Et sind schlechte Tieden.
WS14	Min liewet Kind, bliew hie ungen stehn, dieh bösen Jänse biten dei dot.
WS15	Du hest hüte am meesten geliert un bis artig gewest, du darfst ehr na Huse as dieh Ängern.
WS16	Du bist noch nich grot genug um ene Pulle Wien uttudrinken, du mußt irschst noch ehn Enge wassen un grter
WS17	Geh, sei so guht un seihe diene Schwäster, sei sall die Kleder ver gaue Mutter fährig un met dieh Borschte rene moaken.
WS18	Hätst du äm gekennt! Dänn wäre et ängersch gekoam, un et däthe besser um äm stehn.
WS19	Wer het mei minen Korf met Flesch gestoaln?
WS20	Hä dath so, als hädde se äm tum dröschen bestellt, se hebben et äber selber gedoan.
WS21	Wäm het hä dieh neue Geschichte vertellt?
WS22	Man mut lude schreien, süst versteht hä uns nich.
WS23	Wei sind mühde un hebben Dörscht.
WS24	As wei gistern Ohnt turügge gekoam, doa lägen dieh Ängern alle tu Bedde un schliepen.
WS25	Der Schnei ist dieh Nacht bei uns ligen geblewen, äber hüte morgen ist hä geschmoltn.
WS26	Hinger unsä Hus stehn drei schöne Äppelböme met rode Äppel.
WS27	Könn gie nich noch ehn Ogenblick up uns woarden, dän̄ gehn wei met gau.
WS28	Gei därft nich sone Kingerrei driwen.
WS29	Wieville Pund Worscht un wieville Brot wille gei hebben.
WS30	Unse Berge sind nich sehre hoch, gaue sind höger.
WS31	Ik verstehe gau nich, gei müten en bitsken luder rähden.
WS32	Hebben gei ken Stücksken witte Sepe ver mei ub min Disch gefungen?
WS33	Sin Bruhder will sich zwe schöne nei Hüser in gauen Goarde bauen.
WS34	Dat Wort kam̅ äm van Härten.
WS35	Wat sitten doa ver Vöalekens bone ub in dät Mäuerken?
WS36	Dät woar recht vam äm.
WS37	Dieh Buhre hebben fünf Ossen un neun Köh un zwölf Schoappe ver dät Dörp gebracht, dieh wollden se verköpen.
WS38	Dieh Lüde sind hüte alle druten ub det Feld un mähn.
WS39	Geh man, der brune Hund duht dei nüscht.
WS40	Ik bin met de Lüde hingen öhr dieh Weäse met Koarn geführt.
