---
Bogennummer: '04561'
Ort: Königs Wusterhausen
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Brandenburgisch
Transliterent: Lars Vorberger
Anmerkungen: ''
...
WS01	Im Winterr fliejen die trrocknen Blätterr durrch die Luft herrum.
WS02	Es hört jleich auf zu schneien, dann wirrd das Wetterr wieder besser.
WS03	Thu Kohlen in den Ofen, daß die Milch bald an zu Kochen fängt.
WS04	Der jute alte Mann ist mit dem Pferrde durchs Eis gebrrochen und in das kalte Wasserr jefallen.
WS05	Er ist vorr vierr oder sechs Wochen jestorrben.
WS06	Das Feuerr warr zu heiß, die Kuchen sind ja janz schwarz jebrannt.
WS07	Err ist die Eier immerr ohne Salz und Pfeffer.
WS08	Die Fiße thun mirr sehr weh, ich jlaube, ich habe sie durrchjelaufen.
WS09	Ich bin bei derr Frrau jewesen und habe es ihrr jesajt, und sie sajte sie wolle es auch ihrrer Tochter sajen.
WS10	Ich will es auch nicht mehrr wieder thun.
WS11	Ich schlaje dich jleich mit dem Kochlöffel um die Ohrren, du Affe.
WS12	Wo jehst du hin, sollen wirr mit dir jehen?
WS13	Es sind schlechte Zeiten!
WS14	Mein liebes Kind, bleibe hierr unten stehen, die bösen Jänse beißen dich todt.
WS15	Du hast heute am wenijsten jelerrnt und bist arrtij jewesen, du darfst früherr nach Hause jehn, als d.
WS16	Du bist noch nicht jroß jenuch, um die Flasche Wein zu trrinken, du mußt errst noch ein Ende wachsen u. grrößer w.
WS17	Jeh, sei so jut und sach deinerr Schwesterr, sie sollte die Kleiderr für eure Mutterr ferrtig nähen und mit derr Bürrste rrein.
WS18	Hättest du ihn jekannt! dann wärre es anders jekommen, und es thäte besserr um ihn stehn.
WS19	Werr hat mirr meinen Korrb mit Fleisch jestohlen?
WS20	Err that so, als hätten sie ihn zum Drreschen bestellt; sie haben es aberr selbst jethan.
WS21	Wem hat err die neue Jeschichte erzählt?
WS22	Man muß laut schrreien, sonst verrsteht er uns nicht.
WS23	Wirr sind müde und haben haben Dirst.
WS24	Als wirr gestern Abend zurrück kamen, da lajen die Anderrn schon zu Bett und waren
WS25	Derr Schnee ist bei Nacht bei uns liejen jeblieben, aberr heute Morrj
WS26	Hinterr unserrm Hause stehen drrei schöne Apfelbäume mit rrothen Äpfeln.
WS27	Könnt ihrr nicht noch einen Aujenblickchen auf uns warrten, dann jehn
WS28	Ihrr dürrft nicht solche Kinderreien trreiben.
WS29	Unserre Berrge sind nicht sehrr hoch, die eurren sind viel höherr.
WS30	Wiviel Pfund Wirst und wieviel Brrot wollt ihrr haben?
WS31	Ich verrstehe euch nicht, ihrr müßt ein bischen lauterr sprrechen.
WS32	Habt ihrr ein Stück Seife fürr mich auf meinem Tische jefunden?
WS33	Sein Brruderr will sich zwei schöne neue Häuserr in eurrem Garten
WS34	Das Worrt kam ihm vom Herrzen.
WS35	Das warr rrecht von ihnen.
WS36	Was sitzen da fir Vögelchen oben auf dem Mäuerrchen?
WS37	Die Bauerrn haben finf Ochsen und nein Kühe und zwölf Schäfchen vor das Dorf jebracht, die wollten sie verkaufen.
WS38	Die Leute sind heite alle draußen auf dem Felde und mähen.
WS39	Jeh' nur, der braune Hund thut dir nichts.
WS40	Ich bin mit den Leuten da hinten über die Wiese ins Korn jefahren.
