---
Bogennummer: '04667'
Ort: Zossen
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Brandenburgisch
Transliterent: Lars Vorberger
Anmerkungen: ''
...
WS01	In'n Winter fliegen die droikne Blätter in de Luft rum.
WS02	Et hört gleich uf zu schneen, denn wird det Wetter widder besser.
WS03	Dhu Kohlen in'n Kaachel, det de Milch balle anfangt zu kochen.
WS04	Der jute olle Mann is mit det Ferd durch't Eis gebrochen un in det kalte Wasser gefallen.
WS05	Er is vor vier oder sechs Wochen gestorben.
WS06	Det Feier war zu heeß, de Kuchen sin ja unten janz schwarz gebrennt.
WS07	Er esst de Eier immer ohne Salz un Feffer.
WS08	De Bene dhun mich sehre weh, ick globe, ick habe se durchgelofen.
WS09	Ick bin bei de Frau gewesen un habe't ihr gesagt, un se sagte, se wollte't ihrer Dochter och sagen.
WS10	Ick will et och nich mehr widder dhun.
WS11	Ick schlage dich gleich mit'n Kochlöffel um de Ohren, du Affe.
WS12	Wo gehs de hin, solln wer mit dich gehn?
WS13	Et sinn schlechte Zeiten.
WS14	Mein liebet Kind, bleibe hier unten stehn, de besen Gänse beißen dich dot.
WS15	Du hast heite am merschten gelernt und bist artig gewesen, du darfst eher zu Hause gehn als de Andern.
WS16	Du bis noch nich groß genung, um'ne Flasche Wein auszudrinken, du mußt erscht noch en Ende wachsen un größer werden.
WS17	Geh, sei so gut un sage deiner Schwester, se soll de Kleeder vor  eure Muttern fertig nähn un mit de Birschte ren machen.
WS18	Hättst du'n gekennt, denn wäret anders gekomm'm, un't dhäte besser um'n stehn.
WS19	Wer hat mich mein'n Korb mit't Fleesch gestohln?
WS20	Er dhat so, als hättn s'in zum dreschen bestellt; se haben't aber selbs gedhan.
WS21	Wen hatter de neie Geschichte verzählt?
WS22	Man muß laut schreien, sons verstehter uns nich.
WS23	Wir sin mide un haben Durscht.
WS24	Als wer gestern Abend zurück kamen, da lagen de Andern schon in't Bette un waren fest ingeschlafen.
WS25	Der Schnee is de Nacht bei uns liegen gebliebn, aber heite Morgen is er geschmolzn.
WS26	Hinter unsert Haus stehn drei schene Appelbemchens mit rothe Appelchens.
WS27	Kennter nich noch en'n Ogenblickchen uf uns warten, dann gehn wer mit eich.
WS28	Ihr derft nicht so'ne Kindereien dreiben.
WS29	Unse Berge sin nich sehre hoch, eure sin ville höher.
WS30	Wievill Fund Wurst und wieville Brod wollter habn?
WS31	Ick verstehe eich nich, ihr mißt'n Bisken lauter sprechen.
WS32	Habter ken Sticksken weiße Sefe ver mich uf mein'n Disch gefundn?
WS33	Sein Bruder will sich zwe schene neie Heiser in euern Garten bauen.
WS34	Det Wort kam'n von't Herz.
WS35	Det war recht von ihnen.
WS36	Wat sitzen da vor Vegelken oben uf det Mauerken?
WS37	De Bauern hatt'n fünf Ochsen un nein Kihe u. zwelf Schäfkens vor det Dorf gebracht, die wollt'n se verkofen.
WS38	De Leite sin heite alle draußen uf't Feld un mähn.
WS39	Geh man, der braune Hund dhut dich nischt.
WS40	Ick bin mit die Leite da hinten über de Wiese in't Korn gefahrn.
