---
Bogennummer: 04691
Ort: Beeskow
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Brandenburgisch
Transliterent: Lars Vorberger
Anmerkungen: ''
...
WS01	In'n Winter flien die verdr[o]hten Blätter in de Luft rum.
WS02	Et hert gleich uf zu schneen, denn wird et Wetter widder besser.
WS03	Duch Kohlen in'n Ofen, det die Milch balde kocht.
WS04	Der gude alde Mann is mit et Pferd durch et Eis gebrochen, un in et kalde Wasser gefallen.
WS05	Er is vor 4 oder 6 Wochen gestorben.
WS06	Et Feuer war zu heeß, die Kuchen sinn unten ganz schwarz gebr[e]nnt .
WS07	Er ißt die Eier immer ohne Salz un Pfeffer.
WS08	De Füße {am Rand:} Bene duhn wir sehre weh, ick globe, ick habe se mir durchgelofen.
WS09	Ick bin bei de Frau gewesen, un habe et ihr gesaat, un sie saate, sie wollde et och ihre Dochter saan.
WS10	Ick will et och nich mehr widder duhn.
WS11	Ick schlage dir gleich mit'n Kochlöffel um de Ohren, du Affe.
WS12	Wu gehst'n hen, solln wir mit dir mitkommen?
WS13	Et sinn schlechte Zeiten.
WS14	Mein liebet Kind, bleibe hier unten schtehn, die besen Gense beißen de dot.
WS15	D' hast heute am mehrschten gelernt un bist artig gewesen, du derfst och früher nach Hause gehn als de Andern.
WS16	Du bist noch nich groß genug 'ne Flasche Wein auszudrinken, du mußt erscht noch en Ende wachsen un größer werdn.
WS17	Geh, sach deine Schwester, se sollde d' Kleder for eure Mutter fertig machen un met de Borschtn aus berschten.
WS18	Häddest du'n gekannt, dann wäre et anders gekommen, un et däde besser um'n schtehn.
WS19	Wer hat mir meinen Korb mit et Flesch gestohlen?
WS20	Er dĕht so, als hädden se'n zum Dreschen bestellt, se haben es aber selbster gedahn.
WS21	Wem hat er'n die neie Geschichte verzellt?
WS22	Man muß laut schreien, sŏnst versteht er uns nischt <(nich)>.
WS23	Wĭ sinn sehre müde un haben Durscht.
WS24	Als wĕ gestern Abend zurück kamen, lagen die Andern schon in't Bedde un waren fest ingeschlafen.
WS25	Der Schnee is die Nacht liegen geblieben, aber heute früh hat er <(et)> gedauet.
WS26	Hinter unsen Haus schtehen 3 schene Äppelbeme met rothe Äppel.
WS27	Kennt'r nich noch'n Ogenblick uf uns warten <(waren)> denn gehn wir och met.
WS28	Sōne Kindereien derft'r nich dreiben.
WS29	Unse Berge sinn nich sehre hoch, bei euch sinn se vill hecher.
WS30	Wie ville ℔ Worscht und wie ville Brot wollt ihr haben?
WS31	Ick verschtehe euch nich, ihr mißt en bisken lauter reden.
WS32	Habt ihr nich en Stücksken weiße Sefe vor mir uf meinem Disch gefunden?
WS33	Sein Bruder will sich zwee schene neie Haiser in eiarn Garten bauen.
WS34	Det Wort kam'm von Herzen.
WS35	Det war recht von ihn'n.
WS36	Wat sitzen'n da vor Vögelkens oben uf et Mauerken.
WS37	De Bauer hadden funf Ochsen un nein Kühe un zwelf Schäfkens vor't Dorf gebracht, die wollden se verkofen.
WS38	De Leite sinn heute alle draußen uf et Feld un mähen.
WS39	Geh man, der braune Hund duht dir nischt.
WS40	Ick bin mit de Leite da hinten über de Wiese in't Korn gefahren.
