---
Bogennummer: '05552'
Ort: Dachwig
Gid: 139926
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Springer
Original Anmerkungen: "Bemerkungen: a ist der hochdeutsche Laut, etwas trübe, å fast\
  \ wie o, à zwischen a u. ä. \n- e wie in See, das wie ä lautende ist oben ä geschrieben;\
  \ - ë͡i ist der Zwielaut e-i, i͡ë, fast ià, der letzte Laut halb stum̄, wie überhaupt\
  \ e oder à nach einem u, o, i, e; \n- i͡e ist das hochdeutsche gedehnte i; - mà\
  \ (à fast wie e, halb stumm, kurz) \nDachwig und Döllstädt bilden eine Sprachinsel,\
  \ mit auffallend anderer Mundart, als alle umliegenden Ortschaften und namentlich\
  \ die nächsten - über 3 Stunden entfernten - Städte Erfurt, Langensalza, Gotha.\
  \ Wegrichs Sam̄lungen verarbeitet Professor Dr. Regel in Gotha mit. "
Erstelldatum: 2026-02-18 20:17:08.921428
Änderungsdatum: 2026-02-18 20:17:08.921428
Satzversion: 1
...
WS1	In Wëintr fli͡ëgen de trockne Blätter därch de Loft. 
WS2	"´s hi͡ërt glë͡ich uff mät <(se)> schnë͡ien, dernochen wärd´s Wàtter <(a hell, zwischen a und ä)> wädr bàsser. {""se"" ist eingeklammert und ""mät"" darübergeschrieben}"
WS3	Dock Kolln in U͡[?m]n. daß de Mälch bàhl u͡anfängt mätt kochen. 
WS4	Dr àhle Månn <(trübes a)> äs mätt dn Fàhre därchs I͡es gebrochen on̄ ins kàhle Wåsser gefålln. 
WS5	Hà äss vär vier oder sàchs Wochen gestorwen. 
WS6	D´s Fier wuar zu͡e heiß, de Ku͡achn sen̄ je ongen gànz schwårz gebrànnt. 
WS7	Hà esst de Eier emmer ohne Sàhls on Pfàffer. 
WS8	De Fess <(Beine)> donn mech wi͡ëh, ech gleiwe, ech hånn se därchgelaufen. 
WS9	Ech bänn bë͡i dàr Frauwe gewàst on̄ hånn´s´r gesàht, on̄ se sàht, se well´s au ehrer Dochtr sàh. 
WS10	Ech wälls au nech mi͡ë du͡ë. 
WS11	Ech schloh dech glëich mätt d´n Kochläffel em de U͡[e]hrn, du Åff! 
WS12	Wu gesst du <(dànn)> hänn? sommànn mätt dech gi͡ëh? {erscheint als 13. Satz}
WS13	´senn schlàjte Zi͡etn. {erscheint als 19. Satz}
WS14	Min̄ li͡ëwes Kë͡ind, blibb hi͡ë ongen sti͡ëh, de bi͡ëse Gänse bießen dech tu͡àd. 
WS15	"Du håst hìtt ån meisten <(oft ån mehrsten)> gelàrnt on best u͡art´g <(meistens: guat)> gewàst; du derfst <darfst> i͡er <(eher)> heim gi͡ëh, àll die Ànnern. {In ""derfst"" ist das a zum e verbessert}"
WS16	Du best noch nech gru͡aß genonk, du mosst erscht noch àn Äng <(fast allgemein àn besschen> wu͡achs on gresser wàhr. 
WS17	Gi͡ëh, sick so gu͡at on sàhk dinner Schwàster, se sell die Kleider fàrr o͡uwre Motter <(auch: färr ouwer Mot-tern)> färtg ni͡ëh on mätt dr Bärschten rein måch. 
WS18	Hàttst due ehn gekànnt! do wehrsch ànnersch gekomm, on es deet bässer em´n sti͡ëh <(hier sagt man nicht so, sondern: on äss stänn bässer em̄´n)>. 
WS19	Wàhr hätt mech dàn Korb mätt dàn Fleisch gestollen? {erscheint als 12. Satz}
WS20	Hà du͡at su͡e, àll hàttn se´n zom Dràschen bestàllt; se honn´s àw´r sàlwer gedonn <(auch gedon)>. 
WS21	Wàhn hätte die nouwe Geschicht àrzàllt? 
WS22	Mà moss luht schrë͡i <(kreel)>, sost verstett à ons <(enn)> nech. 
WS23	Mi senn mi͡ëde on̄ hon̄ Dorscht. 
WS24	Wie mi gàster Ohmt zàrreck ku͡amen, do lu͡agn de Ànnern schonn in Bätte on wuar´n fåst åm Schlofen <(hier sagt man: onn schlu͡afen bàhl)>. 
WS25	Dr Schni͡ë äss die Nåcht bë͡i ons lie gebläwen, àwer hitt Morjen <(hier: hitt bàhl fri͡ëwe, oder: dessen Morgen)> äss à geschmolzen. 
WS26	Henger onsen Huse sti͡ëhn <(stenn)> drë͡i schi͡ëne Åpfelbeimchen mätt ru͡aten Äpfelchen. 
WS27	Konnt di <[dànn]> nech noch ànn A[uw]enbleckchen <(hier: àn besschen, am meisten: ànne Minuten)> uff ons gewohrt, nochen gi͡ën mà mätt och. 
WS28	Die därft nech su Kengerei´n triewe! {erscheint als 29. Satz}
WS29	Onse Bàhrje senn nech si͡ër hu͡ach, ouwre senn ve͡al hecher. {erscheint als 28. Satz}
WS30	Wie ve͡al Fon̄d Worscht wollt di hu͡a? 
WS31	Ech vàrsti͡ëh och nech, di mott à besschen luter spràch. 
WS32	Hott di kei Steckchen Seifen färr mech uff minn Desch gefongen? 
WS33	Sin̄ Bru͡ader wäll sech zwei schi͡ëne nouwe Hieser in o͡uwern Gohrten bo͡uwe. 
WS34	Das Wort kuam ehn von Hàrzen. 
WS35	Dås wu͡ar ràjt von´n! {erscheint als 38. Satz}
WS36	Was senn das färr Veile do u͡awn uff dàn Mierchen? {erscheint als 35. Satz}
WS37	De Buren håtten fenf Ochsen on nien Ki͡ëwe on zwälf Scheefchen <(Scheef)> färrd´s Dorf gebrohcht, die woll´n se verkeif. {erscheint als 36. Satz}
WS38	De Li͡et senn hitt åll drussen uff dn Fàlle on hauwen <(hier: on s[i]nn hauwe)>. {erscheint als 37. Satz}
WS39	{fehlt}
WS40	{fehlt} 
