---
Bogennummer: '06582'
Ort: Ellrich am Harz
Gid: 137702
Transliterent: 
Transliterationsprojekt: Historische Sprache in Brandenburg (Uni Potsdam)
Anmerkungen: 
Original Anmerkungen: 
Erstelldatum: 
Änderungsdatum: 
Satzversion: 1
...
WS1	Im Winter fliegen die trockenen Blätter dürch die Luft herim.
WS2	Aes hert gliech uff zu schneggen, daenn wärd das Waetter wädder besser.
WS3	Thuk Koll´n in daen Oben, daß die Mälich bole ahn zu kochen fänget.
WS4	Daer gude ōle Mann äß met daen̄ Pfaere därch‘s Is gebrochen un in das kōle Wasser jefallen.
WS5	Oer äß vür vēr oder saechs Wochen jestorben.
WS6	Das Fier war zu heiß, die Kuchen sin jo ungene ganz schwarz jebrannt.
WS7	Aer ißt die Eier immer ohne Sōlz un Pfaeffer.
WS8	Die Fiße thun mich sehre weh, ich glaube, ich ha se därchjelaufen.
WS9	Ich bän bi daer Frau jewesen un ha aes ēr jesaet, un se saete, se wullte aeß au ehraer Tochter sae.
WS10	Ich will aeß ae nich mehr wädder thu!
WS11	Ich schlo dich gliech met´n Kocheleffel im de Ohren, du Affe!
WS12	Wo gehst du hän, soll´me met dich geh?
WS13	Deß sin schlaechte Zieten.
WS14	Min liebes Kind, blib hier ungene steh, die besen Gänse bießen dich todt.
WS15	Du häst hiete an meisten jelaernt und bäst artig jewaesen, du derfst frihr no Heime geh als die andern.
WS16	Du bäst nach nich groß jenung im aene Flaschen Wien uszutrinke, du mußt erscht nach aen Änge wāchse un gresser waere.
WS17	Geh, sik so gut un saek diner Schwaester, se sellte die Kleider fer ure Mutter färtig neh un met daer Bäschten reine machen.
WS18	Hettest du ehn jekannt! daenn wern aeß anderscht jekummen, un aeß thed besser im ehn steh!
WS19	Waer hät mich min Korb met Fleisch jestoll´n?
WS20	Aer that so, als hetten se ehn zum draeschen bestellt, se han aeß aebber saelber jethon.
WS21	Waen hätt aer die negge Jeschichte verzehlt?
WS22	Man muß lūt schregge, sinst versteht aer uns nich.
WS23	We sin mide un han dorscht.
WS24	Als me gester Obend zurick kamen, do lugen die Andern schunt zu Bette un waren feste an schlofen.
WS25	Daer Schnee äß disen Nācht bi uns lä jebläbben, aber hiete Morgen äß aer jeschmolzen.
WS26	Hinger unsen Hūse stehn dre schene Appelbeimer met rothen Eppelchen.
WS27	Kint de nich nach än Augenblickchen uff uns wōrte, daenn gehn me met uch.
WS28	De därft nich so´ne Kingeren triebe.
WS29	Unse Baerge sin nich sehre hoch, die uren sin vele hecher.
WS30	Wie vele Pfund Worscht un wie vele Brod woll´te ha?
WS31	Ich versteh uch nich, de mißt en bischen lūter spraeche.
WS32	Hade kein Stickchen wisse Seifen fer mich uff mein Tische jefungen?
WS33	Sin Bruder will sich zwei schene negge Hiser im uren Gorten bou´n.
WS34	Das Wort kam´m vun Haerzen.
WS35	Das war raecht von´ se.
WS36	Was sitzen do fer Vegelchen ob´ne uff daem Mirchen?
WS37	De Buren hatten finf Ochsen un nin Köiwe un zwelf Shefchen ver das Dorf gebröcht, die wullt'n se verkaufe.
WS38	Die Liete sin hiete alle druß´ne uff´dn Faelle un maehn.
WS39	Geh nur, daer brune Hund thit dich nischt.
WS40	Ich bän met daen Lieten do hing´ne äbber die Wesen in´s Korn jefahren.
