Bogennummer: '08238'
Ort: Bischheim
Gid: 543743
Transliterent: 
Transliterationsprojekt: 
Erstelldatum: 
Änderungsdatum: 
Satzversion: 1
...
WS1	In Winter flieng de droing Blätter in der Loft rim.
WS2	s hiert glei uff zee schnain, derno wörds Watter wieder schänner.
WS3	Duk Kohl'n in Ufn, doß de Mölch bahle an ze kach'n fängt.
WS4	Der gute ahle Moan̄ ös mötn Pfahre eingebroach'n un ins kahle Wasser gefall'n.
WS5	A ös voar vier aber sechs Woache geschtoren.
WS6	s Feuer woar ze heeß, de Kuch'n sain ju hung goanz schwoarz gebrarhert.
WS7	A ößt de Eier äm̄er ohne Sahlz un Pfaffer.
WS8	De Füße thu mer siehre wieh, ich gleebe, ich ho mer se durchgelofn.
WS9	Ich bie bei der Frah gewast, un do ho ich's err gesoat, un se saate, se wöllts o ihrer Dachter soan.
WS10	Ich wölls o nich meh mach'n.
WS11	Ich schloi Dich glei mötn Kachlöffl im de Uhrn, Du Maulaffe.
WS12	Wu giehste de hön, sölle mer mött'r giehn?
WS13	's sain schlachte Zeit'n.
WS14	Mai guts Kind, blaib hie hung schtiehn, de biese Gänse baißn Dich sunst tudt.
WS15	Du hoast hiete am meesten gelarnt, un bist hübsch gewast, Du darfst ieger hoam giehn als de Annern.
WS16	Du bist na nek gruß genung, doaß de kän̄st anne Flasche Wein austrinke, Du mußt örscht noa Stücke grösser war'n.
WS17	Gieh bis so gut un soas denner Schwaster, se sull de Sach's för de Mutter fehrtg mach'n un ausbörschten.
WS18	Wennd'n gekahnt höst, do wärsch andersch geworn un's wurre besser än'n schtiehn.
WS19	War hot mer denn men Koarb mötn Fleesch genom̄?
WS20	A thoat su, als hättn s'n zen Dreschn bestahlt, se hoans aber salber gemacht.
WS21	Wann hot'r de neue Geschichte derzahlt?
WS22	Mer muß siehre bähk'n, sunst verschtieht ers nö.
WS23	Mer sain siehre müde un hoan Dorscht.
WS24	Als mer nähchten zerrücke kamen, do lang de Annern schun än Bette, un woarn fest eigeschlofn <eingeschlofen>.
WS25	Der Schnie ös de Nacht öber lieng geblieen, aber heute Morne istr weggegang <weggegang'n>.
WS26	Hinger unnern Hause schtiehn drei schiene Aeppelbeeme mött ruthe Aeppeln
WS27	Kint'r nö a Bössel uff uns woarten, derrnoch gieh mer o mötte.
WS28	Ihr dörft keenen sicke Kindereien traiben.
WS29	Unsre Barge sain nö siehre huch, eure sain höcher.
WS30	Wie vill Pfond Worscht un wie vill Brud wölltr hann?
WS31	Ich verschtiehs nö, ihr mößt e Bössel serrer schrein.
WS32	Hoat'r kö Stückl waiße Seefe uff main Tösch gefung?
WS33	Sei Bruder wöll sich zwä schiene neue Häuser ön euern Gartn bauen.
WS34	Woas'r soate, kam 'n vun Herz'n.
WS35	Doas woar recht suh.
WS36	Woas sötzen do ver kleene Vugel uff der Mauer?
WS37	De Bauern hoaten fenf Ochsen, neuen Kühe un zwölf Schofe vorsch Dorf gebroacht, dö wölltn se verkofen.
WS38	De Leute sain hinte oalle draußen uffn F[ä]lde un haan.
WS39	Öm̄er gieh, der braune Hund tut'r nischt.
WS40	Ich bie mött'n Leut'n dort hing öber de Wiese gefahr'n.
