---
Bogennummer: 08900
Ort: Weisswasser
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Victoria Schaub
Anmerkungen: ''
...
WS01	In Winter fliegen die trucknen Blätter in der Luft rum.
WS02	Es hört gleich uf zu schneen, dann wird das Wetter wieder besser.
WS03	Thu Kohlen in den Ofen, daß die Milch bald zu kochen anfängt.
WS04	Der gute alte Mann ist mit dem Ferde durch das Eis durchgebrochen und ist in das kalte Wasser gefallen.
WS05	Er ist vor vier oder sechs Wochen gestorben.
WS06	Das Feier war zu heeß, die Kuchen sin ja unten ganz schwarz verbrannt.
WS07	Er ißt die Eier immer ohne Salz u. Feffer.
WS08	Die Beene thun mir sehr weh, ich globe, ich habe sie durchgelofen.
WS09	Ich bin bei der Frau gewesen u. hobs ihr gesogt, u. sie sogte, sie wollte es auch ihrer Tochter sogen.
WS10	Ich wills auch nicht mehr wieder thun.
WS11	Ich schloge dich gleich mit dem Kochlöffel um die Ohren, du Affe!
WS12	Wo gehst du hin, sollen wir mit dir gehen?
WS13	Es sein schlechte Zeiten!
WS14	Mein liebes Kind, bleib hier unten stehn, die bösen Gänse beißen dich todt.
WS15	Du hast heit am mersten gelernt u. bist artig gewest, du kannst eher nach Hause gehn als die Andern.
WS16	Du bist noch nich groß genung, um eine Flasche Wein auszutrinken, du mußt erst noch en Sticke wachsen u. größer werden.
WS17	Geh, sei so gut u. sag deiner Schwester, sie solle die Kleeder für eire Mutter fertig näh’n u. mit der Bürste reene machen.
WS18	Hättest du ihn gekannt! so wäre es anders gekommen, und es thäte besser um ihn stehn.
WS19	Wer hat mir meinne Kurb mit dem Fleesch gestohlen?
WS20	Er that so, als hätten sie ihn zum Dreschen bestellt; sie haben es aber <(allene)> selbst gehan.
WS21	Wem hat er die neie Geschichte erzählt?
WS22	Man muß laut schrein, sonst versteht er uns nich.
WS23	Wir sein müde und hoben Durst.
WS24	Als wir gestern Abend zurück kamen, da lagen die Andern schon im Bette u. schliefen feste.
WS25	Der Schnee ist diese Nacht bei uns liegen geblieben, aber heite Morgen ist er gethaut.
WS26	Hinter unserm Hause stehen drei scheene Äpelbeemchen mit rothen Äpel.
WS27	Könnt ihr nich noch en Ogenblickchen auf uns warten, so gehen wir mit euch.
WS28	Ihr dürft nicht solche Kindereien treiben.
WS29	Unsere Berge sind nich sehr hoch, die eiern sein viel höcher.
WS30	Wie viel Fund Wurst und wie viel Brod wollt ihr haben?
WS31	Ich verstehe euch nicht, ihr mißt a bissel lauter reden.
WS32	Habt ihr keen Stickchen weiße Sefe fer mich auf meinen Tische gefunden?
WS33	Sein Bruder will sich zwei scheene Heiser in euren Garten bauen.
WS34	Das Wort kom ihn von Herzen!
WS35	Das wor recht von ihnen!
WS36	Was sitzen do für Vögelchen oben auf dem Mäuerchen?
WS37	Die Bauern hatten fünf Ochsen u. nein Kihe und zwelf Schäfel vor das Dorf gebracht, die wollten sie verkofen.
WS38	Die Leite sein heite alle draußen auf den Felde und mähen.
WS39	Geh nur, der braune Hund thut dir nischt.
WS40	Ich bin mit den Leiten da hinten über die Wiese ins Korn gefahren.
